;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;0.99;0.999;0.029;0.652;0.181;0.999;0.652;0.119;0.199;0.99
ENST00000308924_90_90;0.99;1.0;0.992;0.029;0.646;0.18;0.989;0.646;0.118;0.198;0.997
ENST00000450554_90_90;0.999;0.992;1.0;0.03;0.652;0.181;0.997;0.652;0.119;0.199;0.989
ENST00000587196_90_90;0.029;0.029;0.03;1.0;0.0;0.0;0.029;0.0;0.1;0.0;0.029
ENST00000590551_90_90;0.652;0.646;0.652;0.0;1.0;0.0;0.652;1.0;0.0;0.0;0.646
ENST00000592874_90_90;0.181;0.18;0.181;0.0;0.0;1.0;0.18;0.0;0.002;0.898;0.179
ENSMUST00000005041_90_90;0.999;0.989;0.997;0.029;0.652;0.18;1.0;0.652;0.119;0.2;0.992
ENSMUST00000165399_90_90;0.652;0.646;0.652;0.0;1.0;0.0;0.652;1.0;0.0;0.0;0.646
ENSMUST00000207097_90_90;0.119;0.118;0.119;0.1;0.0;0.002;0.119;0.0;1.0;0.0;0.118
ENSMUST00000207498_90_90;0.199;0.198;0.199;0.0;0.0;0.898;0.2;0.0;0.0;1.0;0.199
ENSMUST00000209099_90_90;0.99;0.997;0.989;0.029;0.646;0.179;0.992;0.646;0.118;0.199;1.0
