;transcript14_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript9_ENSMLUG00000027828;transcript7_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript32_ENSCPOG00000024843;transcript10_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript18_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript7_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript33_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript7_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript9_ENSSTOG00000019743
transcript14_ENSMLUG00000027828;1.0;0.938;0.68;0.05;0.543;0.852;0.82;0.686;0.942;0.935;0.935;0.707;0.049;0.546;0.941;0.934;0.934;0.993;0.92;0.795;0.694;0.536;0.944;0.944;0.719;0.825;0.05;0.531;0.861;0.941;0.051
transcript13_ENSMLUG00000027828;0.938;1.0;0.741;0.048;0.512;0.908;0.876;0.742;0.993;1.0;1.0;0.763;0.046;0.517;0.993;1.0;1.0;0.941;0.986;0.86;0.759;0.509;0.994;0.994;0.769;0.876;0.048;0.509;0.912;0.993;0.048
transcript22_ENSMLUG00000027828;0.68;0.741;1.0;0.064;0.393;0.671;0.64;0.992;0.747;0.753;0.753;0.527;0.061;0.398;0.753;0.759;0.759;0.699;0.745;0.619;1.0;0.382;0.737;0.737;0.512;0.618;0.064;0.401;0.656;0.736;0.065
transcript9_ENSMLUG00000027828;0.05;0.048;0.064;1.0;0.09;0.05;0.052;0.064;0.051;0.052;0.052;0.06;1.0;0.095;0.049;0.049;0.049;0.052;0.05;0.057;0.065;0.094;0.047;0.047;0.061;0.054;1.0;0.094;0.052;0.048;1.0
transcript7_ENSCCNG00000000226;0.543;0.512;0.393;0.09;1.0;0.563;0.408;0.424;0.533;0.537;0.537;0.682;0.092;1.0;0.527;0.531;0.531;0.57;0.536;0.4;0.437;1.0;0.523;0.523;0.682;0.408;0.092;0.979;0.562;0.522;0.093
transcript26_ENSCCNG00000000226;0.852;0.908;0.671;0.05;0.563;1.0;0.805;0.727;0.934;0.927;0.927;0.694;0.052;0.564;0.935;0.929;0.929;0.861;0.918;0.789;0.728;0.563;0.928;0.928;0.694;0.805;0.052;0.566;1.0;0.929;0.052
transcript24_ENSCCNG00000000226;0.82;0.876;0.64;0.052;0.408;0.805;1.0;0.676;0.886;0.879;0.879;0.643;0.055;0.397;0.861;0.854;0.854;0.786;0.844;0.992;0.653;0.408;0.877;0.877;0.643;1.0;0.055;0.399;0.802;0.873;0.056
transcript32_ENSCPOG00000024843;0.686;0.742;0.992;0.064;0.424;0.727;0.676;1.0;0.789;0.789;0.789;0.565;0.06;0.429;0.797;0.796;0.796;0.732;0.785;0.646;0.993;0.407;0.784;0.784;0.543;0.658;0.06;0.431;0.712;0.781;0.056
transcript10_ENSECAG00000007947;0.942;0.993;0.747;0.051;0.533;0.934;0.886;0.789;1.0;0.994;0.994;0.775;0.048;0.53;1.0;0.993;0.993;0.923;0.98;0.856;0.789;0.523;1.0;1.0;0.766;0.88;0.05;0.535;0.941;1.0;0.048
transcript17_ENSECAG00000007947;0.935;1.0;0.753;0.052;0.537;0.927;0.879;0.789;0.994;1.0;1.0;0.768;0.049;0.534;0.993;1.0;1.0;0.929;0.986;0.861;0.794;0.526;0.994;0.994;0.76;0.874;0.05;0.539;0.933;0.993;0.049
transcript12_ENSECAG00000007947;0.935;1.0;0.753;0.052;0.537;0.927;0.879;0.789;0.994;1.0;1.0;0.768;0.049;0.534;0.993;1.0;1.0;0.929;0.986;0.861;0.794;0.526;0.994;0.994;0.76;0.874;0.05;0.539;0.933;0.993;0.049
transcript18_ENSCCNG00000000226;0.707;0.763;0.527;0.06;0.682;0.694;0.643;0.565;0.775;0.768;0.768;1.0;0.063;0.686;0.769;0.762;0.762;0.694;0.77;0.622;0.561;0.682;0.766;0.766;1.0;0.643;0.063;0.688;0.694;0.765;0.063
transcript9_ENSCCNG00000000226;0.049;0.046;0.061;1.0;0.092;0.052;0.055;0.06;0.048;0.049;0.049;0.063;1.0;0.09;0.048;0.048;0.048;0.051;0.048;0.056;0.06;0.092;0.048;0.048;0.063;0.055;1.0;0.092;0.052;0.049;1.0
transcript7_ENSMPUG00000020072;0.546;0.517;0.398;0.095;1.0;0.564;0.397;0.429;0.53;0.534;0.534;0.686;0.09;1.0;0.526;0.53;0.53;0.566;0.536;0.387;0.431;1.0;0.526;0.526;0.688;0.385;0.089;0.979;0.565;0.529;0.09
transcript10_ENSMPUG00000020072;0.941;0.993;0.753;0.049;0.527;0.935;0.861;0.797;1.0;0.993;0.993;0.769;0.048;0.526;1.0;0.994;0.994;0.929;0.982;0.844;0.791;0.526;1.0;1.0;0.765;0.85;0.047;0.533;0.938;1.0;0.048
transcript17_ENSMPUG00000020072;0.934;1.0;0.759;0.049;0.531;0.929;0.854;0.796;0.993;1.0;1.0;0.762;0.048;0.53;0.994;1.0;1.0;0.935;0.988;0.849;0.796;0.53;0.994;0.994;0.759;0.844;0.047;0.537;0.93;0.993;0.048
transcript20_ENSMPUG00000020072;0.934;1.0;0.759;0.049;0.531;0.929;0.854;0.796;0.993;1.0;1.0;0.762;0.048;0.53;0.994;1.0;1.0;0.935;0.988;0.849;0.796;0.53;0.994;0.994;0.759;0.844;0.047;0.537;0.93;0.993;0.048
transcript23_ENSMPUG00000020072;0.993;0.941;0.699;0.052;0.57;0.861;0.786;0.732;0.923;0.929;0.929;0.694;0.051;0.566;0.929;0.935;0.935;1.0;0.923;0.784;0.731;0.566;0.929;0.929;0.694;0.779;0.051;0.563;0.864;0.926;0.052
transcript25_ENSMPUG00000020072;0.92;0.986;0.745;0.05;0.536;0.918;0.844;0.785;0.98;0.986;0.986;0.77;0.048;0.536;0.982;0.988;0.988;0.923;1.0;0.837;0.784;0.536;0.982;0.982;0.768;0.832;0.048;0.545;0.915;0.978;0.049
transcript24_ENSMPUG00000020072;0.795;0.86;0.619;0.057;0.4;0.789;0.992;0.646;0.856;0.861;0.861;0.622;0.056;0.387;0.844;0.849;0.849;0.784;0.837;1.0;0.645;0.387;0.844;0.844;0.609;0.993;0.056;0.381;0.776;0.838;0.057
transcript22_ENSMPUG00000020072;0.694;0.759;1.0;0.065;0.437;0.728;0.653;0.993;0.789;0.794;0.794;0.561;0.06;0.431;0.791;0.796;0.796;0.731;0.784;0.645;1.0;0.431;0.791;0.791;0.556;0.641;0.059;0.456;0.732;0.794;0.06
transcript7_ENSCPOG00000024843;0.536;0.509;0.382;0.094;1.0;0.563;0.408;0.407;0.523;0.526;0.526;0.682;0.092;1.0;0.526;0.53;0.53;0.566;0.536;0.387;0.431;1.0;0.511;0.511;0.673;0.392;0.092;0.982;0.556;0.517;0.085
transcript17_ENSCPOG00000024843;0.944;0.994;0.737;0.047;0.523;0.928;0.877;0.784;1.0;0.994;0.994;0.766;0.048;0.526;1.0;0.994;0.994;0.929;0.982;0.844;0.791;0.511;1.0;1.0;0.759;0.873;0.047;0.52;0.931;1.0;0.044
transcript33_ENSCPOG00000024843;0.944;0.994;0.737;0.047;0.523;0.928;0.877;0.784;1.0;0.994;0.994;0.766;0.048;0.526;1.0;0.994;0.994;0.929;0.982;0.844;0.791;0.511;1.0;1.0;0.759;0.873;0.047;0.52;0.931;1.0;0.044
transcript18_ENSCPOG00000024843;0.719;0.769;0.512;0.061;0.682;0.694;0.643;0.543;0.766;0.76;0.76;1.0;0.063;0.688;0.765;0.759;0.759;0.694;0.768;0.609;0.556;0.673;0.759;0.759;1.0;0.633;0.062;0.683;0.693;0.762;0.058
transcript24_ENSCPOG00000024843;0.825;0.876;0.618;0.054;0.408;0.805;1.0;0.658;0.88;0.874;0.874;0.643;0.055;0.385;0.85;0.844;0.844;0.779;0.832;0.993;0.641;0.392;0.873;0.873;0.633;1.0;0.054;0.389;0.799;0.868;0.051
transcript9_ENSCPOG00000024843;0.05;0.048;0.064;1.0;0.092;0.052;0.055;0.06;0.05;0.05;0.05;0.063;1.0;0.089;0.047;0.047;0.047;0.051;0.048;0.056;0.059;0.092;0.047;0.047;0.062;0.054;1.0;0.084;0.047;0.044;1.0
transcript7_ENSSTOG00000019743;0.531;0.509;0.401;0.094;0.979;0.566;0.399;0.431;0.535;0.539;0.539;0.688;0.092;0.979;0.533;0.537;0.537;0.563;0.545;0.381;0.456;0.982;0.52;0.52;0.683;0.389;0.084;1.0;0.559;0.52;0.084
transcript26_ENSSTOG00000019743;0.861;0.912;0.656;0.052;0.562;1.0;0.802;0.712;0.941;0.933;0.933;0.694;0.052;0.565;0.938;0.93;0.93;0.864;0.915;0.776;0.732;0.556;0.931;0.931;0.693;0.799;0.047;0.559;1.0;0.931;0.047
transcript17_ENSSTOG00000019743;0.941;0.993;0.736;0.048;0.522;0.929;0.873;0.781;1.0;0.993;0.993;0.765;0.049;0.529;1.0;0.993;0.993;0.926;0.978;0.838;0.794;0.517;1.0;1.0;0.762;0.868;0.044;0.52;0.931;1.0;0.044
transcript9_ENSSTOG00000019743;0.051;0.048;0.065;1.0;0.093;0.052;0.056;0.056;0.048;0.049;0.049;0.063;1.0;0.09;0.048;0.048;0.048;0.052;0.049;0.057;0.06;0.085;0.044;0.044;0.058;0.051;1.0;0.084;0.047;0.044;1.0
