;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.924;0.924;0.999;0.999;0.226;0.105;0.174;0.999;0.122;0.145;0.145;0.023;0.853;0.924;0.046;0.04;0.1;0.997;0.999;0.926;0.926;0.544;0.013;0.245
ENSCAFT00000021597_90_90;0.924;1.0;1.0;0.924;0.924;0.244;0.114;0.188;0.924;0.132;0.157;0.157;0.024;0.777;0.999;0.05;0.044;0.108;0.925;0.927;1.0;1.0;0.586;0.014;0.265
ENSCAFT00000021600_90_90;0.924;1.0;1.0;0.924;0.924;0.244;0.114;0.188;0.924;0.132;0.157;0.157;0.024;0.777;0.999;0.05;0.044;0.108;0.925;0.927;1.0;1.0;0.586;0.014;0.265
ENST00000324432_90_90;0.999;0.924;0.924;1.0;1.0;0.225;0.105;0.174;1.0;0.123;0.144;0.144;0.023;0.854;0.924;0.046;0.04;0.1;0.997;0.998;0.925;0.925;0.543;0.013;0.244
ENST00000413936_90_90;0.999;0.924;0.924;1.0;1.0;0.225;0.105;0.174;1.0;0.123;0.144;0.144;0.023;0.854;0.924;0.046;0.04;0.1;0.997;0.998;0.925;0.925;0.543;0.013;0.244
ENST00000423646_90_90;0.226;0.244;0.244;0.225;0.225;1.0;0.464;0.771;0.225;0.0;0.637;0.637;0.1;0.079;0.243;0.202;0.179;0.443;0.227;0.226;0.244;0.244;0.416;0.057;0.923
ENST00000425780_90_90;0.105;0.114;0.114;0.105;0.105;0.464;1.0;0.602;0.105;0.0;0.725;0.725;0.215;0.0;0.113;0.436;0.385;0.954;0.105;0.105;0.114;0.114;0.193;0.123;0.43
ENST00000429179_90_90;0.174;0.188;0.188;0.174;0.174;0.771;0.602;1.0;0.174;0.0;0.825;0.825;0.13;0.027;0.188;0.262;0.231;0.574;0.175;0.174;0.188;0.188;0.32;0.074;0.711
ENST00000430490_90_90;0.999;0.924;0.924;1.0;1.0;0.225;0.105;0.174;1.0;0.123;0.144;0.144;0.023;0.854;0.924;0.046;0.04;0.1;0.997;0.998;0.925;0.925;0.543;0.013;0.244
ENST00000435251_90_90;0.122;0.132;0.132;0.123;0.123;0.0;0.0;0.0;0.123;1.0;0.0;0.0;0.0;0.144;0.133;0.0;0.0;0.0;0.121;0.123;0.132;0.132;0.089;0.0;0.0
