;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;0.118;0.133;0.133;0.0;0.143;0.125;0.0;0.0;0.118;0.111;0.125;0.105;0.118
ENST00000372554_90_90;0.118;1.0;0.875;0.875;0.143;0.812;0.938;0.048;0.125;0.524;0.571;0.476;0.619;0.524
ENST00000372559_90_90;0.133;0.875;1.0;1.0;0.158;0.929;0.933;0.053;0.143;0.579;0.55;0.526;0.524;0.5
ENST00000372564_90_90;0.133;0.875;1.0;1.0;0.158;0.929;0.933;0.053;0.143;0.579;0.55;0.526;0.524;0.5
ENST00000416230_90_90;0.0;0.143;0.158;0.158;1.0;0.167;0.15;0.556;0.111;0.333;0.316;0.353;0.3;0.333
ENST00000416629_90_90;0.143;0.812;0.929;0.929;0.167;1.0;0.867;0.056;0.154;0.526;0.5;0.556;0.476;0.526
ENST00000417224_90_90;0.125;0.938;0.933;0.933;0.15;0.867;1.0;0.05;0.133;0.55;0.6;0.5;0.571;0.55
ENST00000425236_90_90;0.0;0.048;0.053;0.053;0.556;0.056;0.05;1.0;0.0;0.158;0.15;0.167;0.143;0.158
ENST00000455407_90_90;0.0;0.125;0.143;0.143;0.111;0.154;0.133;0.0;1.0;0.059;0.056;0.062;0.053;0.059
ENSMUST00000028214_90_90;0.118;0.524;0.579;0.579;0.333;0.526;0.55;0.158;0.059;1.0;0.941;0.938;0.889;0.882
ENSMUST00000100215_90_90;0.111;0.571;0.55;0.55;0.316;0.5;0.6;0.15;0.056;0.941;1.0;0.882;0.944;0.941
ENSMUST00000113620_90_90;0.125;0.476;0.526;0.526;0.353;0.556;0.5;0.167;0.062;0.938;0.882;1.0;0.833;0.938
ENSMUST00000113621_90_90;0.105;0.619;0.524;0.524;0.3;0.476;0.571;0.143;0.053;0.889;0.944;0.833;1.0;0.889
ENSMUST00000163668_90_90;0.118;0.524;0.5;0.5;0.333;0.526;0.55;0.158;0.059;0.882;0.941;0.938;0.889;1.0
