;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;0.201;0.226;0.244;0.252;0.201;0.201;0.252;0.252;0.292;0.103;0.291;0.174;0.171;0.19;0.083;0.107;0.188;0.245;0.245;0.252;0.226;0.201;0.252;0.201;0.389;0.458;0.543;0.543;0.26;0.158
ENSCAFT00000010587_90_90;0.201;1.0;0.802;0.518;0.892;1.0;0.882;0.792;0.892;0.37;0.251;0.372;0.386;0.321;0.429;0.284;0.25;0.221;0.374;0.374;0.892;0.802;1.0;0.792;0.882;0.224;0.224;0.097;0.097;0.269;0.301
ENST00000360332_90_90;0.226;0.802;1.0;0.64;0.715;0.802;0.802;0.715;0.715;0.461;0.313;0.463;0.306;0.306;0.342;0.196;0.282;0.275;0.461;0.461;0.715;1.0;0.802;0.715;0.802;0.224;0.224;0.111;0.111;0.276;0.314
ENST00000374174_90_90;0.244;0.518;0.64;1.0;0.467;0.518;0.518;0.467;0.467;0.651;0.441;0.654;0.372;0.372;0.425;0.24;0.382;0.386;0.634;0.634;0.467;0.64;0.518;0.467;0.518;0.057;0.057;0.0;0.0;0.07;0.08
ENST00000374176_90_90;0.252;0.892;0.715;0.467;1.0;0.892;0.792;0.894;1.0;0.333;0.226;0.334;0.358;0.298;0.394;0.263;0.226;0.199;0.338;0.338;1.0;0.715;0.892;0.894;0.792;0.275;0.275;0.15;0.15;0.329;0.368
ENST00000374179_90_90;0.201;1.0;0.802;0.518;0.892;1.0;0.882;0.792;0.892;0.37;0.251;0.372;0.386;0.321;0.429;0.284;0.25;0.221;0.374;0.374;0.892;0.802;1.0;0.792;0.882;0.224;0.224;0.097;0.097;0.269;0.301
ENST00000374182_90_90;0.201;0.882;0.802;0.518;0.792;0.882;1.0;0.892;0.792;0.37;0.251;0.372;0.385;0.32;0.428;0.284;0.305;0.221;0.374;0.374;0.792;0.802;0.882;0.892;1.0;0.209;0.209;0.097;0.097;0.251;0.281
ENST00000374189_90_90;0.252;0.792;0.715;0.467;0.894;0.792;0.892;1.0;0.894;0.333;0.226;0.334;0.357;0.297;0.393;0.262;0.275;0.199;0.338;0.338;0.894;0.715;0.792;1.0;0.892;0.26;0.26;0.15;0.15;0.311;0.347
ENST00000395611_90_90;0.252;0.892;0.715;0.467;1.0;0.892;0.792;0.894;1.0;0.333;0.226;0.334;0.358;0.298;0.394;0.263;0.226;0.199;0.338;0.338;1.0;0.715;0.892;0.894;0.792;0.275;0.275;0.15;0.15;0.329;0.368
ENST00000426557_90_90;0.292;0.37;0.461;0.651;0.333;0.37;0.37;0.333;0.333;1.0;0.319;0.995;0.315;0.315;0.366;0.167;0.283;0.588;0.618;0.618;0.333;0.461;0.37;0.333;0.37;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000429041_90_90;0.103;0.251;0.313;0.441;0.226;0.251;0.251;0.226;0.226;0.319;1.0;0.323;0.2;0.2;0.232;0.251;0.496;0.127;0.393;0.393;0.226;0.313;0.251;0.226;0.251;0.053;0.053;0.0;0.0;0.069;0.083
ENST00000432379_90_90;0.291;0.372;0.463;0.654;0.334;0.372;0.372;0.334;0.334;0.995;0.323;1.0;0.315;0.315;0.365;0.166;0.283;0.585;0.616;0.616;0.334;0.463;0.372;0.334;0.372;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000229794_90_90;0.174;0.386;0.306;0.372;0.358;0.386;0.385;0.357;0.358;0.315;0.2;0.315;1.0;0.862;0.853;0.786;0.369;0.244;0.448;0.448;0.358;0.306;0.386;0.357;0.385;0.039;0.039;0.0;0.0;0.046;0.05
ENST00000229795_90_90;0.171;0.321;0.306;0.372;0.298;0.321;0.32;0.297;0.298;0.315;0.2;0.315;0.862;1.0;0.725;0.663;0.369;0.244;0.448;0.448;0.298;0.306;0.321;0.297;0.32;0.039;0.039;0.0;0.0;0.046;0.05
ENST00000310795_90_90;0.19;0.429;0.342;0.425;0.394;0.429;0.428;0.393;0.394;0.366;0.232;0.365;0.853;0.725;1.0;0.639;0.432;0.285;0.524;0.524;0.394;0.342;0.429;0.393;0.428;0.042;0.042;0.0;0.0;0.05;0.056
ENST00000468133_90_90;0.083;0.284;0.196;0.24;0.263;0.284;0.284;0.262;0.263;0.167;0.251;0.166;0.786;0.663;0.639;1.0;0.469;0.071;0.239;0.239;0.263;0.196;0.284;0.262;0.284;0.044;0.044;0.0;0.0;0.053;0.059
ENST00000472333_90_90;0.107;0.25;0.282;0.382;0.226;0.25;0.305;0.275;0.226;0.283;0.496;0.283;0.369;0.369;0.432;0.469;1.0;0.125;0.404;0.404;0.226;0.282;0.25;0.275;0.305;0.054;0.054;0.0;0.0;0.069;0.082
ENST00000474429_90_90;0.188;0.221;0.275;0.386;0.199;0.221;0.221;0.199;0.199;0.588;0.127;0.585;0.244;0.244;0.285;0.071;0.125;1.0;0.505;0.505;0.199;0.275;0.221;0.199;0.221;0.0;0.0;0.0;0.0;0.0;0.0
