;ENSCAFT00000015696_90_90;ENST00000370183_90_90;ENST00000370187_90_90;ENST00000393441_90_90;ENST00000408038_90_90;ENSMUST00000065601_90_90;ENSMUST00000111936_90_90;ENSMUST00000223684_90_90;ENSMUST00000223764_90_90;ENSMUST00000224102_90_90;ENSMUST00000224318_90_90;ENSMUST00000224478_90_90
ENSCAFT00000015696_90_90;1.0;0.316;0.998;0.955;0.938;0.044;0.013;0.0;0.022;0.24;0.056;0.0
ENST00000370183_90_90;0.316;1.0;0.316;0.273;0.26;0.047;0.0;0.0;0.0;0.621;0.178;0.0
ENST00000370187_90_90;0.998;0.316;1.0;0.957;0.94;0.045;0.014;0.0;0.022;0.24;0.056;0.0
ENST00000393441_90_90;0.955;0.273;0.957;1.0;0.898;0.033;0.014;0.0;0.023;0.198;0.037;0.0
ENST00000408038_90_90;0.938;0.26;0.94;0.898;1.0;0.046;0.014;0.0;0.024;0.256;0.06;0.0
ENSMUST00000065601_90_90;0.044;0.047;0.045;0.033;0.046;1.0;0.94;0.09;0.183;0.074;0.056;0.836
ENSMUST00000111936_90_90;0.013;0.0;0.014;0.014;0.014;0.94;1.0;0.096;0.195;0.023;0.0;0.889
ENSMUST00000223684_90_90;0.0;0.0;0.0;0.0;0.0;0.09;0.096;1.0;0.381;0.0;0.0;0.108
ENSMUST00000223764_90_90;0.022;0.0;0.022;0.023;0.024;0.183;0.195;0.381;1.0;0.065;0.0;0.182
ENSMUST00000224102_90_90;0.24;0.621;0.24;0.198;0.256;0.074;0.023;0.0;0.065;1.0;0.227;0.0
ENSMUST00000224318_90_90;0.056;0.178;0.056;0.037;0.06;0.056;0.0;0.0;0.0;0.227;1.0;0.0
ENSMUST00000224478_90_90;0.0;0.0;0.0;0.0;0.0;0.836;0.889;0.108;0.182;0.0;0.0;1.0
