;ENSCAFT00000028719_90_90;ENST00000347662_90_90;ENST00000351691_90_90;ENST00000392745_90_90;ENST00000539721_90_90;ENST00000558700_90_90;ENST00000559734_90_90;ENST00000560371_90_90;ENST00000560463_90_90;ENSMUST00000021706_90_90;ENSMUST00000060274_90_90;ENSMUST00000117269_90_90;ENSMUST00000139162_90_90
ENSCAFT00000028719_90_90;1.0;0.956;0.956;1.0;0.854;0.331;0.511;1.0;0.165;1.0;0.956;0.956;0.171
ENST00000347662_90_90;0.956;1.0;1.0;0.956;0.893;0.278;0.534;0.956;0.173;0.956;1.0;1.0;0.179
ENST00000351691_90_90;0.956;1.0;1.0;0.956;0.893;0.278;0.534;0.956;0.173;0.956;1.0;1.0;0.179
ENST00000392745_90_90;1.0;0.956;0.956;1.0;0.854;0.32;0.511;1.0;0.165;1.0;0.956;0.956;0.171
ENST00000539721_90_90;0.854;0.893;0.893;0.854;1.0;0.179;0.502;0.854;0.194;0.854;0.893;0.893;0.2
ENST00000558700_90_90;0.331;0.278;0.278;0.32;0.179;1.0;0.255;0.32;0.031;0.332;0.287;0.287;0.048
ENST00000559734_90_90;0.511;0.534;0.534;0.511;0.502;0.255;1.0;0.511;0.0;0.511;0.535;0.535;0.0
ENST00000560371_90_90;1.0;0.956;0.956;1.0;0.854;0.32;0.511;1.0;0.165;1.0;0.956;0.956;0.171
ENST00000560463_90_90;0.165;0.173;0.173;0.165;0.194;0.031;0.0;0.165;1.0;0.164;0.172;0.172;0.959
ENSMUST00000021706_90_90;1.0;0.956;0.956;1.0;0.854;0.332;0.511;1.0;0.164;1.0;0.956;0.956;0.171
ENSMUST00000060274_90_90;0.956;1.0;1.0;0.956;0.893;0.287;0.535;0.956;0.172;0.956;1.0;1.0;0.179
ENSMUST00000117269_90_90;0.956;1.0;1.0;0.956;0.893;0.287;0.535;0.956;0.172;0.956;1.0;1.0;0.179
ENSMUST00000139162_90_90;0.171;0.179;0.179;0.171;0.2;0.048;0.0;0.171;0.959;0.171;0.179;0.179;1.0
