;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.86;0.647;0.631;0.988;0.956;0.223;0.686;0.912;0.114;0.399;0.945;0.166;0.893;0.038;0.133;0.676;0.28;0.945;0.955;0.684;0.12;0.193;0.361;0.641;0.652;0.647;0.385;0.499;0.631;0.629;0.914;0.994;0.947;0.708;0.94;0.947;0.031;0.384;0.598;0.642;0.088;0.631;0.649;0.117;0.119;0.193;0.285;0.614
ENSCAFT00000021175_90_90;0.86;1.0;0.59;0.568;0.853;0.824;0.213;0.656;0.787;0.109;0.381;0.818;0.159;0.77;0.037;0.127;0.583;0.269;0.818;0.823;0.587;0.114;0.185;0.361;0.584;0.587;0.59;0.314;0.436;0.568;0.573;0.79;0.858;0.82;0.614;0.815;0.82;0.03;0.368;0.573;0.579;0.05;0.568;0.585;0.112;0.114;0.147;0.262;0.551
ENSCAFT00000022869_90_90;0.647;0.59;1.0;0.963;0.641;0.626;0.147;0.45;0.617;0.06;0.26;0.634;0.104;0.601;0.0;0.078;0.545;0.184;0.634;0.625;0.548;0.111;0.128;0.621;0.987;0.995;1.0;0.406;0.554;0.963;0.975;0.619;0.646;0.636;0.564;0.632;0.636;0.031;0.28;0.403;0.974;0.091;0.962;0.987;0.161;0.27;0.194;0.298;0.934
ENSCAFT00000049479_90_90;0.631;0.568;0.963;1.0;0.625;0.609;0.151;0.426;0.601;0.061;0.26;0.618;0.106;0.585;0.0;0.08;0.528;0.184;0.618;0.609;0.532;0.108;0.131;0.627;0.95;0.969;0.963;0.389;0.577;1.0;0.988;0.603;0.63;0.62;0.547;0.616;0.62;0.032;0.259;0.378;0.961;0.093;0.999;0.974;0.165;0.268;0.2;0.314;0.97
ENST00000346964_90_90;0.988;0.853;0.641;0.625;1.0;0.963;0.225;0.688;0.917;0.114;0.4;0.952;0.167;0.898;0.039;0.133;0.68;0.281;0.952;0.964;0.688;0.12;0.193;0.361;0.635;0.646;0.641;0.38;0.494;0.625;0.624;0.911;0.99;0.946;0.708;0.94;0.946;0.031;0.385;0.6;0.637;0.088;0.625;0.643;0.117;0.118;0.193;0.28;0.608
ENST00000357674_90_90;0.956;0.824;0.626;0.609;0.963;1.0;0.189;0.654;0.952;0.119;0.415;0.918;0.173;0.932;0.04;0.138;0.703;0.292;0.918;0.999;0.712;0.124;0.201;0.342;0.619;0.63;0.626;0.394;0.512;0.609;0.608;0.946;0.955;0.912;0.676;0.906;0.912;0.032;0.399;0.623;0.621;0.091;0.609;0.627;0.121;0.096;0.201;0.291;0.592
ENST00000392380_90_90;0.223;0.213;0.147;0.151;0.225;0.189;1.0;0.316;0.194;0.51;0.386;0.23;0.742;0.179;0.171;0.593;0.014;0.029;0.23;0.189;0.014;0.2;0.825;0.222;0.149;0.147;0.147;0.0;0.0;0.151;0.151;0.193;0.224;0.23;0.047;0.228;0.23;0.0;0.0;0.296;0.149;0.0;0.151;0.148;0.452;0.091;0.0;0.0;0.129
ENST00000392381_90_90;0.686;0.656;0.45;0.426;0.688;0.654;0.316;1.0;0.669;0.161;0.562;0.705;0.235;0.649;0.054;0.187;0.449;0.392;0.705;0.653;0.454;0.168;0.272;0.475;0.443;0.448;0.45;0.134;0.258;0.426;0.431;0.667;0.687;0.703;0.481;0.698;0.703;0.044;0.505;0.843;0.438;0.0;0.426;0.445;0.161;0.159;0.0;0.135;0.407
ENST00000392382_90_90;0.912;0.787;0.617;0.601;0.917;0.952;0.194;0.669;1.0;0.122;0.425;0.963;0.177;0.979;0.041;0.142;0.739;0.299;0.963;0.951;0.748;0.127;0.206;0.349;0.611;0.622;0.617;0.382;0.502;0.601;0.599;0.994;0.911;0.957;0.71;0.95;0.957;0.033;0.409;0.638;0.612;0.094;0.601;0.619;0.124;0.098;0.206;0.278;0.583
ENST00000412364_90_90;0.114;0.109;0.06;0.061;0.114;0.119;0.51;0.161;0.122;1.0;0.286;0.117;0.687;0.124;0.336;0.859;0.0;0.0;0.117;0.119;0.0;0.0;0.592;0.091;0.061;0.06;0.06;0.0;0.0;0.061;0.061;0.122;0.114;0.117;0.0;0.116;0.117;0.0;0.0;0.19;0.061;0.0;0.061;0.06;0.325;0.0;0.0;0.0;0.038
