;ENSCAFT00000023590_90_90;ENST00000299259_90_90;ENST00000388901_90_90;ENST00000542928_90_90;ENST00000558843_90_90;ENST00000560240_90_90;ENST00000561248_90_90;ENSMUST00000028635_90_90;ENSMUST00000110462_90_90;ENSMUST00000110463_90_90
ENSCAFT00000023590_90_90;1.0;0.923;1.0;0.917;0.583;0.077;0.417;0.846;0.714;0.786
ENST00000299259_90_90;0.923;1.0;0.923;0.846;0.538;0.071;0.385;0.786;0.786;0.857
ENST00000388901_90_90;1.0;0.923;1.0;0.917;0.583;0.077;0.417;0.846;0.714;0.786
ENST00000542928_90_90;0.917;0.846;0.917;1.0;0.5;0.083;0.455;0.769;0.643;0.714
ENST00000558843_90_90;0.583;0.538;0.583;0.5;1.0;0.0;0.714;0.583;0.462;0.538
ENST00000560240_90_90;0.077;0.071;0.077;0.083;0.0;1.0;0.0;0.077;0.077;0.071
ENST00000561248_90_90;0.417;0.385;0.417;0.455;0.714;0.0;1.0;0.417;0.308;0.385
ENSMUST00000028635_90_90;0.846;0.786;0.846;0.769;0.583;0.077;0.417;1.0;0.846;0.923
ENSMUST00000110462_90_90;0.714;0.786;0.714;0.643;0.462;0.077;0.308;0.846;1.0;0.923
ENSMUST00000110463_90_90;0.786;0.857;0.786;0.714;0.538;0.071;0.385;0.923;0.923;1.0
