;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript36_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.835;0.81;0.729;0.835;0.696;0.844;0.575;0.791;0.791;0.746;0.791;0.746;0.711;0.903
transcript6_ENSECAG00000007947;0.835;1.0;0.966;0.863;1.0;0.821;0.859;0.577;0.792;0.792;0.754;0.792;0.74;0.692;0.911
transcript7_ENSECAG00000007947;0.81;0.966;1.0;0.829;0.966;0.786;0.828;0.544;0.761;0.761;0.722;0.761;0.715;0.66;0.879
transcript19_ENSECAG00000007947;0.729;0.863;0.829;1.0;0.863;0.95;0.755;0.465;0.906;0.906;0.864;0.906;0.847;0.792;0.786
transcript20_ENSECAG00000007947;0.835;1.0;0.966;0.863;1.0;0.821;0.859;0.577;0.792;0.792;0.754;0.792;0.74;0.692;0.911
transcript21_ENSECAG00000007947;0.696;0.821;0.786;0.95;0.821;1.0;0.736;0.485;0.861;0.861;0.905;0.861;0.802;0.787;0.747
transcript7_ENSMLUG00000027828;0.844;0.859;0.828;0.755;0.859;0.736;1.0;0.649;0.831;0.831;0.8;0.831;0.779;0.737;0.942
transcript13_ENSMLUG00000027828;0.575;0.577;0.544;0.465;0.577;0.485;0.649;1.0;0.496;0.496;0.527;0.496;0.478;0.456;0.611
transcript15_ENSCGRG00015005362;0.791;0.792;0.761;0.906;0.792;0.861;0.831;0.496;1.0;1.0;0.933;1.0;0.933;0.87;0.868
transcript15_ENSCGRG00000018457;0.791;0.792;0.761;0.906;0.792;0.861;0.831;0.496;1.0;1.0;0.933;1.0;0.933;0.87;0.868
transcript36_ENSCGRG00000018457;0.746;0.754;0.722;0.864;0.754;0.905;0.8;0.527;0.933;0.933;1.0;0.933;0.865;0.844;0.809
transcript15_ENSCGRG00001010245;0.791;0.792;0.761;0.906;0.792;0.861;0.831;0.496;1.0;1.0;0.933;1.0;0.933;0.87;0.868
transcript15_ENSPEMG00000024651;0.746;0.74;0.715;0.847;0.74;0.802;0.779;0.478;0.933;0.933;0.865;0.933;1.0;0.819;0.809
transcript15_ENSSTOG00000019743;0.711;0.692;0.66;0.792;0.692;0.787;0.737;0.456;0.87;0.87;0.844;0.87;0.819;1.0;0.755
transcript25_ENSCPOG00000024843;0.903;0.911;0.879;0.786;0.911;0.747;0.942;0.611;0.868;0.868;0.809;0.868;0.809;0.755;1.0
