;ENSCAFT00000011155_90_90;ENST00000355221_90_90;ENST00000359530_90_90;ENST00000396774_90_90;ENST00000519588_90_90;ENST00000520188_90_90;ENST00000521275_90_90;ENST00000522849_90_90;ENST00000524164_90_90;ENST00000524234_90_90;ENSMUST00000044369_90_90;ENSMUST00000192029_90_90;ENSMUST00000192698_90_90;ENSMUST00000192847_90_90;ENSMUST00000194676_90_90
ENSCAFT00000011155_90_90;1.0;1.0;1.0;1.0;0.333;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
ENST00000355221_90_90;1.0;1.0;0.957;0.957;0.227;0.609;0.682;0.125;0.455;0.636;0.952;0.45;1.0;0.905;0.8
ENST00000359530_90_90;1.0;0.957;1.0;1.0;0.217;0.652;0.652;0.167;0.435;0.609;1.0;0.429;0.952;0.952;0.762
ENST00000396774_90_90;1.0;0.957;1.0;1.0;0.217;0.652;0.652;0.167;0.435;0.609;1.0;0.429;0.952;0.952;0.762
ENST00000519588_90_90;0.333;0.227;0.217;0.217;1.0;0.176;0.333;0.0;0.25;0.357;0.238;0.273;0.25;0.25;0.312
ENST00000520188_90_90;0.0;0.609;0.652;0.652;0.176;1.0;0.304;0.25;0.087;0.261;0.714;0.6;0.667;0.667;0.476
ENST00000521275_90_90;1.0;0.682;0.652;0.652;0.333;0.304;1.0;0.0;0.667;0.933;0.619;0.467;0.65;0.65;0.812
ENST00000522849_90_90;0.0;0.125;0.167;0.167;0.0;0.25;0.0;1.0;0.0;0.0;0.19;0.083;0.143;0.2;0.111
ENST00000524164_90_90;1.0;0.455;0.435;0.435;0.25;0.087;0.667;0.0;1.0;0.714;0.381;0.133;0.4;0.4;0.5
ENST00000524234_90_90;1.0;0.636;0.609;0.609;0.357;0.261;0.933;0.0;0.714;1.0;0.571;0.4;0.6;0.6;0.75
ENSMUST00000044369_90_90;1.0;0.952;1.0;1.0;0.238;0.714;0.619;0.19;0.381;0.571;1.0;0.409;0.955;0.955;0.773
ENSMUST00000192029_90_90;0.0;0.45;0.429;0.429;0.273;0.6;0.467;0.083;0.133;0.4;0.409;1.0;0.429;0.429;0.529
ENSMUST00000192698_90_90;1.0;1.0;0.952;0.952;0.25;0.667;0.65;0.143;0.4;0.6;0.955;0.429;1.0;0.909;0.81
ENSMUST00000192847_90_90;1.0;0.905;0.952;0.952;0.25;0.667;0.65;0.2;0.4;0.6;0.955;0.429;0.909;1.0;0.81
ENSMUST00000194676_90_90;1.0;0.8;0.762;0.762;0.312;0.476;0.812;0.111;0.5;0.75;0.773;0.529;0.81;0.81;1.0
