;ENSCAFT00000011155_90_90;ENST00000355221_90_90;ENST00000359530_90_90;ENST00000396774_90_90;ENST00000519588_90_90;ENST00000520188_90_90;ENST00000521275_90_90;ENST00000522849_90_90;ENST00000524164_90_90;ENST00000524234_90_90;ENSMUST00000044369_90_90;ENSMUST00000192029_90_90;ENSMUST00000192698_90_90;ENSMUST00000192847_90_90;ENSMUST00000194676_90_90
ENSCAFT00000011155_90_90;1.0;0.214;0.207;0.207;0.133;0.0;0.286;0.0;0.375;0.3;0.172;0.0;0.179;0.179;0.208
ENST00000355221_90_90;0.214;1.0;0.957;0.957;0.227;0.609;0.682;0.125;0.455;0.636;0.833;0.409;0.87;0.792;0.696
ENST00000359530_90_90;0.207;0.957;1.0;1.0;0.217;0.652;0.652;0.167;0.435;0.609;0.875;0.391;0.833;0.833;0.667
ENST00000396774_90_90;0.207;0.957;1.0;1.0;0.217;0.652;0.652;0.167;0.435;0.609;0.875;0.391;0.833;0.833;0.667
ENST00000519588_90_90;0.133;0.227;0.217;0.217;1.0;0.176;0.333;0.0;0.25;0.357;0.227;0.273;0.238;0.238;0.294
ENST00000520188_90_90;0.0;0.609;0.652;0.652;0.176;1.0;0.304;0.25;0.087;0.261;0.682;0.6;0.636;0.636;0.455
ENST00000521275_90_90;0.286;0.682;0.652;0.652;0.333;0.304;1.0;0.0;0.667;0.933;0.542;0.412;0.565;0.565;0.684
ENST00000522849_90_90;0.0;0.125;0.167;0.167;0.0;0.25;0.0;1.0;0.0;0.0;0.174;0.077;0.13;0.182;0.1
ENST00000524164_90_90;0.375;0.455;0.435;0.435;0.25;0.087;0.667;0.0;1.0;0.714;0.333;0.118;0.348;0.348;0.421
ENST00000524234_90_90;0.3;0.636;0.609;0.609;0.357;0.261;0.933;0.0;0.714;1.0;0.5;0.353;0.522;0.522;0.632
ENSMUST00000044369_90_90;0.172;0.833;0.875;0.875;0.227;0.682;0.542;0.174;0.333;0.5;1.0;0.409;0.955;0.955;0.773
ENSMUST00000192029_90_90;0.0;0.409;0.391;0.391;0.273;0.6;0.412;0.077;0.118;0.353;0.409;1.0;0.429;0.429;0.529
ENSMUST00000192698_90_90;0.179;0.87;0.833;0.833;0.238;0.636;0.565;0.13;0.348;0.522;0.955;0.429;1.0;0.909;0.81
ENSMUST00000192847_90_90;0.179;0.792;0.833;0.833;0.238;0.636;0.565;0.182;0.348;0.522;0.955;0.429;0.909;1.0;0.81
ENSMUST00000194676_90_90;0.208;0.696;0.667;0.667;0.294;0.455;0.684;0.1;0.421;0.632;0.773;0.529;0.81;0.81;1.0
