;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENSCAFT00000006204_90_90;1.0;0.722;0.93;0.959;0.152;0.898;0.927;0.67;0.08;0.67;0.333;0.121;0.057;0.166;0.058;0.204;0.701;0.22;0.057;0.051;0.129;0.959;0.75;0.125;0.722;0.927;0.774;0.93;0.898
ENST00000361556_90_90;0.722;1.0;0.742;0.722;0.0;0.716;0.744;0.835;0.062;0.835;0.166;0.0;0.132;0.167;0.036;0.259;0.805;0.282;0.132;0.065;0.159;0.722;0.903;0.0;0.936;0.744;0.828;0.742;0.716
ENST00000371714_90_90;0.93;0.742;1.0;0.97;0.133;0.964;0.938;0.691;0.051;0.691;0.374;0.15;0.058;0.137;0.029;0.211;0.67;0.227;0.058;0.052;0.133;0.97;0.722;0.155;0.742;0.938;0.833;1.0;0.964
ENST00000428468_90_90;0.959;0.722;0.97;1.0;0.129;0.936;0.968;0.67;0.08;0.67;0.362;0.145;0.057;0.166;0.058;0.204;0.701;0.22;0.057;0.051;0.129;1.0;0.75;0.149;0.722;0.968;0.809;0.97;0.936
ENST00000435274_90_90;0.152;0.0;0.133;0.129;1.0;0.129;0.099;0.0;0.0;0.0;0.278;0.366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.129;0.0;0.397;0.0;0.099;0.0;0.133;0.129
ENST00000447887_90_90;0.898;0.716;0.964;0.936;0.129;1.0;0.905;0.665;0.049;0.665;0.361;0.145;0.056;0.132;0.028;0.203;0.647;0.219;0.056;0.051;0.128;0.936;0.698;0.149;0.716;0.905;0.803;0.964;1.0
ENST00000453295_90_90;0.927;0.744;0.938;0.968;0.099;0.905;1.0;0.693;0.083;0.693;0.33;0.114;0.058;0.172;0.06;0.211;0.723;0.228;0.058;0.053;0.133;0.968;0.772;0.118;0.744;1.0;0.835;0.938;0.905
ENST00000462759_90_90;0.67;0.835;0.691;0.67;0.0;0.665;0.693;1.0;0.076;1.0;0.09;0.0;0.0;0.203;0.043;0.318;0.955;0.348;0.0;0.08;0.187;0.67;0.805;0.0;0.835;0.693;0.775;0.691;0.665
ENST00000481937_90_90;0.08;0.062;0.051;0.08;0.0;0.049;0.083;0.076;1.0;0.076;0.114;0.0;0.0;0.401;0.54;0.0;0.119;0.174;0.0;0.339;0.0;0.08;0.098;0.0;0.062;0.083;0.057;0.051;0.049
ENST00000486942_90_90;0.67;0.835;0.691;0.67;0.0;0.665;0.693;1.0;0.076;1.0;0.09;0.0;0.0;0.203;0.043;0.318;0.955;0.348;0.0;0.08;0.187;0.67;0.805;0.0;0.835;0.693;0.775;0.691;0.665
ENST00000489990_90_90;0.333;0.166;0.374;0.362;0.278;0.361;0.33;0.09;0.114;0.09;1.0;0.317;0.169;0.101;0.071;0.058;0.087;0.159;0.169;0.119;0.0;0.362;0.161;0.334;0.166;0.33;0.254;0.374;0.361
ENST00000495776_90_90;0.121;0.0;0.15;0.145;0.366;0.145;0.114;0.0;0.0;0.0;0.317;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.145;0.0;0.873;0.0;0.114;0.051;0.15;0.145
