;ENSCAFT00000011051_90_90;ENSCAFT00000039005_90_90;ENST00000319836_90_90;ENST00000395769_90_90;ENST00000453424_90_90;ENST00000453980_90_90;ENSMUST00000079012_90_90;ENSMUST00000101032_90_90;ENSMUST00000123405_90_90;ENSMUST00000126376_90_90;ENSMUST00000129170_90_90;ENSMUST00000135901_90_90;ENSMUST00000140884_90_90;ENSMUST00000203116_90_90;ENSMUST00000203193_90_90;ENSMUST00000204657_90_90
ENSCAFT00000011051_90_90;1.0;0.488;1.0;1.0;0.683;0.445;0.962;0.962;0.663;0.052;0.12;0.752;0.37;0.113;0.793;0.671
ENSCAFT00000039005_90_90;0.488;1.0;0.488;0.488;0.805;0.127;0.52;0.52;0.833;0.0;0.0;0.457;0.115;0.087;0.602;0.327
ENST00000319836_90_90;1.0;0.488;1.0;1.0;0.629;0.459;0.962;0.962;0.601;0.052;0.12;0.752;0.37;0.113;0.793;0.671
ENST00000395769_90_90;1.0;0.488;1.0;1.0;0.629;0.459;0.962;0.962;0.601;0.052;0.12;0.752;0.37;0.113;0.793;0.671
ENST00000453424_90_90;0.683;0.805;0.629;0.629;1.0;0.306;0.6;0.6;0.972;0.035;0.077;0.47;0.244;0.065;0.491;0.429
ENST00000453980_90_90;0.445;0.127;0.459;0.459;0.306;1.0;0.412;0.412;0.274;0.117;0.289;0.375;0.841;0.0;0.244;0.569
ENSMUST00000079012_90_90;0.962;0.52;0.962;0.962;0.6;0.412;1.0;1.0;0.609;0.052;0.12;0.699;0.406;0.114;0.832;0.709
ENSMUST00000101032_90_90;0.962;0.52;0.962;0.962;0.6;0.412;1.0;1.0;0.609;0.052;0.12;0.699;0.406;0.114;0.832;0.709
ENSMUST00000123405_90_90;0.663;0.833;0.601;0.601;0.972;0.274;0.609;0.609;1.0;0.034;0.075;0.431;0.261;0.064;0.503;0.441
ENSMUST00000126376_90_90;0.052;0.0;0.052;0.052;0.035;0.117;0.052;0.052;0.034;1.0;0.422;0.0;0.13;0.0;0.0;0.072
ENSMUST00000129170_90_90;0.12;0.0;0.12;0.12;0.077;0.289;0.12;0.12;0.075;0.422;1.0;0.0;0.32;0.0;0.0;0.171
ENSMUST00000135901_90_90;0.752;0.457;0.752;0.752;0.47;0.375;0.699;0.699;0.431;0.0;0.0;1.0;0.292;0.137;0.738;0.611
ENSMUST00000140884_90_90;0.37;0.115;0.37;0.37;0.244;0.841;0.406;0.406;0.261;0.13;0.32;0.292;1.0;0.0;0.237;0.559
ENSMUST00000203116_90_90;0.113;0.087;0.113;0.113;0.065;0.0;0.114;0.114;0.064;0.0;0.0;0.137;0.0;1.0;0.134;0.171
ENSMUST00000203193_90_90;0.793;0.602;0.793;0.793;0.491;0.244;0.832;0.832;0.503;0.0;0.0;0.738;0.237;0.134;1.0;0.54
ENSMUST00000204657_90_90;0.671;0.327;0.671;0.671;0.429;0.569;0.709;0.709;0.441;0.072;0.171;0.611;0.559;0.171;0.54;1.0
