;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.852;0.902;0.668;0.24;0.847;0.206;0.206;0.396;0.852;0.964;0.782;0.746;0.694
ENST00000265651_90_90;0.852;1.0;0.821;0.744;0.29;0.777;0.304;0.304;0.455;0.839;0.855;0.812;0.762;0.788
ENST00000448981_90_90;0.902;0.821;1.0;0.586;0.294;0.953;0.182;0.182;0.457;0.863;0.8;0.957;0.905;0.748
ENST00000526785_90_90;0.668;0.744;0.586;1.0;0.048;0.612;0.408;0.408;0.199;0.599;0.671;0.639;0.674;0.594
ENST00000529137_90_90;0.24;0.29;0.294;0.048;1.0;0.25;0.0;0.0;0.614;0.302;0.255;0.238;0.186;0.304
ENST00000530401_90_90;0.847;0.777;0.953;0.612;0.25;1.0;0.191;0.191;0.409;0.818;0.75;0.905;0.956;0.696
ENST00000531080_90_90;0.206;0.304;0.182;0.408;0.0;0.191;1.0;1.0;0.0;0.186;0.205;0.198;0.208;0.103
ENST00000532057_90_90;0.206;0.304;0.182;0.408;0.0;0.191;1.0;1.0;0.0;0.186;0.205;0.198;0.208;0.103
ENST00000532927_90_90;0.396;0.455;0.457;0.199;0.614;0.409;0.0;0.0;1.0;0.473;0.42;0.393;0.341;0.502
ENST00000534136_90_90;0.852;0.839;0.863;0.599;0.302;0.818;0.186;0.186;0.473;1.0;0.879;0.845;0.794;0.816
ENSMUST00000028603_90_90;0.964;0.855;0.8;0.671;0.255;0.75;0.205;0.205;0.42;0.879;1.0;0.667;0.64;0.661
ENSMUST00000102565_90_90;0.782;0.812;0.957;0.639;0.238;0.905;0.198;0.198;0.393;0.845;0.667;1.0;0.956;0.76
ENSMUST00000111135_90_90;0.746;0.762;0.905;0.674;0.186;0.956;0.208;0.208;0.341;0.794;0.64;0.956;1.0;0.721
ENSMUST00000111136_90_90;0.694;0.788;0.748;0.594;0.304;0.696;0.103;0.103;0.502;0.816;0.661;0.76;0.721;1.0
