;ENSCAFT00000030441_90_90;ENSCAFT00000047641_90_90;ENST00000359786_90_90;ENST00000361007_90_90;ENST00000438665_90_90;ENST00000545534_90_90;ENST00000570490_90_90;ENST00000570984_90_90;ENST00000571715_90_90;ENST00000573853_90_90;ENST00000574790_90_90;ENST00000575011_90_90;ENST00000575158_90_90;ENST00000575335_90_90;ENSMUST00000069057_90_90;ENSMUST00000102504_90_90;ENSMUST00000102505_90_90;ENSMUST00000108431_90_90;ENSMUST00000136935_90_90
ENSCAFT00000030441_90_90;;;0.881;0.827;0.838;0.84;0.224;0.359;0.13;0.28;0.244;0.102;0.827;0.165;0.883;0.883;0.937;0.891;0.08
ENSCAFT00000047641_90_90;;;0.827;0.922;0.858;0.861;0.209;0.421;0.149;0.333;0.288;0.122;0.922;0.192;1.0;1.0;0.883;0.921;0.051
ENST00000359786_90_90;0.881;0.827;;;;;;;;;;;;;0.827;0.827;0.937;0.838;0.08
ENST00000361007_90_90;0.827;0.922;;;;;;;;;;;;;0.922;0.922;0.827;0.858;0.051
ENST00000438665_90_90;0.838;0.858;;;;;;;;;;;;;0.858;0.858;0.838;0.933;0.083
ENST00000545534_90_90;0.84;0.861;;;;;;;;;;;;;0.861;0.861;0.84;0.871;0.083
ENST00000570490_90_90;0.224;0.209;;;;;;;;;;;;;0.209;0.209;0.224;0.235;0.306
ENST00000570984_90_90;0.359;0.421;;;;;;;;;;;;;0.421;0.421;0.359;0.378;0.115
ENST00000571715_90_90;0.13;0.149;;;;;;;;;;;;;0.149;0.149;0.13;0.136;0.206
ENST00000573853_90_90;0.28;0.333;;;;;;;;;;;;;0.333;0.333;0.28;0.296;0.151
ENST00000574790_90_90;0.244;0.288;;;;;;;;;;;;;0.288;0.288;0.244;0.258;0.159
ENST00000575011_90_90;0.102;0.122;;;;;;;;;;;;;0.122;0.122;0.102;0.108;0.0
ENST00000575158_90_90;0.827;0.922;;;;;;;;;;;;;0.922;0.922;0.827;0.858;0.051
ENST00000575335_90_90;0.165;0.192;;;;;;;;;;;;;0.192;0.192;0.165;0.173;0.191
ENSMUST00000069057_90_90;0.883;1.0;0.827;0.922;0.858;0.861;0.209;0.421;0.149;0.333;0.288;0.122;0.922;0.192;;;;;
ENSMUST00000102504_90_90;0.883;1.0;0.827;0.922;0.858;0.861;0.209;0.421;0.149;0.333;0.288;0.122;0.922;0.192;;;;;
ENSMUST00000102505_90_90;0.937;0.883;0.937;0.827;0.838;0.84;0.224;0.359;0.13;0.28;0.244;0.102;0.827;0.165;;;;;
ENSMUST00000108431_90_90;0.891;0.921;0.838;0.858;0.933;0.871;0.235;0.378;0.136;0.296;0.258;0.108;0.858;0.173;;;;;
ENSMUST00000136935_90_90;0.08;0.051;0.08;0.051;0.083;0.083;0.306;0.115;0.206;0.151;0.159;0.0;0.051;0.191;;;;;
