;ENSCAFT00000013523_90_90;ENST00000339266_90_90;ENST00000340491_90_90;ENST00000373907_90_90;ENST00000373913_90_90;ENST00000401952_90_90;ENST00000475894_90_90;ENST00000482872_90_90;ENST00000489701_90_90;ENST00000495241_90_90;ENSMUST00000000094_90_90;ENSMUST00000070782_90_90;ENSMUST00000099145_90_90;ENSMUST00000109566_90_90;ENSMUST00000109567_90_90;ENSMUST00000109568_90_90;ENSMUST00000131157_90_90;ENSMUST00000137356_90_90;ENSMUST00000146412_90_90;ENSMUST00000169464_90_90;ENSMUST00000171030_90_90;ENSMUST00000177013_90_90
ENSCAFT00000013523_90_90;;0.787;0.393;0.787;0.714;0.714;0.371;0.071;0.275;0.206;0.275;0.817;0.503;0.371;0.817;0.865;0.146;0.045;0.18;0.894;0.339;0.106
ENST00000339266_90_90;0.787;;;;;;;;;;0.296;0.734;0.414;0.393;0.734;0.779;0.169;0.043;0.175;0.807;0.362;0.103
ENST00000340491_90_90;0.393;;;;;;;;;;0.496;0.358;0.727;0.681;0.358;0.428;0.287;0.08;0.301;0.414;0.627;0.175
ENST00000373907_90_90;0.787;;;;;;;;;;0.296;0.734;0.414;0.393;0.734;0.779;0.169;0.043;0.175;0.807;0.362;0.103
ENST00000373913_90_90;0.714;;;;;;;;;;0.289;0.722;0.358;0.383;0.722;0.707;0.164;0.042;0.17;0.734;0.352;0.1
ENST00000401952_90_90;0.714;;;;;;;;;;0.289;0.722;0.358;0.383;0.722;0.707;0.164;0.042;0.17;0.734;0.352;0.1
ENST00000475894_90_90;0.371;;;;;;;;;;0.623;0.383;0.681;1.0;0.383;0.408;0.42;0.119;0.442;0.393;0.922;0.256
ENST00000482872_90_90;0.071;;;;;;;;;;0.186;0.067;0.118;0.173;0.067;0.072;0.0;0.7;0.391;0.069;0.188;0.677
ENST00000489701_90_90;0.275;;;;;;;;;;0.894;0.289;0.496;0.623;0.289;0.306;0.353;0.132;0.478;0.296;0.665;0.276
ENST00000495241_90_90;0.206;;;;;;;;;;0.53;0.194;0.339;0.493;0.194;0.207;0.13;0.251;0.903;0.2;0.536;0.52
ENSMUST00000000094_90_90;0.275;0.296;0.496;0.296;0.289;0.289;0.623;0.186;0.894;0.53;;;;;;;;;;;;
ENSMUST00000070782_90_90;0.817;0.734;0.358;0.734;0.722;0.722;0.383;0.067;0.289;0.194;;;;;;;;;;;;
ENSMUST00000099145_90_90;0.503;0.414;0.727;0.414;0.358;0.358;0.681;0.118;0.496;0.339;;;;;;;;;;;;
ENSMUST00000109566_90_90;0.371;0.393;0.681;0.393;0.383;0.383;1.0;0.173;0.623;0.493;;;;;;;;;;;;
ENSMUST00000109567_90_90;0.817;0.734;0.358;0.734;0.722;0.722;0.383;0.067;0.289;0.194;;;;;;;;;;;;
ENSMUST00000109568_90_90;0.865;0.779;0.428;0.779;0.707;0.707;0.408;0.072;0.306;0.207;;;;;;;;;;;;
ENSMUST00000131157_90_90;0.146;0.169;0.287;0.169;0.164;0.164;0.42;0.0;0.353;0.13;;;;;;;;;;;;
ENSMUST00000137356_90_90;0.045;0.043;0.08;0.043;0.042;0.042;0.119;0.7;0.132;0.251;;;;;;;;;;;;
ENSMUST00000146412_90_90;0.18;0.175;0.301;0.175;0.17;0.17;0.442;0.391;0.478;0.903;;;;;;;;;;;;
ENSMUST00000169464_90_90;0.894;0.807;0.414;0.807;0.734;0.734;0.393;0.069;0.296;0.2;;;;;;;;;;;;
ENSMUST00000171030_90_90;0.339;0.362;0.627;0.362;0.352;0.352;0.922;0.188;0.665;0.536;;;;;;;;;;;;
ENSMUST00000177013_90_90;0.106;0.103;0.175;0.103;0.1;0.1;0.256;0.677;0.276;0.52;;;;;;;;;;;;
