;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.965;0.962;0.843;0.965;0.362;0.469;0.358;0.522;0.904;0.997;0.996;0.904;0.996;0.087;0.057;0.17;0.268;0.4
ENST00000290246_90_90;0.965;1.0;0.997;0.878;1.0;0.358;0.47;0.393;0.436;0.704;0.929;0.927;0.704;0.927;0.088;0.057;0.17;0.268;0.352
ENST00000352077_90_90;0.962;0.997;1.0;0.875;0.997;0.359;0.467;0.394;0.438;0.702;0.926;0.924;0.702;0.924;0.088;0.057;0.171;0.269;0.353
ENST00000372176_90_90;0.843;0.878;0.875;1.0;0.878;0.407;0.348;0.448;0.49;0.605;0.811;0.81;0.605;0.81;0.0;0.0;0.048;0.305;0.399
ENST00000396391_90_90;0.965;1.0;0.997;0.878;1.0;0.358;0.47;0.393;0.436;0.704;0.929;0.927;0.704;0.927;0.088;0.057;0.17;0.268;0.352
ENST00000425546_90_90;0.362;0.358;0.359;0.407;0.358;1.0;0.264;0.076;0.385;0.326;0.362;0.361;0.326;0.361;0.0;0.0;0.0;0.217;0.093
ENST00000450812_90_90;0.469;0.47;0.467;0.348;0.47;0.264;1.0;0.0;0.088;0.423;0.469;0.468;0.423;0.468;0.186;0.121;0.362;0.57;0.0
ENST00000452857_90_90;0.358;0.393;0.394;0.448;0.393;0.076;0.0;1.0;0.359;0.214;0.343;0.344;0.214;0.344;0.0;0.0;0.0;0.0;0.811
ENST00000467800_90_90;0.522;0.436;0.438;0.49;0.436;0.385;0.088;0.359;1.0;0.472;0.522;0.522;0.472;0.522;0.0;0.0;0.0;0.034;0.496
ENSMUST00000071699_90_90;0.904;0.704;0.702;0.605;0.704;0.326;0.423;0.214;0.472;1.0;0.747;0.757;1.0;0.757;0.079;0.052;0.154;0.243;0.259
ENSMUST00000074046_90_90;0.997;0.929;0.926;0.811;0.929;0.362;0.469;0.343;0.522;0.747;1.0;0.984;0.747;0.984;0.086;0.056;0.168;0.265;0.396
ENSMUST00000094329_90_90;0.996;0.927;0.924;0.81;0.927;0.361;0.468;0.344;0.522;0.757;0.984;1.0;0.757;1.0;0.087;0.057;0.17;0.269;0.402
ENSMUST00000103088_90_90;0.904;0.704;0.702;0.605;0.704;0.326;0.423;0.214;0.472;1.0;0.747;0.757;1.0;0.757;0.079;0.052;0.154;0.243;0.259
ENSMUST00000103091_90_90;0.996;0.927;0.924;0.81;0.927;0.361;0.468;0.344;0.522;0.757;0.984;1.0;0.757;1.0;0.087;0.057;0.17;0.269;0.402
ENSMUST00000126318_90_90;0.087;0.088;0.088;0.0;0.088;0.0;0.186;0.0;0.0;0.079;0.086;0.087;0.079;0.087;1.0;0.613;0.514;0.0;0.0
ENSMUST00000128690_90_90;0.057;0.057;0.057;0.0;0.057;0.0;0.121;0.0;0.0;0.052;0.056;0.057;0.052;0.057;0.613;1.0;0.337;0.0;0.0
ENSMUST00000133205_90_90;0.17;0.17;0.171;0.048;0.17;0.0;0.362;0.0;0.0;0.154;0.168;0.17;0.154;0.17;0.514;0.337;1.0;0.083;0.0
ENSMUST00000137188_90_90;0.268;0.268;0.269;0.305;0.268;0.217;0.57;0.0;0.034;0.243;0.265;0.269;0.243;0.269;0.0;0.0;0.083;1.0;0.0
ENSMUST00000148643_90_90;0.4;0.352;0.353;0.399;0.352;0.093;0.0;0.811;0.496;0.259;0.396;0.402;0.259;0.402;0.0;0.0;0.0;0.0;1.0
