;ENSCAFT00000022358_90_90;ENST00000402521_90_90;ENST00000426333_90_90;ENST00000588374_90_90;ENST00000589769_90_90;ENST00000590124_90_90;ENST00000591382_90_90;ENST00000591856_90_90;ENST00000592576_90_90;ENST00000592701_90_90;ENST00000593072_90_90;ENSMUST00000021306_90_90;ENSMUST00000107060_90_90;ENSMUST00000132543_90_90;ENSMUST00000138483_90_90;ENSMUST00000172611_90_90;ENSMUST00000173679_90_90
ENSCAFT00000022358_90_90;1.0;0.964;1.0;0.034;0.138;0.229;1.0;0.028;0.99;0.109;0.153;1.0;0.999;0.087;0.031;0.027;0.99
ENST00000402521_90_90;0.964;1.0;0.964;0.006;0.143;0.238;0.964;0.028;0.954;0.073;0.117;0.964;0.963;0.09;0.003;0.026;0.954
ENST00000426333_90_90;1.0;0.964;1.0;0.034;0.138;0.229;1.0;0.027;0.99;0.109;0.153;1.0;0.999;0.087;0.031;0.025;0.99
ENST00000588374_90_90;0.034;0.006;0.034;1.0;0.0;0.0;0.034;0.0;0.034;0.31;0.222;0.034;0.034;0.0;0.909;0.0;0.034
ENST00000589769_90_90;0.138;0.143;0.138;0.0;1.0;0.415;0.138;0.0;0.139;0.0;0.0;0.138;0.138;0.427;0.0;0.0;0.139
ENST00000590124_90_90;0.229;0.238;0.229;0.0;0.415;1.0;0.229;0.0;0.232;0.0;0.0;0.229;0.23;0.256;0.0;0.0;0.232
ENST00000591382_90_90;1.0;0.964;1.0;0.034;0.138;0.229;1.0;0.027;0.99;0.109;0.153;1.0;0.999;0.087;0.031;0.025;0.99
ENST00000591856_90_90;0.028;0.028;0.027;0.0;0.0;0.0;0.027;1.0;0.028;0.0;0.0;0.028;0.028;0.0;0.0;0.0;0.028
ENST00000592576_90_90;0.99;0.954;0.99;0.034;0.139;0.232;0.99;0.028;1.0;0.111;0.147;0.99;0.989;0.088;0.031;0.025;1.0
ENST00000592701_90_90;0.109;0.073;0.109;0.31;0.0;0.0;0.109;0.0;0.111;1.0;0.717;0.109;0.108;0.0;0.282;0.0;0.111
ENST00000593072_90_90;0.153;0.117;0.153;0.222;0.0;0.0;0.153;0.0;0.147;0.717;1.0;0.153;0.152;0.0;0.202;0.0;0.147
ENSMUST00000021306_90_90;1.0;0.964;1.0;0.034;0.138;0.229;1.0;0.028;0.99;0.109;0.153;1.0;0.999;0.087;0.031;0.025;0.99
ENSMUST00000107060_90_90;0.999;0.963;0.999;0.034;0.138;0.23;0.999;0.028;0.989;0.108;0.152;0.999;1.0;0.087;0.031;0.025;0.989
ENSMUST00000132543_90_90;0.087;0.09;0.087;0.0;0.427;0.256;0.087;0.0;0.088;0.0;0.0;0.087;0.087;1.0;0.0;0.0;0.088
ENSMUST00000138483_90_90;0.031;0.003;0.031;0.909;0.0;0.0;0.031;0.0;0.031;0.282;0.202;0.031;0.031;0.0;1.0;0.0;0.031
ENSMUST00000172611_90_90;0.027;0.026;0.025;0.0;0.0;0.0;0.025;0.0;0.025;0.0;0.0;0.025;0.025;0.0;0.0;1.0;0.025
ENSMUST00000173679_90_90;0.99;0.954;0.99;0.034;0.139;0.232;0.99;0.028;1.0;0.111;0.147;0.99;0.989;0.088;0.031;0.025;1.0
