;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.936;0.366;0.821;0.688;0.859;0.124;0.821;0.968;0.968;0.968;1.0;0.266;0.162
ENST00000342203_90_90;0.936;1.0;0.312;0.89;0.686;0.867;0.087;0.89;0.91;0.91;0.91;0.94;0.277;0.17
ENST00000422026_90_90;0.366;0.312;1.0;0.207;0.339;0.336;0.0;0.207;0.366;0.366;0.366;0.352;0.731;0.409
ENST00000437941_90_90;0.821;0.89;0.207;1.0;0.631;0.762;0.094;1.0;0.799;0.799;0.799;0.83;0.154;0.048
ENST00000476905_90_90;0.688;0.686;0.339;0.631;1.0;0.738;0.0;0.631;0.669;0.669;0.669;0.7;0.307;0.168
ENST00000481102_90_90;0.859;0.867;0.336;0.762;0.738;1.0;0.094;0.762;0.834;0.834;0.834;0.865;0.299;0.183
ENST00000603677_90_90;0.124;0.087;0.0;0.094;0.0;0.094;1.0;0.094;0.124;0.124;0.124;0.121;0.0;0.0
ENST00000605755_90_90;0.821;0.89;0.207;1.0;0.631;0.762;0.094;1.0;0.799;0.799;0.799;0.83;0.154;0.048
ENSMUST00000039021_90_90;0.968;0.91;0.366;0.799;0.669;0.834;0.124;0.799;1.0;1.0;1.0;0.971;0.257;0.154
ENSMUST00000106149_90_90;0.968;0.91;0.366;0.799;0.669;0.834;0.124;0.799;1.0;1.0;1.0;0.971;0.257;0.154
ENSMUST00000106151_90_90;0.968;0.91;0.366;0.799;0.669;0.834;0.124;0.799;1.0;1.0;1.0;0.971;0.257;0.154
ENSMUST00000106153_90_90;1.0;0.94;0.352;0.83;0.7;0.865;0.121;0.83;0.971;0.971;0.971;1.0;0.248;0.147
ENSMUST00000129978_90_90;0.266;0.277;0.731;0.154;0.307;0.299;0.0;0.154;0.257;0.257;0.257;0.248;1.0;0.566
ENSMUST00000149262_90_90;0.162;0.17;0.409;0.048;0.168;0.183;0.0;0.048;0.154;0.154;0.154;0.147;0.566;1.0
