;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.787;0.79;0.99;0.82;0.79;0.217;0.701;0.913;0.957
ENSCAFT00000008903_90_90;0.787;1.0;0.996;0.796;0.964;0.996;0.133;0.706;0.784;0.82
ENST00000343600_90_90;0.79;0.996;1.0;0.799;0.968;1.0;0.135;0.706;0.787;0.823
ENST00000345429_90_90;0.99;0.796;0.799;1.0;0.829;0.799;0.226;0.695;0.922;0.967
ENST00000376673_90_90;0.82;0.964;0.968;0.829;1.0;0.968;0.131;0.684;0.766;0.8
ENST00000397601_90_90;0.79;0.996;1.0;0.799;0.968;1.0;0.135;0.706;0.787;0.823
ENST00000449284_90_90;0.217;0.133;0.135;0.226;0.131;0.135;1.0;0.0;0.28;0.232
ENST00000469707_90_90;0.701;0.706;0.706;0.695;0.684;0.706;0.0;1.0;0.684;0.718
ENSMUST00000088419_90_90;0.913;0.784;0.787;0.922;0.766;0.787;0.28;0.684;1.0;0.952
ENSMUST00000167459_90_90;0.957;0.82;0.823;0.967;0.8;0.823;0.232;0.718;0.952;1.0
