;ENSCAFT00000017823_90_90;ENST00000257075_90_90;ENST00000373741_90_90;ENST00000373742_90_90;ENST00000373747_90_90;ENST00000424085_90_90;ENST00000426105_90_90;ENST00000440538_90_90;ENST00000480602_90_90;ENST00000498419_90_90;ENST00000525843_90_90;ENST00000525948_90_90;ENST00000525997_90_90;ENST00000526215_90_90;ENST00000527498_90_90;ENST00000529846_90_90;ENST00000530669_90_90;ENST00000531867_90_90;ENST00000532678_90_90;ENSMUST00000030315_90_90;ENSMUST00000097862_90_90;ENSMUST00000097864_90_90;ENSMUST00000105991_90_90;ENSMUST00000105992_90_90;ENSMUST00000143277_90_90
ENSCAFT00000017823_90_90;1.0;0.829;0.789;0.763;0.886;0.714;0.857;0.882;0.091;0.649;0.757;0.062;0.094;0.062;0.094;0.25;0.061;0.062;0.152;0.941;0.912;0.882;0.765;0.882;0.281
ENST00000257075_90_90;0.829;1.0;0.889;0.861;0.941;0.875;0.97;0.882;0.091;0.649;0.857;0.062;0.094;0.062;0.094;0.212;0.061;0.062;0.188;0.886;0.912;0.939;0.818;0.882;0.242
ENST00000373741_90_90;0.789;0.889;1.0;0.919;0.892;0.778;0.917;0.838;0.081;0.625;0.865;0.056;0.083;0.056;0.083;0.222;0.054;0.056;0.167;0.842;0.865;0.838;0.73;0.838;0.216
ENST00000373742_90_90;0.763;0.861;0.919;1.0;0.865;0.8;0.838;0.811;0.083;0.641;0.889;0.057;0.086;0.057;0.086;0.194;0.056;0.057;0.171;0.816;0.789;0.811;0.75;0.811;0.222
ENST00000373747_90_90;0.886;0.941;0.892;0.865;1.0;0.824;0.971;0.941;0.086;0.703;0.861;0.059;0.088;0.059;0.088;0.235;0.057;0.059;0.176;0.943;0.914;0.886;0.771;0.886;0.229
ENST00000424085_90_90;0.714;0.875;0.778;0.8;0.824;1.0;0.848;0.765;0.103;0.676;0.743;0.071;0.107;0.071;0.107;0.241;0.069;0.071;0.133;0.771;0.794;0.818;0.931;0.818;0.276
ENST00000426105_90_90;0.857;0.97;0.917;0.838;0.971;0.848;1.0;0.912;0.088;0.676;0.833;0.061;0.091;0.061;0.091;0.242;0.059;0.061;0.182;0.914;0.941;0.912;0.794;0.912;0.235
ENST00000440538_90_90;0.882;0.882;0.838;0.811;0.941;0.765;0.912;1.0;0.091;0.649;0.806;0.062;0.094;0.062;0.094;0.25;0.061;0.062;0.188;0.886;0.857;0.829;0.714;0.829;0.242
ENST00000480602_90_90;0.091;0.091;0.081;0.083;0.086;0.103;0.088;0.091;1.0;0.0;0.088;0.2;0.0;0.2;0.0;0.0;0.0;0.5;0.0;0.086;0.088;0.091;0.103;0.091;0.3
ENST00000498419_90_90;0.649;0.649;0.625;0.641;0.703;0.676;0.676;0.649;0.0;1.0;0.59;0.0;0.103;0.0;0.103;0.276;0.067;0.0;0.167;0.703;0.676;0.649;0.676;0.694;0.118
