;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.478;0.261;0.995;0.953;0.146;0.979;0.939;0.939;0.879;0.85;0.761;0.803;0.12;0.794;0.23;0.939;0.126
ENST00000324778_90_90;0.478;1.0;0.0;0.478;0.457;0.119;0.472;0.451;0.451;0.48;0.469;0.545;0.509;0.106;0.575;0.31;0.451;0.117
ENST00000367632_90_90;0.261;0.0;1.0;0.262;0.25;0.0;0.255;0.244;0.244;0.259;0.23;0.121;0.171;0.0;0.127;0.0;0.244;0.0
ENST00000367634_90_90;0.995;0.478;0.262;1.0;0.955;0.147;0.979;0.936;0.936;0.877;0.848;0.759;0.801;0.12;0.794;0.23;0.936;0.126
ENST00000367635_90_90;0.953;0.457;0.25;0.955;1.0;0.141;0.936;0.98;0.98;0.921;0.891;0.803;0.844;0.115;0.759;0.22;0.98;0.12
ENST00000415888_90_90;0.146;0.119;0.0;0.147;0.141;1.0;0.144;0.138;0.138;0.146;0.143;0.165;0.155;0.0;0.174;0.0;0.138;0.0
ENSMUST00000027886_90_90;0.979;0.472;0.255;0.979;0.936;0.144;1.0;0.956;0.956;0.897;0.863;0.77;0.818;0.119;0.805;0.228;0.956;0.124
ENSMUST00000063199_90_90;0.939;0.451;0.244;0.936;0.98;0.138;0.956;1.0;1.0;0.941;0.906;0.813;0.861;0.114;0.77;0.218;1.0;0.119
ENSMUST00000171292_90_90;0.939;0.451;0.244;0.936;0.98;0.138;0.956;1.0;1.0;0.941;0.906;0.813;0.861;0.114;0.77;0.218;1.0;0.119
ENSMUST00000172057_90_90;0.879;0.48;0.259;0.877;0.921;0.146;0.897;0.941;0.941;1.0;0.848;0.755;0.803;0.054;0.711;0.158;0.941;0.06
ENSMUST00000185198_90_90;0.85;0.469;0.23;0.848;0.891;0.143;0.863;0.906;0.906;0.848;1.0;0.845;0.894;0.118;0.799;0.226;0.906;0.123
ENSMUST00000188656_90_90;0.761;0.545;0.121;0.759;0.803;0.165;0.77;0.813;0.813;0.755;0.845;1.0;0.917;0.137;0.947;0.262;0.813;0.143
ENSMUST00000189316_90_90;0.803;0.509;0.171;0.801;0.844;0.155;0.818;0.861;0.861;0.803;0.894;0.917;1.0;0.128;0.867;0.245;0.861;0.134
ENSMUST00000189648_90_90;0.12;0.106;0.0;0.12;0.115;0.0;0.119;0.114;0.114;0.054;0.118;0.137;0.128;1.0;0.145;0.522;0.114;0.859
ENSMUST00000190648_90_90;0.794;0.575;0.127;0.794;0.759;0.174;0.805;0.77;0.77;0.711;0.799;0.947;0.867;0.145;1.0;0.277;0.77;0.151
ENSMUST00000190762_90_90;0.23;0.31;0.0;0.23;0.22;0.0;0.228;0.218;0.218;0.158;0.226;0.262;0.245;0.522;0.277;1.0;0.218;0.525
ENSMUST00000191605_90_90;0.939;0.451;0.244;0.936;0.98;0.138;0.956;1.0;1.0;0.941;0.906;0.813;0.861;0.114;0.77;0.218;1.0;0.119
ENSMUST00000192343_90_90;0.126;0.117;0.0;0.126;0.12;0.0;0.124;0.119;0.119;0.06;0.123;0.143;0.134;0.859;0.151;0.525;0.119;1.0
