;transcript52_ENSMUSG00000054036;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript52_MGP-CAROLIEiJ-G0020234;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;0.6;1.0;0.75;0.75;1.0;0.778;0.667;0.556;0.611;0.611;0.625;0.625;1.0;0.188;0.625;0.625;0.6
transcript57_ENSMUSG00000054036;0.6;1.0;0.6;0.8;1.0;0.75;0.583;0.917;0.944;1.0;1.0;1.0;1.0;0.625;0.562;1.0;1.0;1.0
transcript64_ENSMUSG00000054036;1.0;0.6;1.0;0.75;0.75;1.0;0.778;0.667;0.556;0.611;0.611;0.625;0.625;1.0;0.188;0.625;0.625;0.6
transcript67_ENSMUSG00000054036;0.75;0.8;0.75;1.0;1.0;0.75;0.583;0.917;0.778;0.833;0.833;0.812;0.812;0.769;0.375;0.812;0.812;0.8
transcript9_MGP-CAROLIEiJ-G0020234;0.75;1.0;0.75;1.0;1.0;0.562;0.438;0.938;0.688;1.0;0.75;0.917;1.0;0.833;0.667;0.75;0.75;1.0
transcript52_MGP-CAROLIEiJ-G0020234;1.0;0.75;1.0;0.75;0.562;1.0;0.778;0.5;0.667;0.562;0.75;0.636;0.583;0.7;0.25;0.778;0.778;0.562
transcript62_MGP-CAROLIEiJ-G0020234;0.778;0.583;0.778;0.583;0.438;0.778;1.0;0.375;0.636;0.438;0.583;0.455;0.417;0.5;0.083;0.556;0.556;0.438
transcript63_MGP-CAROLIEiJ-G0020234;0.667;0.917;0.667;0.917;0.938;0.5;0.375;1.0;0.625;0.938;0.688;0.833;0.917;0.75;0.727;0.667;0.667;0.938
transcript7_MGP-PahariEiJ-G0020237;0.556;0.944;0.556;0.778;0.688;0.667;0.636;0.625;1.0;0.773;0.944;0.812;0.765;0.471;0.412;0.929;0.929;0.773
transcript9_MGP-PahariEiJ-G0020237;0.611;1.0;0.611;0.833;1.0;0.562;0.438;0.938;0.773;1.0;0.818;0.941;1.0;0.706;0.647;0.824;0.824;1.0
transcript48_MGP-PahariEiJ-G0020237;0.611;1.0;0.611;0.833;0.75;0.75;0.583;0.688;0.944;0.818;1.0;0.875;0.824;0.529;0.471;1.0;1.0;0.818
transcript8_ENSRNOG00000031503;0.625;1.0;0.625;0.812;0.917;0.636;0.455;0.833;0.812;0.941;0.875;1.0;0.947;0.632;0.579;0.889;0.889;0.947
transcript40_ENSRNOG00000031503;0.625;1.0;0.625;0.812;1.0;0.583;0.417;0.917;0.765;1.0;0.824;0.947;1.0;0.684;0.632;0.842;0.842;1.0
transcript49_ENSRNOG00000031503;1.0;0.625;1.0;0.769;0.833;0.7;0.5;0.75;0.471;0.706;0.529;0.632;0.684;1.0;0.316;0.526;0.526;0.684
transcript53_ENSRNOG00000031503;0.188;0.562;0.188;0.375;0.667;0.25;0.083;0.727;0.412;0.647;0.471;0.579;0.632;0.316;1.0;0.474;0.474;0.632
transcript54_ENSRNOG00000031503;0.625;1.0;0.625;0.812;0.75;0.778;0.556;0.667;0.929;0.824;1.0;0.889;0.842;0.526;0.474;1.0;1.0;0.842
transcript55_ENSRNOG00000031503;0.625;1.0;0.625;0.812;0.75;0.778;0.556;0.667;0.929;0.824;1.0;0.889;0.842;0.526;0.474;1.0;1.0;0.842
transcript41_ENSMUGG00000013649;0.6;1.0;0.6;0.8;1.0;0.562;0.438;0.938;0.773;1.0;0.818;0.947;1.0;0.684;0.632;0.842;0.842;1.0
