;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;;0.845;0.845;0.661;0.714;0.714;0.603;0.406;0.644;0.508;0.363;0.845;0.314;0.774;0.314;0.451;0.284;0.363;0.369;0.645;0.159;0.627;0.845;0.203;0.425;0.066;0.088;0.088;0.071;0.0;0.037;0.0;0.076;0.088
ENST00000264312_90_90;0.845;;;;;;;;;;;;;;;;;;;;;;;;;0.067;0.09;0.09;0.072;0.0;0.038;0.0;0.078;0.09
ENST00000381473_90_90;0.845;;;;;;;;;;;;;;;;;;;;;;;;;0.067;0.09;0.09;0.072;0.0;0.038;0.0;0.078;0.09
ENST00000396448_90_90;0.661;;;;;;;;;;;;;;;;;;;;;;;;;0.073;0.098;0.098;0.078;0.0;0.042;0.0;0.085;0.098
ENST00000425583_90_90;0.714;;;;;;;;;;;;;;;;;;;;;;;;;0.072;0.098;0.098;0.077;0.0;0.042;0.0;0.085;0.098
ENST00000444354_90_90;0.714;;;;;;;;;;;;;;;;;;;;;;;;;0.072;0.098;0.098;0.077;0.0;0.042;0.0;0.085;0.098
ENST00000503016_90_90;0.603;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000504654_90_90;0.406;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.141;0.141;0.111;0.0;0.065;0.0;0.127;0.141
ENST00000505922_90_90;0.644;;;;;;;;;;;;;;;;;;;;;;;;;0.08;0.087;0.087;0.087;0.0;0.048;0.0;0.096;0.087
ENST00000506801_90_90;0.508;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000507210_90_90;0.363;;;;;;;;;;;;;;;;;;;;;;;;;0.104;0.147;0.147;0.115;0.0;0.068;0.0;0.133;0.147
ENST00000508293_90_90;0.845;;;;;;;;;;;;;;;;;;;;;;;;;0.067;0.09;0.09;0.072;0.0;0.038;0.0;0.078;0.09
ENST00000508996_90_90;0.314;;;;;;;;;;;;;;;;;;;;;;;;;0.108;0.154;0.154;0.121;0.0;0.071;0.0;0.141;0.154
ENST00000509122_90_90;0.774;;;;;;;;;;;;;;;;;;;;;;;;;0.074;0.081;0.081;0.08;0.0;0.044;0.0;0.088;0.081
ENST00000509164_90_90;0.314;;;;;;;;;;;;;;;;;;;;;;;;;0.108;0.154;0.154;0.121;0.0;0.071;0.0;0.141;0.154
ENST00000509246_90_90;0.451;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000509664_90_90;0.284;;;;;;;;;;;;;;;;;;;;;;;;;0.112;0.161;0.161;0.126;0.0;0.075;0.0;0.147;0.161
ENST00000509963_90_90;0.363;;;;;;;;;;;;;;;;;;;;;;;;;0.104;0.147;0.147;0.115;0.0;0.068;0.0;0.133;0.147
ENST00000510824_90_90;0.369;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000511102_90_90;0.645;;;;;;;;;;;;;;;;;;;;;;;;;0.078;0.107;0.107;0.085;0.0;0.047;0.0;0.093;0.107
ENST00000511662_90_90;0.159;;;;;;;;;;;;;;;;;;;;;;;;;0.138;0.205;0.205;0.158;0.0;0.102;0.0;0.194;0.205
ENST00000512236_90_90;0.627;;;;;;;;;;;;;;;;;;;;;;;;;0.08;0.11;0.11;0.087;0.0;0.048;0.0;0.096;0.11
ENST00000513391_90_90;0.845;;;;;;;;;;;;;;;;;;;;;;;;;0.067;0.09;0.09;0.072;0.0;0.038;0.0;0.078;0.09
ENST00000513641_90_90;0.203;;;;;;;;;;;;;;;;;;;;;;;;;0.127;0.185;0.185;0.144;0.0;0.089;0.0;0.172;0.185
ENST00000514981_90_90;0.425;;;;;;;;;;;;;;;;;;;;;;;;;0.098;0.137;0.137;0.107;0.0;0.062;0.0;0.122;0.137
ENSMUST00000031038_90_90;0.066;0.067;0.067;0.073;0.072;0.072;0.0;0.1;0.08;0.0;0.104;0.067;0.108;0.074;0.108;0.0;0.112;0.104;0.0;0.078;0.138;0.08;0.067;0.127;0.098;;;;;;;;;
ENSMUST00000071081_90_90;0.088;0.09;0.09;0.098;0.098;0.098;0.0;0.141;0.087;0.0;0.147;0.09;0.154;0.081;0.154;0.0;0.161;0.147;0.0;0.107;0.205;0.11;0.09;0.185;0.137;;;;;;;;;
ENSMUST00000166823_90_90;0.088;0.09;0.09;0.098;0.098;0.098;0.0;0.141;0.087;0.0;0.147;0.09;0.154;0.081;0.154;0.0;0.161;0.147;0.0;0.107;0.205;0.11;0.09;0.185;0.137;;;;;;;;;
ENSMUST00000200935_90_90;0.071;0.072;0.072;0.078;0.077;0.077;0.0;0.111;0.087;0.0;0.115;0.072;0.121;0.08;0.121;0.0;0.126;0.115;0.0;0.085;0.158;0.087;0.072;0.144;0.107;;;;;;;;;
ENSMUST00000201505_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;
