;ENSCAFT00000024171_90_90;ENST00000264657_90_90;ENST00000389272_90_90;ENST00000404395_90_90;ENST00000585517_90_90;ENST00000588065_90_90;ENST00000588969_90_90;ENSMUST00000092671_90_90;ENSMUST00000103114_90_90;ENSMUST00000127638_90_90;ENSMUST00000138438_90_90
ENSCAFT00000024171_90_90;1.0;1.0;0.786;0.95;0.869;0.099;1.0;0.95;0.869;1.0;0.883
ENST00000264657_90_90;1.0;1.0;0.786;0.95;0.869;0.099;1.0;0.95;0.869;1.0;0.883
ENST00000389272_90_90;0.786;0.786;1.0;0.736;0.655;0.0;0.786;0.736;0.655;0.786;0.762
ENST00000404395_90_90;0.95;0.95;0.736;1.0;0.818;0.103;0.95;1.0;0.818;0.95;0.833
ENST00000585517_90_90;0.869;0.869;0.655;0.818;1.0;0.112;0.869;0.818;1.0;0.869;0.752
ENST00000588065_90_90;0.099;0.099;0.0;0.103;0.112;1.0;0.099;0.103;0.112;0.099;0.111
ENST00000588969_90_90;1.0;1.0;0.786;0.95;0.869;0.099;1.0;0.95;0.869;1.0;0.883
ENSMUST00000092671_90_90;0.95;0.95;0.736;1.0;0.818;0.103;0.95;1.0;0.818;0.95;0.833
ENSMUST00000103114_90_90;0.869;0.869;0.655;0.818;1.0;0.112;0.869;0.818;1.0;0.869;0.752
ENSMUST00000127638_90_90;1.0;1.0;0.786;0.95;0.869;0.099;1.0;0.95;0.869;1.0;0.883
ENSMUST00000138438_90_90;0.883;0.883;0.762;0.833;0.752;0.111;0.883;0.833;0.752;0.883;1.0
