;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;1.0;0.961;0.71;0.837;0.961;0.95;0.999;0.912;0.8;0.258;0.999;0.2;0.042;0.538;0.694;0.307;1.0;0.838;0.952;0.711;0.962;0.482;0.042;0.429;0.802;1.0
ENST00000242066_90_90;0.961;1.0;0.675;0.802;1.0;0.914;0.962;0.877;0.832;0.22;0.962;0.162;0.044;0.559;0.658;0.271;0.961;0.8;0.913;0.674;0.999;0.501;0.044;0.394;0.83;0.961
ENST00000399357_90_90;0.71;0.675;1.0;0.856;0.675;0.665;0.711;0.692;0.815;0.141;0.711;0.081;0.0;0.516;0.429;0.463;0.71;0.854;0.664;0.998;0.674;0.214;0.0;0.214;0.813;0.71
ENST00000403527_90_90;0.837;0.802;0.856;1.0;0.802;0.792;0.838;0.815;0.959;0.126;0.838;0.07;0.0;0.66;0.55;0.396;0.837;0.998;0.79;0.854;0.8;0.341;0.0;0.336;0.957;0.837
ENST00000403685_90_90;0.961;1.0;0.675;0.802;1.0;0.914;0.962;0.877;0.832;0.22;0.962;0.162;0.044;0.559;0.658;0.271;0.961;0.8;0.913;0.674;0.999;0.501;0.044;0.394;0.83;0.961
ENST00000405192_90_90;0.95;0.914;0.665;0.792;0.914;1.0;0.952;0.868;0.755;0.271;0.952;0.21;0.044;0.493;0.647;0.298;0.95;0.79;0.999;0.664;0.913;0.507;0.044;0.449;0.754;0.95
ENST00000405218_90_90;0.999;0.962;0.711;0.838;0.962;0.952;1.0;0.913;0.802;0.258;1.0;0.2;0.042;0.539;0.694;0.307;0.999;0.837;0.95;0.71;0.961;0.482;0.042;0.429;0.8;0.999
ENST00000405358_90_90;0.912;0.877;0.692;0.815;0.877;0.868;0.913;1.0;0.78;0.213;0.913;0.159;0.01;0.524;0.627;0.299;0.912;0.814;0.866;0.691;0.876;0.425;0.01;0.498;0.779;0.912
ENST00000420159_90_90;0.8;0.832;0.815;0.959;0.832;0.755;0.802;0.78;1.0;0.09;0.802;0.034;0.0;0.688;0.515;0.355;0.8;0.957;0.754;0.813;0.83;0.354;0.0;0.301;0.998;0.8
ENST00000421381_90_90;0.258;0.22;0.141;0.126;0.22;0.271;0.258;0.213;0.09;1.0;0.258;0.775;0.163;0.122;0.335;0.261;0.258;0.126;0.271;0.141;0.22;0.423;0.163;0.409;0.09;0.258
