;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.919;0.706;0.401;0.736;0.649;0.474;0.226;0.29;0.128;0.672;0.603;0.619;0.72;0.554;0.08;0.0;0.553
ENSCAFT00000045237_90_90;0.919;1.0;0.61;0.305;0.677;0.552;0.528;0.134;0.194;0.052;0.611;0.621;0.638;0.738;0.571;0.084;0.0;0.57
ENST00000323906_90_90;0.706;0.61;1.0;0.391;0.783;0.897;0.361;0.412;0.504;0.144;0.689;0.457;0.475;0.737;0.368;0.08;0.19;0.409
ENST00000391859_90_90;0.401;0.305;0.391;1.0;0.214;0.397;0.027;0.536;0.623;0.19;0.216;0.179;0.184;0.211;0.147;0.0;0.448;0.199
ENST00000426897_90_90;0.736;0.677;0.783;0.214;1.0;0.689;0.431;0.223;0.317;0.181;0.869;0.319;0.334;0.551;0.297;0.101;0.0;0.266
ENST00000535669_90_90;0.649;0.552;0.897;0.397;0.689;1.0;0.367;0.418;0.512;0.146;0.778;0.386;0.399;0.788;0.387;0.083;0.202;0.427
ENST00000594743_90_90;0.474;0.528;0.361;0.027;0.431;0.367;1.0;0.015;0.061;0.0;0.439;0.423;0.433;0.427;0.372;0.347;0.0;0.462
ENST00000595660_90_90;0.226;0.134;0.412;0.536;0.223;0.418;0.015;1.0;0.669;0.23;0.225;0.164;0.168;0.189;0.127;0.0;0.662;0.179
ENST00000595725_90_90;0.29;0.194;0.504;0.623;0.317;0.512;0.061;0.669;1.0;0.277;0.321;0.199;0.205;0.235;0.165;0.0;0.348;0.222
ENST00000597602_90_90;0.128;0.052;0.144;0.19;0.181;0.146;0.0;0.23;0.277;1.0;0.185;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000598095_90_90;0.672;0.611;0.689;0.216;0.869;0.778;0.439;0.225;0.321;0.185;1.0;0.247;0.259;0.59;0.313;0.106;0.0;0.277
ENSMUST00000033063_90_90;0.603;0.621;0.457;0.179;0.319;0.386;0.423;0.164;0.199;0.0;0.247;1.0;0.935;0.593;0.763;0.259;0.112;0.865
ENSMUST00000098461_90_90;0.619;0.638;0.475;0.184;0.334;0.399;0.433;0.168;0.205;0.0;0.259;0.935;1.0;0.63;0.728;0.276;0.12;0.924
ENSMUST00000209779_90_90;0.72;0.738;0.737;0.211;0.551;0.788;0.427;0.189;0.235;0.0;0.59;0.593;0.63;1.0;0.647;0.067;0.133;0.661
ENSMUST00000210078_90_90;0.554;0.571;0.368;0.147;0.297;0.387;0.372;0.127;0.165;0.0;0.313;0.763;0.728;0.647;1.0;0.168;0.076;0.758
ENSMUST00000210226_90_90;0.08;0.084;0.08;0.0;0.101;0.083;0.347;0.0;0.0;0.0;0.106;0.259;0.276;0.067;0.168;1.0;0.0;0.309
ENSMUST00000210372_90_90;0.0;0.0;0.19;0.448;0.0;0.202;0.0;0.662;0.348;0.0;0.0;0.112;0.12;0.133;0.076;0.0;1.0;0.127
ENSMUST00000211373_90_90;0.553;0.57;0.409;0.199;0.266;0.427;0.462;0.179;0.222;0.0;0.277;0.865;0.924;0.661;0.758;0.309;0.127;1.0
