;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.481;0.5;0.406;0.448;0.125;0.28;0.185;0.222;0.519;0.75;0.8;0.75;0.75;0.548;0.783;0.8;0.8;0.556;0.467;0.577;0.452
ENSCAFT00000024036_90_90;0.481;1.0;0.8;0.625;0.714;0.167;0.444;0.368;0.421;0.75;0.636;0.56;0.636;0.636;0.448;0.591;0.56;0.56;0.895;0.652;0.842;0.696
ENST00000304523_90_90;0.5;0.8;1.0;0.783;0.9;0.211;0.474;0.4;0.45;0.947;0.652;0.577;0.652;0.652;0.467;0.609;0.577;0.577;0.9;0.667;0.85;0.708
ENST00000441778_90_90;0.406;0.625;0.783;1.0;0.783;0.182;0.348;0.348;0.391;0.739;0.519;0.467;0.519;0.519;0.567;0.481;0.467;0.467;0.708;0.87;0.667;0.913
ENST00000502640_90_90;0.448;0.714;0.9;0.783;1.0;0.211;0.4;0.4;0.45;0.85;0.583;0.519;0.583;0.583;0.467;0.542;0.519;0.519;0.81;0.667;0.762;0.708
ENST00000506732_90_90;0.125;0.167;0.211;0.182;0.211;1.0;0.182;0.182;0.273;0.222;0.15;0.13;0.15;0.15;0.115;0.158;0.13;0.13;0.15;0.136;0.158;0.13
ENST00000507464_90_90;0.28;0.444;0.474;0.348;0.4;0.182;1.0;0.0;0.056;0.421;0.4;0.348;0.4;0.4;0.259;0.35;0.348;0.348;0.474;0.304;0.421;0.348
ENST00000508918_90_90;0.185;0.368;0.4;0.348;0.4;0.182;0.0;1.0;0.727;0.421;0.217;0.192;0.217;0.217;0.172;0.227;0.192;0.192;0.333;0.304;0.35;0.292
ENST00000512345_90_90;0.222;0.421;0.45;0.391;0.45;0.273;0.056;0.727;1.0;0.474;0.261;0.231;0.261;0.261;0.207;0.273;0.231;0.231;0.381;0.348;0.4;0.333
ENST00000515064_90_90;0.519;0.75;0.947;0.739;0.85;0.222;0.421;0.421;0.474;1.0;0.609;0.538;0.609;0.609;0.433;0.636;0.538;0.538;0.85;0.696;0.895;0.667
ENST00000361198_90_90;0.75;0.636;0.652;0.519;0.583;0.15;0.4;0.217;0.261;0.609;1.0;0.864;1.0;1.0;0.692;0.947;0.864;0.864;0.727;0.538;0.682;0.577
ENST00000425280_90_90;0.8;0.56;0.577;0.467;0.519;0.13;0.348;0.192;0.231;0.538;0.864;1.0;0.864;0.864;0.621;0.818;1.0;1.0;0.64;0.483;0.6;0.517
ENSMUST00000026252_90_90;0.75;0.636;0.652;0.519;0.583;0.15;0.4;0.217;0.261;0.609;1.0;0.864;1.0;1.0;0.692;0.947;0.864;0.864;0.727;0.538;0.682;0.577
ENSMUST00000056931_90_90;0.75;0.636;0.652;0.519;0.583;0.15;0.4;0.217;0.261;0.609;1.0;0.864;1.0;1.0;0.692;0.947;0.864;0.864;0.727;0.538;0.682;0.577
ENSMUST00000137771_90_90;0.548;0.448;0.467;0.567;0.467;0.115;0.259;0.172;0.207;0.433;0.692;0.621;0.692;0.692;1.0;0.654;0.621;0.621;0.517;0.586;0.483;0.621
ENSMUST00000152946_90_90;0.783;0.591;0.609;0.481;0.542;0.158;0.35;0.227;0.273;0.636;0.947;0.818;0.947;0.947;0.654;1.0;0.818;0.818;0.682;0.56;0.714;0.538
ENSMUST00000156585_90_90;0.8;0.56;0.577;0.467;0.519;0.13;0.348;0.192;0.231;0.538;0.864;1.0;0.864;0.864;0.621;0.818;1.0;1.0;0.64;0.483;0.6;0.517
ENSMUST00000185355_90_90;0.8;0.56;0.577;0.467;0.519;0.13;0.348;0.192;0.231;0.538;0.864;1.0;0.864;0.864;0.621;0.818;1.0;1.0;0.64;0.483;0.6;0.517
ENSMUST00000070748_90_90;0.556;0.895;0.9;0.708;0.81;0.15;0.474;0.333;0.381;0.85;0.727;0.64;0.727;0.727;0.517;0.682;0.64;0.64;1.0;0.739;0.947;0.783
ENSMUST00000199256_90_90;0.467;0.652;0.667;0.87;0.667;0.136;0.304;0.304;0.348;0.696;0.538;0.483;0.538;0.538;0.586;0.56;0.483;0.483;0.739;1.0;0.773;0.955
ENSMUST00000199261_90_90;0.577;0.842;0.85;0.667;0.762;0.158;0.421;0.35;0.4;0.895;0.682;0.6;0.682;0.682;0.483;0.714;0.6;0.6;0.947;0.773;1.0;0.739
ENSMUST00000199534_90_90;0.452;0.696;0.708;0.913;0.708;0.13;0.348;0.292;0.333;0.667;0.577;0.517;0.577;0.577;0.621;0.538;0.517;0.517;0.783;0.955;0.739;1.0
