;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.65;0.604;0.604;0.635;0.894;0.635;0.604;0.175;0.398;0.478;0.052;0.58;0.071;0.203;0.573;0.879;0.821;0.846;0.879;0.821;0.303;0.0
ENSCAFT00000043222_90_90;0.65;1.0;0.897;0.897;0.828;0.649;0.828;0.897;0.373;0.644;0.645;0.22;0.631;0.077;0.351;0.861;0.88;0.949;0.974;0.88;0.949;0.432;0.131
ENST00000164247_90_90;0.604;0.897;1.0;1.0;0.931;0.61;0.931;1.0;0.341;0.696;0.655;0.22;0.734;0.042;0.28;0.807;0.847;0.918;0.859;0.847;0.918;0.447;0.146
ENST00000341524_90_90;0.604;0.897;1.0;1.0;0.931;0.61;0.931;1.0;0.341;0.696;0.655;0.22;0.734;0.042;0.28;0.807;0.847;0.918;0.859;0.847;0.918;0.447;0.146
ENST00000352527_90_90;0.635;0.828;0.931;0.931;1.0;0.638;1.0;0.931;0.276;0.627;0.702;0.151;0.786;0.045;0.221;0.746;0.909;0.847;0.793;0.909;0.847;0.369;0.102
ENST00000378083_90_90;0.894;0.649;0.61;0.61;0.638;1.0;0.638;0.61;0.143;0.391;0.436;0.044;0.594;0.035;0.142;0.497;0.758;0.712;0.779;0.758;0.712;0.255;0.0
ENST00000378092_90_90;0.635;0.828;0.931;0.931;1.0;0.638;1.0;0.931;0.276;0.627;0.702;0.151;0.786;0.045;0.221;0.746;0.909;0.847;0.793;0.909;0.847;0.369;0.102
ENST00000378097_90_90;0.604;0.897;1.0;1.0;0.931;0.61;0.931;1.0;0.341;0.696;0.655;0.22;0.734;0.042;0.28;0.807;0.847;0.918;0.859;0.847;0.918;0.447;0.146
ENST00000378111_90_90;0.175;0.373;0.341;0.341;0.276;0.143;0.276;0.341;1.0;0.471;0.348;0.45;0.096;0.074;0.498;0.333;0.271;0.34;0.316;0.271;0.34;0.693;0.306
ENST00000389632_90_90;0.398;0.644;0.696;0.696;0.627;0.391;0.627;0.696;0.471;1.0;0.822;0.317;0.429;0.057;0.378;0.671;0.589;0.66;0.617;0.589;0.66;0.609;0.2
ENST00000428161_90_90;0.478;0.645;0.655;0.655;0.702;0.436;0.702;0.655;0.348;0.822;1.0;0.195;0.495;0.057;0.274;0.631;0.712;0.661;0.617;0.712;0.661;0.456;0.125
ENST00000445501_90_90;0.052;0.22;0.22;0.22;0.151;0.044;0.151;0.22;0.45;0.317;0.195;1.0;0.0;0.0;0.308;0.215;0.13;0.202;0.186;0.13;0.202;0.442;0.67
ENST00000458166_90_90;0.58;0.631;0.734;0.734;0.786;0.594;0.786;0.734;0.096;0.429;0.495;0.0;1.0;0.056;0.095;0.57;0.716;0.669;0.629;0.716;0.669;0.179;0.0
ENST00000462676_90_90;0.071;0.077;0.042;0.042;0.045;0.035;0.045;0.042;0.074;0.057;0.057;0.0;0.056;1.0;0.202;0.041;0.087;0.08;0.073;0.087;0.08;0.174;0.0
ENST00000472700_90_90;0.203;0.351;0.28;0.28;0.221;0.142;0.221;0.28;0.498;0.378;0.274;0.308;0.095;0.202;1.0;0.273;0.265;0.337;0.311;0.265;0.337;0.744;0.211
ENST00000602612_90_90;0.573;0.861;0.807;0.807;0.746;0.497;0.746;0.807;0.333;0.671;0.631;0.215;0.57;0.041;0.273;1.0;0.81;0.881;0.824;0.81;0.881;0.462;0.15
ENSMUST00000030768_90_90;0.879;0.88;0.847;0.847;0.909;0.758;0.909;0.847;0.271;0.589;0.712;0.13;0.716;0.087;0.265;0.81;1.0;0.931;0.871;1.0;0.931;0.389;0.087
ENSMUST00000105648_90_90;0.821;0.949;0.918;0.918;0.847;0.712;0.847;0.918;0.34;0.66;0.661;0.202;0.669;0.08;0.337;0.881;0.931;1.0;0.935;0.931;1.0;0.458;0.127
ENSMUST00000159186_90_90;0.846;0.974;0.859;0.859;0.793;0.779;0.793;0.859;0.316;0.617;0.617;0.186;0.629;0.073;0.311;0.824;0.871;0.935;1.0;0.871;0.935;0.425;0.118
ENSMUST00000159840_90_90;0.879;0.88;0.847;0.847;0.909;0.758;0.909;0.847;0.271;0.589;0.712;0.13;0.716;0.087;0.265;0.81;1.0;0.931;0.871;1.0;0.931;0.389;0.087
ENSMUST00000160884_90_90;0.821;0.949;0.918;0.918;0.847;0.712;0.847;0.918;0.34;0.66;0.661;0.202;0.669;0.08;0.337;0.881;0.931;1.0;0.935;0.931;1.0;0.458;0.127
ENSMUST00000161236_90_90;0.303;0.432;0.447;0.447;0.369;0.255;0.369;0.447;0.693;0.609;0.456;0.442;0.179;0.174;0.744;0.462;0.389;0.458;0.425;0.389;0.458;1.0;0.278
ENSMUST00000162017_90_90;0.0;0.131;0.146;0.146;0.102;0.0;0.102;0.146;0.306;0.2;0.125;0.67;0.0;0.0;0.211;0.15;0.087;0.127;0.118;0.087;0.127;0.278;1.0
