;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.984;0.948;0.999;1.0;0.383;0.984;0.913;0.558;0.394;0.984;0.523;0.523;0.404;0.976;0.543
transcript19_ppan;0.984;1.0;0.933;0.983;0.984;0.373;1.0;0.897;0.549;0.383;0.968;0.514;0.514;0.394;0.992;0.534
transcript20_ppan;0.948;0.933;1.0;0.947;0.948;0.349;0.933;0.962;0.529;0.36;0.933;0.539;0.539;0.369;0.925;0.515
transcript12_ptro;0.999;0.983;0.947;1.0;0.999;0.384;0.983;0.911;0.557;0.394;0.983;0.523;0.523;0.405;0.975;0.542
transcript12_hsap;1.0;0.984;0.948;0.999;1.0;0.383;0.984;0.913;0.558;0.394;0.984;0.523;0.523;0.404;0.976;0.543
transcript18_hsap;0.383;0.373;0.349;0.384;0.383;1.0;0.373;0.357;0.584;0.912;0.38;0.547;0.547;0.945;0.367;0.569
transcript19_hsap;0.984;1.0;0.933;0.983;0.984;0.373;1.0;0.897;0.549;0.383;0.968;0.514;0.514;0.394;0.992;0.534
transcript20_hsap;0.913;0.897;0.962;0.911;0.913;0.357;0.897;1.0;0.509;0.336;0.897;0.518;0.518;0.345;0.889;0.496
transcript21_hsap;0.558;0.549;0.529;0.557;0.558;0.584;0.549;0.509;1.0;0.579;0.549;0.947;0.947;0.592;0.544;0.974
transcript11_ggor;0.394;0.383;0.36;0.394;0.394;0.912;0.383;0.336;0.579;1.0;0.398;0.563;0.563;0.964;0.385;0.601
transcript12_ggor;0.984;0.968;0.933;0.983;0.984;0.38;0.968;0.897;0.549;0.398;1.0;0.528;0.528;0.409;0.976;0.534
transcript16_ggor;0.523;0.514;0.539;0.523;0.523;0.547;0.514;0.518;0.947;0.563;0.528;1.0;1.0;0.575;0.517;0.931
transcript17_ggor;0.523;0.514;0.539;0.523;0.523;0.547;0.514;0.518;0.947;0.563;0.528;1.0;1.0;0.575;0.517;0.931
transcript18_ggor;0.404;0.394;0.369;0.405;0.404;0.945;0.394;0.345;0.592;0.964;0.409;0.575;0.575;1.0;0.396;0.58
transcript19_ggor;0.976;0.992;0.925;0.975;0.976;0.367;0.992;0.889;0.544;0.385;0.976;0.517;0.517;0.396;1.0;0.53
transcript8_pabe;0.543;0.534;0.515;0.542;0.543;0.569;0.534;0.496;0.974;0.601;0.534;0.931;0.931;0.58;0.53;1.0
