;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;1.0;0.707;0.709;0.727;0.912;0.727;0.903;0.681;0.707;0.681;0.719;0.861;0.848;0.696;0.875;0.903;0.75;0.727;0.966;0.8;0.762;0.903;0.576;0.69;0.69;0.686;0.706;0.706;0.707;0.707
transcript7_ENSMUSG00000054036;1.0;1.0;0.891;0.886;0.727;0.912;0.727;0.903;0.696;0.891;0.696;0.911;0.392;0.368;0.352;0.373;0.378;0.4;0.36;0.389;0.414;0.368;0.378;0.328;0.468;0.44;0.387;0.387;0.387;0.451;0.451
transcript26_ENSMSIG00000000513;0.707;0.891;1.0;1.0;0.603;0.944;0.603;0.939;0.655;1.0;0.655;0.983;1.0;1.0;0.804;0.97;0.939;0.643;0.603;0.879;0.595;0.569;0.939;0.548;1.0;0.983;0.714;0.69;0.69;1.0;1.0
transcript26_MGP-PahariEiJ-G0020237;0.709;0.886;1.0;1.0;0.6;0.941;0.6;0.935;0.655;1.0;0.655;0.982;1.0;1.0;0.795;0.968;0.935;0.641;0.6;0.871;0.59;0.564;0.935;0.538;1.0;0.982;0.718;0.692;0.692;1.0;1.0
transcript41_ENSMSIG00000000513;0.727;0.727;0.603;0.6;1.0;1.0;1.0;1.0;0.921;0.603;0.921;0.614;0.944;0.939;0.946;0.909;0.879;0.862;0.892;0.935;0.926;0.943;0.879;0.724;0.643;0.586;0.9;0.931;0.931;0.603;0.603
transcript41_MGP-SPRETEiJ-G0021131;0.912;0.912;0.944;0.941;1.0;1.0;1.0;1.0;0.944;0.944;0.944;0.971;0.42;0.4;0.43;0.387;0.373;0.436;0.395;0.384;0.444;0.405;0.373;0.385;0.464;0.407;0.464;0.464;0.464;0.42;0.42
transcript43_ENSMSIG00000000513;0.727;0.727;0.603;0.6;1.0;1.0;1.0;1.0;0.921;0.603;0.921;0.614;0.944;0.939;0.946;0.909;0.879;0.862;0.892;0.935;0.926;0.943;0.879;0.724;0.643;0.586;0.9;0.931;0.931;0.603;0.603
transcript43_MGP-CAROLIEiJ-G0020234;0.903;0.903;0.939;0.935;1.0;1.0;1.0;1.0;0.939;0.939;0.939;0.969;0.4;0.397;0.408;0.385;0.372;0.404;0.372;0.382;0.412;0.382;0.372;0.388;0.434;0.385;0.434;0.434;0.434;0.397;0.397
transcript46_ENSMSIG00000000513;0.681;0.696;0.655;0.655;0.921;0.944;0.921;0.939;1.0;0.655;1.0;0.638;1.0;1.0;1.0;0.97;0.939;0.9;0.921;0.879;0.833;0.868;0.939;0.767;0.714;0.638;1.0;0.967;0.967;0.655;0.655
transcript47_ENSMSIG00000000513;0.707;0.891;1.0;1.0;0.603;0.944;0.603;0.939;0.655;1.0;0.655;0.983;1.0;1.0;0.804;0.97;0.939;0.643;0.603;0.879;0.595;0.569;0.939;0.548;1.0;0.983;0.714;0.69;0.69;1.0;1.0
