;transcript16_ENSXMAG00000026005;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript12_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript22_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript17_ENSXMAG00000026005;transcript3_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript16_ENSXMAG00000026005;1.0;0.694;0.694;0.63;0.63;0.216;0.141;0.603;0.62;0.694;0.694;0.383;0.216;0.349;0.141;0.63;0.694;0.614;0.603;0.943;0.943;0.694;0.694;0.547
transcript19_ENSAPOG00000016134;0.694;1.0;1.0;0.869;0.869;0.33;0.215;0.869;0.885;1.0;1.0;0.592;0.33;0.544;0.215;0.869;1.0;0.875;0.869;0.693;0.693;1.0;1.0;0.685
transcript19_ENSAPOG00000023408;0.694;1.0;1.0;0.869;0.869;0.33;0.215;0.869;0.885;1.0;1.0;0.592;0.33;0.544;0.215;0.869;1.0;0.875;0.869;0.693;0.693;1.0;1.0;0.685
transcript22_ENSAPOG00000016134;0.63;0.869;0.869;1.0;1.0;0.365;0.238;0.739;0.754;0.869;0.869;0.498;0.365;0.45;0.238;1.0;0.869;0.744;0.739;0.591;0.591;0.869;0.869;0.579
transcript22_ENSAPOG00000023408;0.63;0.869;0.869;1.0;1.0;0.365;0.238;0.739;0.754;0.869;0.869;0.498;0.365;0.45;0.238;1.0;0.869;0.744;0.739;0.591;0.591;0.869;0.869;0.579
transcript27_ENSAPOG00000016134;0.216;0.33;0.33;0.365;0.365;1.0;0.657;0.386;0.215;0.33;0.33;0.52;1.0;0.564;0.657;0.365;0.33;0.204;0.386;0.206;0.206;0.33;0.33;0.33
transcript28_ENSAPOG00000016134;0.141;0.215;0.215;0.238;0.238;0.657;1.0;0.252;0.253;0.215;0.215;0.34;0.657;0.368;1.0;0.238;0.215;0.09;0.252;0.134;0.134;0.215;0.215;0.215
transcript32_ENSAPOG00000023408;0.603;0.869;0.869;0.739;0.739;0.386;0.252;1.0;0.754;0.869;0.869;0.461;0.386;0.483;0.252;0.739;0.869;0.744;1.0;0.605;0.605;0.869;0.869;0.575
transcript33_ENSAPOG00000023408;0.62;0.885;0.885;0.754;0.754;0.215;0.253;0.754;1.0;0.885;0.885;0.477;0.215;0.429;0.253;0.754;0.885;0.76;0.754;0.621;0.621;0.885;0.885;0.586
transcript19_ENSAOCG00000015695;0.694;1.0;1.0;0.869;0.869;0.33;0.215;0.869;0.885;1.0;1.0;0.592;0.33;0.544;0.215;0.869;1.0;0.875;0.869;0.693;0.693;1.0;1.0;0.685
transcript12_ENSAOCG00000015695;0.694;1.0;1.0;0.869;0.869;0.33;0.215;0.869;0.885;1.0;1.0;0.592;0.33;0.544;0.215;0.869;1.0;0.875;0.869;0.693;0.693;1.0;1.0;0.685
transcript26_ENSAOCG00000015695;0.383;0.592;0.592;0.498;0.498;0.52;0.34;0.461;0.477;0.592;0.592;1.0;0.52;0.915;0.34;0.498;0.592;0.467;0.461;0.394;0.394;0.592;0.592;0.548
transcript27_ENSAOCG00000015695;0.216;0.33;0.33;0.365;0.365;1.0;0.657;0.386;0.215;0.33;0.33;0.52;1.0;0.564;0.657;0.365;0.33;0.204;0.386;0.206;0.206;0.33;0.33;0.33
transcript29_ENSAOCG00000015695;0.349;0.544;0.544;0.45;0.45;0.564;0.368;0.483;0.429;0.544;0.544;0.915;0.564;1.0;0.368;0.45;0.544;0.419;0.483;0.36;0.36;0.544;0.544;0.504
transcript28_ENSAOCG00000015695;0.141;0.215;0.215;0.238;0.238;0.657;1.0;0.252;0.253;0.215;0.215;0.34;0.657;0.368;1.0;0.238;0.215;0.09;0.252;0.134;0.134;0.215;0.215;0.215
transcript22_ENSPNYG00000024266;0.63;0.869;0.869;1.0;1.0;0.365;0.238;0.739;0.754;0.869;0.869;0.498;0.365;0.45;0.238;1.0;0.869;0.744;0.739;0.591;0.591;0.869;0.869;0.579
transcript12_ENSPNYG00000024266;0.694;1.0;1.0;0.869;0.869;0.33;0.215;0.869;0.885;1.0;1.0;0.592;0.33;0.544;0.215;0.869;1.0;0.875;0.869;0.693;0.693;1.0;1.0;0.685
transcript21_ENSPNYG00000024266;0.614;0.875;0.875;0.744;0.744;0.204;0.09;0.744;0.76;0.875;0.875;0.467;0.204;0.419;0.09;0.744;0.875;1.0;0.744;0.616;0.616;0.875;0.875;0.577
transcript14_ENSPNYG00000024266;0.603;0.869;0.869;0.739;0.739;0.386;0.252;1.0;0.754;0.869;0.869;0.461;0.386;0.483;0.252;0.739;0.869;0.744;1.0;0.605;0.605;0.869;0.869;0.575
transcript17_ENSXMAG00000026005;0.943;0.693;0.693;0.591;0.591;0.206;0.134;0.605;0.621;0.693;0.693;0.394;0.206;0.36;0.134;0.591;0.693;0.616;0.605;1.0;1.0;0.693;0.693;0.6
transcript3_ENSXMAG00000026005;0.943;0.693;0.693;0.591;0.591;0.206;0.134;0.605;0.621;0.693;0.693;0.394;0.206;0.36;0.134;0.591;0.693;0.616;0.605;1.0;1.0;0.693;0.693;0.6
transcript11_ENSXMAG00000026005;0.694;1.0;1.0;0.869;0.869;0.33;0.215;0.869;0.885;1.0;1.0;0.592;0.33;0.544;0.215;0.869;1.0;0.875;0.869;0.693;0.693;1.0;1.0;0.685
transcript12_ENSXMAG00000026005;0.694;1.0;1.0;0.869;0.869;0.33;0.215;0.869;0.885;1.0;1.0;0.592;0.33;0.544;0.215;0.869;1.0;0.875;0.869;0.693;0.693;1.0;1.0;0.685
