;transcript59_ENSMUGG00000013649;transcript39_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript54_ENSCGRG00015005362;transcript59_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript57_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript26_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript37_ENSMUGG00000013649;transcript38_ENSSTOG00000019743;transcript8_ENSSTOG00000019743;transcript38_ENSRNOG00000031503;transcript56_ENSCGRG00000018457;transcript9_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript58_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript8_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript40_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584
transcript59_ENSMUGG00000013649;1.0;0.815;0.793;0.722;0.845;0.87;0.858;0.628;0.683;0.825;0.737;0.791;0.845;0.75;0.562;0.75;0.561;0.845;0.75;0.562;0.691;0.7;0.795;0.734;0.734;0.768;0.748;0.748;0.663;0.535;0.814;0.791;0.791;0.88;0.452;0.651
transcript39_ENSPEMG00000024651;0.815;1.0;0.845;0.734;0.782;0.779;0.945;0.646;0.599;0.768;0.657;0.806;0.782;0.778;0.603;0.778;0.6;0.782;0.778;0.603;0.719;0.714;0.787;0.744;0.744;0.777;0.851;0.851;0.763;0.635;0.727;0.806;0.806;0.929;0.497;0.659
transcript37_ENSPEMG00000024651;0.793;0.845;1.0;0.748;0.924;0.901;0.795;0.769;0.713;0.907;0.788;0.818;0.922;0.791;0.616;0.791;0.615;0.922;0.791;0.616;0.72;0.739;0.799;0.756;0.756;0.907;0.868;0.868;0.792;0.651;0.847;0.818;0.818;0.79;0.48;0.639
transcript65_ENSCGRG00000018457;0.722;0.734;0.748;1.0;0.797;0.817;0.74;0.587;0.639;0.779;0.694;0.844;0.797;0.879;0.693;0.879;0.69;0.797;0.879;0.693;0.8;0.827;0.925;0.986;0.986;0.798;0.862;0.862;0.776;0.651;0.86;0.844;0.844;0.774;0.546;0.744
transcript37_ENSCGRG00001010245;0.845;0.782;0.924;0.797;1.0;0.976;0.736;0.713;0.785;0.976;0.856;0.889;0.998;0.852;0.646;0.852;0.646;0.998;0.852;0.646;0.777;0.787;0.87;0.81;0.81;0.84;0.803;0.803;0.732;0.602;0.901;0.889;0.889;0.844;0.494;0.681
transcript54_ENSCGRG00015005362;0.87;0.779;0.901;0.817;0.976;1.0;0.757;0.735;0.809;0.954;0.863;0.91;0.976;0.845;0.643;0.845;0.642;0.976;0.845;0.643;0.769;0.794;0.889;0.829;0.829;0.861;0.821;0.821;0.738;0.599;0.925;0.91;0.91;0.84;0.493;0.696
transcript59_ENSPEMG00000024651;0.858;0.945;0.795;0.74;0.736;0.757;1.0;0.623;0.578;0.722;0.633;0.785;0.736;0.76;0.601;0.76;0.597;0.736;0.76;0.601;0.705;0.72;0.793;0.748;0.748;0.769;0.86;0.86;0.77;0.633;0.719;0.785;0.785;0.877;0.497;0.665
transcript57_ENSPEMG00000024651;0.628;0.646;0.769;0.587;0.713;0.735;0.623;1.0;0.903;0.711;0.808;0.664;0.713;0.609;0.433;0.609;0.431;0.713;0.609;0.433;0.57;0.567;0.641;0.597;0.597;0.725;0.695;0.695;0.605;0.455;0.678;0.664;0.664;0.608;0.366;0.551
transcript57_ENSMUGG00000013649;0.683;0.599;0.713;0.639;0.785;0.809;0.578;0.903;1.0;0.777;0.885;0.735;0.785;0.667;0.47;0.667;0.469;0.785;0.667;0.47;0.627;0.617;0.712;0.652;0.652;0.672;0.644;0.644;0.561;0.424;0.735;0.735;0.735;0.661;0.389;0.603
transcript37_ENSMUGG00000013592;0.825;0.768;0.907;0.779;0.976;0.954;0.722;0.711;0.777;1.0;0.877;0.869;0.978;0.834;0.639;0.834;0.637;0.978;0.834;0.639;0.759;0.771;0.85;0.792;0.792;0.828;0.79;0.79;0.723;0.595;0.883;0.869;0.869;0.823;0.489;0.671
transcript51_ENSMUGG00000013592;0.737;0.657;0.788;0.694;0.856;0.863;0.633;0.808;0.885;0.877;1.0;0.784;0.858;0.725;0.531;0.725;0.53;0.858;0.725;0.531;0.67;0.685;0.764;0.707;0.707;0.733;0.701;0.701;0.633;0.487;0.791;0.784;0.784;0.714;0.426;0.631
transcript26_ENSSTOG00000019743;0.791;0.806;0.818;0.844;0.889;0.91;0.785;0.664;0.735;0.869;0.784;1.0;0.889;0.871;0.676;0.871;0.674;0.889;0.871;0.676;0.798;0.823;0.914;0.856;0.856;0.781;0.847;0.847;0.768;0.633;0.843;1.0;1.0;0.865;0.529;0.726
transcript37_ENSSTOG00000019743;0.845;0.782;0.922;0.797;0.998;0.976;0.736;0.713;0.785;0.978;0.858;0.889;1.0;0.852;0.646;0.852;0.646;1.0;0.852;0.646;0.777;0.787;0.87;0.81;0.81;0.84;0.803;0.803;0.732;0.602;0.901;0.889;0.889;0.844;0.495;0.683
transcript38_ENSCGRG00015005362;0.75;0.778;0.791;0.879;0.852;0.845;0.76;0.609;0.667;0.834;0.725;0.871;0.852;1.0;0.782;1.0;0.779;0.852;1.0;0.782;0.915;0.917;0.954;0.892;0.892;0.728;0.883;0.883;0.845;0.721;0.776;0.871;0.871;0.829;0.605;0.745
transcript8_ENSCGRG00000018457;0.562;0.603;0.616;0.693;0.646;0.643;0.601;0.433;0.47;0.639;0.531;0.676;0.646;0.782;1.0;0.782;0.996;0.646;0.782;1.0;0.744;0.702;0.746;0.686;0.686;0.569;0.705;0.705;0.662;0.92;0.591;0.676;0.676;0.624;0.77;0.603
transcript38_ENSCGRG00000018457;0.75;0.778;0.791;0.879;0.852;0.845;0.76;0.609;0.667;0.834;0.725;0.871;0.852;1.0;0.782;1.0;0.779;0.852;1.0;0.782;0.915;0.917;0.954;0.892;0.892;0.728;0.883;0.883;0.845;0.721;0.776;0.871;0.871;0.829;0.605;0.745
transcript8_ENSCGRG00015005362;0.561;0.6;0.615;0.69;0.646;0.642;0.597;0.431;0.469;0.637;0.53;0.674;0.646;0.779;0.996;0.779;1.0;0.646;0.779;0.996;0.742;0.699;0.743;0.683;0.683;0.568;0.703;0.703;0.658;0.916;0.591;0.674;0.674;0.621;0.766;0.6
transcript37_ENSMUGG00000013649;0.845;0.782;0.922;0.797;0.998;0.976;0.736;0.713;0.785;0.978;0.858;0.889;1.0;0.852;0.646;0.852;0.646;1.0;0.852;0.646;0.777;0.787;0.87;0.81;0.81;0.84;0.803;0.803;0.732;0.602;0.901;0.889;0.889;0.844;0.495;0.683
transcript38_ENSSTOG00000019743;0.75;0.778;0.791;0.879;0.852;0.845;0.76;0.609;0.667;0.834;0.725;0.871;0.852;1.0;0.782;1.0;0.779;0.852;1.0;0.782;0.915;0.917;0.954;0.892;0.892;0.728;0.883;0.883;0.845;0.721;0.776;0.871;0.871;0.829;0.605;0.745
transcript8_ENSSTOG00000019743;0.562;0.603;0.616;0.693;0.646;0.643;0.601;0.433;0.47;0.639;0.531;0.676;0.646;0.782;1.0;0.782;0.996;0.646;0.782;1.0;0.744;0.702;0.746;0.686;0.686;0.569;0.705;0.705;0.662;0.92;0.591;0.676;0.676;0.624;0.77;0.603
transcript38_ENSRNOG00000031503;0.691;0.719;0.72;0.8;0.777;0.769;0.705;0.57;0.627;0.759;0.67;0.798;0.777;0.915;0.744;0.915;0.742;0.777;0.915;0.744;1.0;0.835;0.873;0.81;0.81;0.657;0.807;0.807;0.769;0.683;0.703;0.798;0.798;0.765;0.573;0.677
transcript56_ENSCGRG00000018457;0.7;0.714;0.739;0.827;0.787;0.794;0.72;0.567;0.617;0.771;0.685;0.823;0.787;0.917;0.702;0.917;0.699;0.787;0.917;0.702;0.835;1.0;0.902;0.84;0.84;0.686;0.841;0.841;0.92;0.653;0.726;0.823;0.823;0.752;0.56;0.722
transcript9_ENSCGRG00015005362;0.795;0.787;0.799;0.925;0.87;0.889;0.793;0.641;0.712;0.85;0.764;0.914;0.87;0.954;0.746;0.954;0.743;0.87;0.954;0.746;0.873;0.902;1.0;0.938;0.938;0.759;0.914;0.914;0.83;0.687;0.82;0.914;0.914;0.847;0.577;0.786
transcript52_ENSCGRG00000018457;0.734;0.744;0.756;0.986;0.81;0.829;0.748;0.597;0.652;0.792;0.707;0.856;0.81;0.892;0.686;0.892;0.683;0.81;0.892;0.686;0.81;0.84;0.938;1.0;1.0;0.808;0.871;0.871;0.785;0.643;0.873;0.856;0.856;0.787;0.541;0.752
transcript52_ENSCGRG00001010245;0.734;0.744;0.756;0.986;0.81;0.829;0.748;0.597;0.652;0.792;0.707;0.856;0.81;0.892;0.686;0.892;0.683;0.81;0.892;0.686;0.81;0.84;0.938;1.0;1.0;0.808;0.871;0.871;0.785;0.643;0.873;0.856;0.856;0.787;0.541;0.752
