;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.45;0.523;0.086;0.0;0.011;0.092;0.0;0.0;0.101;0.0;0.102;0.087;0.251;0.093;0.005;0.093
ENSCAFT00000023892_90_90;0.45;1.0;0.788;0.119;0.0;0.086;0.127;0.0;0.0;0.138;0.043;0.138;0.119;0.292;0.127;0.047;0.127
ENSCAFT00000043832_90_90;0.523;0.788;1.0;0.105;0.0;0.162;0.111;0.0;0.0;0.12;0.038;0.12;0.105;0.23;0.111;0.041;0.111
ENST00000292476_90_90;0.086;0.119;0.105;1.0;0.419;0.066;0.907;0.483;0.71;0.784;0.558;0.611;0.805;0.116;0.718;0.656;0.721
ENST00000412686_90_90;0.0;0.0;0.0;0.419;1.0;0.0;0.462;0.182;0.59;0.332;0.312;0.332;0.419;0.0;0.464;0.543;0.462
ENST00000430038_90_90;0.011;0.086;0.162;0.066;0.0;1.0;0.072;0.0;0.0;0.082;0.066;0.009;0.008;0.023;0.008;0.007;0.008
ENST00000436336_90_90;0.092;0.127;0.111;0.907;0.462;0.072;1.0;0.403;0.783;0.865;0.605;0.667;0.721;0.126;0.784;0.618;0.788
ENST00000440514_90_90;0.0;0.0;0.0;0.483;0.182;0.0;0.403;1.0;0.485;0.368;0.402;0.368;0.483;0.0;0.399;0.435;0.403
ENST00000441580_90_90;0.0;0.0;0.0;0.71;0.59;0.0;0.783;0.485;1.0;0.648;0.613;0.57;0.637;0.0;0.695;0.737;0.699
ENST00000451876_90_90;0.101;0.138;0.12;0.784;0.332;0.082;0.865;0.368;0.648;1.0;0.493;0.758;0.611;0.144;0.669;0.499;0.667
ENST00000452047_90_90;0.0;0.043;0.038;0.558;0.312;0.066;0.605;0.402;0.613;0.493;1.0;0.359;0.428;0.0;0.458;0.469;0.461
ENSMUST00000070487_90_90;0.102;0.138;0.12;0.611;0.332;0.009;0.667;0.368;0.57;0.758;0.359;1.0;0.784;0.232;0.868;0.607;0.865
ENSMUST00000160422_90_90;0.087;0.119;0.105;0.805;0.419;0.008;0.721;0.483;0.637;0.611;0.428;0.784;1.0;0.184;0.903;0.771;0.907
ENSMUST00000160574_90_90;0.251;0.292;0.23;0.116;0.0;0.023;0.126;0.0;0.0;0.144;0.0;0.232;0.184;1.0;0.202;0.074;0.202
ENSMUST00000160629_90_90;0.093;0.127;0.111;0.718;0.464;0.008;0.784;0.399;0.695;0.669;0.458;0.868;0.903;0.202;1.0;0.73;0.996
ENSMUST00000160762_90_90;0.005;0.047;0.041;0.656;0.543;0.007;0.618;0.435;0.737;0.499;0.469;0.607;0.771;0.074;0.73;1.0;0.734
ENSMUST00000162244_90_90;0.093;0.127;0.111;0.721;0.462;0.008;0.788;0.403;0.699;0.667;0.461;0.865;0.907;0.202;0.996;0.734;1.0
