;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.825;0.841;1.0;0.073;0.285;0.165;0.236;0.3;0.187;0.073;0.825;1.0;0.733
ENSCAFT00000008030_90_90;0.825;1.0;0.958;0.809;0.069;0.272;0.114;0.225;0.188;0.179;0.069;1.0;0.825;0.766
ENST00000293217_90_90;0.841;0.958;1.0;0.818;0.097;0.333;0.069;0.215;0.215;0.166;0.097;0.958;0.841;0.746
ENST00000301608_90_90;1.0;0.809;0.818;1.0;0.103;0.297;0.152;0.225;0.327;0.172;0.103;0.809;1.0;0.746
ENST00000572047_90_90;0.073;0.069;0.097;0.103;1.0;0.196;0.0;0.0;0.262;0.0;1.0;0.069;0.073;0.0
ENST00000573078_90_90;0.285;0.272;0.333;0.297;0.196;1.0;0.35;0.0;0.553;0.0;0.196;0.272;0.285;0.209
ENST00000576743_90_90;0.165;0.114;0.069;0.152;0.0;0.35;1.0;0.0;0.483;0.0;0.0;0.114;0.165;0.123
ENST00000587927_90_90;0.236;0.225;0.215;0.225;0.0;0.0;0.0;1.0;0.0;0.448;0.0;0.225;0.236;0.242
ENST00000588176_90_90;0.3;0.188;0.215;0.327;0.262;0.553;0.483;0.0;1.0;0.0;0.262;0.188;0.3;0.124
ENST00000588968_90_90;0.187;0.179;0.166;0.172;0.0;0.0;0.0;0.448;0.0;1.0;0.0;0.18;0.188;0.194
ENST00000589301_90_90;0.073;0.069;0.097;0.103;1.0;0.196;0.0;0.0;0.262;0.0;1.0;0.069;0.073;0.0
ENSMUST00000066587_90_90;0.825;1.0;0.958;0.809;0.069;0.272;0.114;0.225;0.188;0.18;0.069;1.0;0.825;0.766
ENSMUST00000072948_90_90;1.0;0.825;0.841;1.0;0.073;0.285;0.165;0.236;0.3;0.188;0.073;0.825;1.0;0.733
ENSMUST00000148601_90_90;0.733;0.766;0.746;0.746;0.0;0.209;0.123;0.242;0.124;0.194;0.0;0.766;0.733;1.0
