;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.238;0.242;0.0;0.233;0.133;0.133
ENST00000335135_90_90;0.0;1.0;0.128;0.231;0.667;0.205;0.975;0.154;0.923;0.45;0.458;0.146;0.0;0.0;0.0
ENST00000526716_90_90;0.0;0.128;1.0;0.0;0.0;0.625;0.125;0.0;0.139;0.082;0.083;0.444;0.0;0.0;0.0
ENST00000526974_90_90;0.0;0.231;0.0;1.0;0.346;0.0;0.225;0.667;0.216;0.118;0.12;0.0;0.0;0.0;0.0
ENST00000528027_90_90;0.0;0.667;0.0;0.346;1.0;0.0;0.65;0.231;0.59;0.321;0.327;0.0;0.0;0.0;0.0
ENST00000528712_90_90;0.0;0.205;0.625;0.0;0.0;1.0;0.2;0.0;0.222;0.12;0.122;0.6;0.0;0.0;0.0
ENST00000532059_90_90;0.0;0.975;0.125;0.225;0.65;0.2;1.0;0.15;0.9;0.467;0.45;0.143;0.0;0.0;0.0
ENST00000532977_90_90;0.0;0.154;0.0;0.667;0.231;0.0;0.15;1.0;0.135;0.08;0.082;0.0;0.0;0.0;0.0
ENST00000622443_90_90;0.0;0.923;0.139;0.216;0.59;0.222;0.9;0.135;1.0;0.4;0.407;0.158;0.0;0.0;0.0
ENSMUST00000067417_90_90;0.238;0.45;0.082;0.118;0.321;0.12;0.467;0.08;0.4;1.0;0.979;0.167;0.146;0.083;0.083
ENSMUST00000118022_90_90;0.242;0.458;0.083;0.12;0.327;0.122;0.45;0.082;0.407;0.979;1.0;0.17;0.149;0.085;0.085
ENSMUST00000121312_90_90;0.0;0.146;0.444;0.0;0.0;0.6;0.143;0.0;0.158;0.167;0.17;1.0;0.0;0.0;0.0
ENSMUST00000132122_90_90;0.233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.146;0.149;0.0;1.0;0.571;0.571
ENSMUST00000137244_90_90;0.133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083;0.085;0.0;0.571;1.0;1.0
ENSMUST00000156782_90_90;0.133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083;0.085;0.0;0.571;1.0;1.0
