;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.944;0.993;0.575;0.433;0.553;0.149;0.431;0.272;0.876;0.078;0.558;0.762;0.857;0.995;0.946;0.078;0.68;0.582;0.519;0.329;0.305;0.405;0.561
ENST00000391851_90_90;0.944;1.0;0.951;0.534;0.455;0.582;0.16;0.453;0.29;0.921;0.03;0.586;0.807;0.899;0.944;0.992;0.029;0.713;0.61;0.546;0.344;0.32;0.426;0.589
ENST00000454376_90_90;0.993;0.951;1.0;0.581;0.433;0.553;0.152;0.431;0.276;0.876;0.076;0.558;0.768;0.855;0.993;0.944;0.075;0.679;0.58;0.519;0.328;0.305;0.405;0.561
ENST00000524771_90_90;0.575;0.534;0.581;1.0;0.676;0.697;0.235;0.673;0.427;0.478;0.096;0.693;0.452;0.442;0.575;0.529;0.095;0.364;0.549;0.218;0.021;0.475;0.631;0.171
ENST00000526224_90_90;0.433;0.455;0.433;0.676;1.0;0.782;0.226;0.996;0.482;0.494;0.0;0.776;0.453;0.42;0.433;0.455;0.0;0.357;0.582;0.244;0.0;0.662;0.767;0.134
ENST00000527382_90_90;0.553;0.582;0.553;0.697;0.782;1.0;0.182;0.779;0.387;0.632;0.0;0.992;0.396;0.553;0.553;0.582;0.0;0.311;0.49;0.336;0.0;0.521;0.613;0.272
ENST00000528623_90_90;0.149;0.16;0.152;0.235;0.226;0.182;1.0;0.227;0.576;0.119;0.0;0.18;0.197;0.062;0.149;0.156;0.0;0.216;0.251;0.0;0.0;0.346;0.353;0.0
ENST00000529284_90_90;0.431;0.453;0.431;0.673;0.996;0.779;0.227;1.0;0.484;0.492;0.0;0.773;0.454;0.418;0.431;0.453;0.0;0.357;0.583;0.242;0.0;0.665;0.77;0.132
ENST00000529836_90_90;0.272;0.29;0.276;0.427;0.482;0.387;0.576;0.484;1.0;0.254;0.0;0.384;0.357;0.192;0.272;0.286;0.0;0.395;0.459;0.0;0.0;0.702;0.615;0.0
ENST00000532489_90_90;0.876;0.921;0.876;0.478;0.494;0.632;0.119;0.492;0.254;1.0;0.0;0.637;0.728;0.908;0.876;0.921;0.0;0.64;0.536;0.593;0.326;0.331;0.398;0.64
ENST00000534280_90_90;0.078;0.03;0.076;0.096;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.037;0.032;0.075;0.03;0.97;0.039;0.045;0.0;0.071;0.0;0.0;0.0
ENST00000534465_90_90;0.558;0.586;0.558;0.693;0.776;0.992;0.18;0.773;0.384;0.637;0.0;1.0;0.394;0.558;0.558;0.586;0.0;0.31;0.487;0.341;0.0;0.517;0.608;0.277
ENST00000610806_90_90;0.762;0.807;0.768;0.452;0.453;0.396;0.197;0.454;0.357;0.728;0.037;0.394;1.0;0.707;0.762;0.801;0.036;0.882;0.754;0.409;0.426;0.315;0.527;0.397
ENSMUST00000045325_90_90;0.857;0.899;0.855;0.442;0.42;0.553;0.062;0.418;0.192;0.908;0.032;0.558;0.707;1.0;0.857;0.901;0.033;0.62;0.517;0.606;0.384;0.264;0.331;0.654
ENSMUST00000107843_90_90;0.995;0.944;0.993;0.575;0.433;0.553;0.149;0.431;0.272;0.876;0.075;0.558;0.762;0.857;1.0;0.951;0.076;0.685;0.586;0.519;0.329;0.305;0.409;0.561
ENSMUST00000207370_90_90;0.946;0.992;0.944;0.529;0.455;0.582;0.156;0.453;0.286;0.921;0.03;0.586;0.801;0.901;0.951;1.0;0.03;0.72;0.616;0.546;0.346;0.32;0.43;0.589
ENSMUST00000207522_90_90;0.078;0.029;0.075;0.095;0.0;0.0;0.0;0.0;0.0;0.0;0.97;0.0;0.036;0.033;0.076;0.03;1.0;0.04;0.046;0.0;0.073;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.68;0.713;0.679;0.364;0.357;0.311;0.216;0.357;0.395;0.64;0.039;0.31;0.882;0.62;0.685;0.72;0.04;1.0;0.654;0.318;0.48;0.351;0.429;0.339
ENSMUST00000208312_90_90;0.582;0.61;0.58;0.549;0.582;0.49;0.251;0.583;0.459;0.536;0.045;0.487;0.754;0.517;0.586;0.616;0.046;0.654;1.0;0.314;0.191;0.406;0.697;0.205
ENSMUST00000208778_90_90;0.519;0.546;0.519;0.218;0.244;0.336;0.0;0.242;0.0;0.593;0.0;0.341;0.409;0.606;0.519;0.546;0.0;0.318;0.314;1.0;0.358;0.061;0.16;0.715
ENSMUST00000208829_90_90;0.329;0.344;0.328;0.021;0.0;0.0;0.0;0.0;0.0;0.326;0.071;0.0;0.426;0.384;0.329;0.346;0.073;0.48;0.191;0.358;1.0;0.0;0.0;0.5
ENSMUST00000208938_90_90;0.305;0.32;0.305;0.475;0.662;0.521;0.346;0.665;0.702;0.331;0.0;0.517;0.315;0.264;0.305;0.32;0.0;0.351;0.406;0.061;0.0;1.0;0.533;0.058
ENSMUST00000209056_90_90;0.405;0.426;0.405;0.631;0.767;0.613;0.353;0.77;0.615;0.398;0.0;0.608;0.527;0.331;0.409;0.43;0.0;0.429;0.697;0.16;0.0;0.533;1.0;0.065
ENSMUST00000209124_90_90;0.561;0.589;0.561;0.171;0.134;0.272;0.0;0.132;0.0;0.64;0.0;0.277;0.397;0.654;0.561;0.589;0.0;0.339;0.205;0.715;0.5;0.058;0.065;1.0
