;transcript9_ENSHGLG00100003156;transcript14_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript27_ENSHGLG00100003156;transcript32_ENSHGLG00100003156;transcript20_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript40_ENSHGLG00000019563;transcript43_ENSHGLG00000019563;transcript8_ENSHGLG00100006079;transcript9_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript33_ENSHGLG00100006079
transcript9_ENSHGLG00100003156;1.0;0.906;1.0;0.929;0.505;1.0;0.988;1.0;0.988;0.976;0.988;1.0;1.0;1.0
transcript14_ENSHGLG00100003156;0.906;1.0;0.906;0.975;0.554;0.906;0.917;0.906;0.917;0.905;0.894;0.906;0.906;0.906
transcript20_ENSHGLG00100003156;1.0;0.906;1.0;0.929;0.505;1.0;0.988;1.0;0.988;0.976;0.988;1.0;1.0;1.0
transcript27_ENSHGLG00100003156;0.929;0.975;0.929;1.0;0.541;0.929;0.94;0.929;0.94;0.906;0.918;0.929;0.929;0.929
transcript32_ENSHGLG00100003156;0.505;0.554;0.505;0.541;1.0;0.541;0.548;0.541;0.548;0.554;0.529;0.541;0.541;0.541
transcript20_ENSHGLG00000019563;1.0;0.906;1.0;0.929;0.541;1.0;0.988;1.0;0.988;0.976;0.988;1.0;1.0;1.0
transcript26_ENSHGLG00000019563;0.988;0.917;0.988;0.94;0.548;0.988;1.0;0.988;1.0;0.965;0.976;0.988;0.988;0.988
transcript28_ENSHGLG00000019563;1.0;0.906;1.0;0.929;0.541;1.0;0.988;1.0;0.988;0.976;0.988;1.0;1.0;1.0
transcript40_ENSHGLG00000019563;0.988;0.917;0.988;0.94;0.548;0.988;1.0;0.988;1.0;0.965;0.976;0.988;0.988;0.988
transcript43_ENSHGLG00000019563;0.976;0.905;0.976;0.906;0.554;0.976;0.965;0.976;0.965;1.0;0.965;0.976;0.976;0.976
transcript8_ENSHGLG00100006079;0.988;0.894;0.988;0.918;0.529;0.988;0.976;0.988;0.976;0.965;1.0;0.988;0.988;0.988
transcript9_ENSHGLG00100006079;1.0;0.906;1.0;0.929;0.541;1.0;0.988;1.0;0.988;0.976;0.988;1.0;1.0;1.0
transcript22_ENSHGLG00100006079;1.0;0.906;1.0;0.929;0.541;1.0;0.988;1.0;0.988;0.976;0.988;1.0;1.0;1.0
transcript33_ENSHGLG00100006079;1.0;0.906;1.0;0.929;0.541;1.0;0.988;1.0;0.988;0.976;0.988;1.0;1.0;1.0
