;ENSCAFT00000011480_90_90;ENST00000265651_90_90;ENST00000448981_90_90;ENST00000526785_90_90;ENST00000529137_90_90;ENST00000530401_90_90;ENST00000531080_90_90;ENST00000532057_90_90;ENST00000532927_90_90;ENST00000534136_90_90;ENSMUST00000028603_90_90;ENSMUST00000102565_90_90;ENSMUST00000111135_90_90;ENSMUST00000111136_90_90
ENSCAFT00000011480_90_90;1.0;0.865;0.865;0.689;0.274;0.814;0.2;0.2;0.376;0.865;1.0;0.834;0.776;0.778
ENST00000265651_90_90;0.865;1.0;0.874;0.746;0.271;0.806;0.268;0.268;0.449;0.861;0.832;0.83;0.783;0.762
ENST00000448981_90_90;0.865;0.874;1.0;0.629;0.287;0.927;0.168;0.168;0.474;0.915;0.825;0.915;0.868;0.761
ENST00000526785_90_90;0.689;0.746;0.629;1.0;0.036;0.677;0.357;0.357;0.196;0.62;0.662;0.661;0.695;0.586
ENST00000529137_90_90;0.274;0.271;0.287;0.036;1.0;0.223;0.0;0.0;0.579;0.282;0.274;0.269;0.222;0.318
ENST00000530401_90_90;0.814;0.806;0.927;0.677;0.223;1.0;0.178;0.178;0.401;0.847;0.779;0.867;0.911;0.714
ENST00000531080_90_90;0.2;0.268;0.168;0.357;0.0;0.178;1.0;1.0;0.0;0.165;0.191;0.193;0.202;0.094
ENST00000532057_90_90;0.2;0.268;0.168;0.357;0.0;0.178;1.0;1.0;0.0;0.165;0.191;0.193;0.202;0.094
ENST00000532927_90_90;0.376;0.449;0.474;0.196;0.579;0.401;0.0;0.0;1.0;0.467;0.376;0.373;0.326;0.44
ENST00000534136_90_90;0.865;0.861;0.915;0.62;0.282;0.847;0.165;0.165;0.467;1.0;0.851;0.853;0.806;0.782
ENSMUST00000028603_90_90;1.0;0.832;0.825;0.662;0.274;0.779;0.191;0.191;0.376;0.851;1.0;0.785;0.732;0.751
ENSMUST00000102565_90_90;0.834;0.83;0.915;0.661;0.269;0.867;0.193;0.193;0.373;0.853;0.785;1.0;0.931;0.839
ENSMUST00000111135_90_90;0.776;0.783;0.868;0.695;0.222;0.911;0.202;0.202;0.326;0.806;0.732;0.931;1.0;0.774
ENSMUST00000111136_90_90;0.778;0.762;0.761;0.586;0.318;0.714;0.094;0.094;0.44;0.782;0.751;0.839;0.774;1.0
