;ENSCAFT00000009247_90_90;ENST00000297737_90_90;ENST00000315769_90_90;ENST00000519406_90_90;ENST00000522623_90_90;ENST00000523188_90_90;ENST00000523542_90_90;ENSMUST00000042352_90_90;ENSMUST00000123412_90_90;ENSMUST00000131410_90_90;ENSMUST00000135747_90_90;ENSMUST00000207301_90_90
ENSCAFT00000009247_90_90;1.0;1.0;0.909;0.636;0.091;0.091;0.091;1.0;0.818;0.364;0.182;0.727
ENST00000297737_90_90;1.0;1.0;0.909;0.636;0.083;0.083;0.083;1.0;0.818;0.364;0.182;0.727
ENST00000315769_90_90;0.909;0.909;1.0;0.545;0.091;0.091;0.091;0.909;0.727;0.4;0.2;0.636
ENST00000519406_90_90;0.636;0.636;0.545;1.0;0.125;0.125;0.125;0.636;0.778;0.571;0.286;0.364
ENST00000522623_90_90;0.091;0.083;0.091;0.125;1.0;0.333;1.0;0.091;0.111;0.25;0.5;0.0
ENST00000523188_90_90;0.091;0.083;0.091;0.125;0.333;1.0;0.333;0.091;0.111;0.25;0.5;0.0
ENST00000523542_90_90;0.091;0.083;0.091;0.125;1.0;0.333;1.0;0.091;0.111;0.25;0.5;0.0
ENSMUST00000042352_90_90;1.0;1.0;0.909;0.636;0.091;0.091;0.091;1.0;0.818;0.364;0.167;0.727
ENSMUST00000123412_90_90;0.818;0.818;0.727;0.778;0.111;0.111;0.111;0.818;1.0;0.444;0.2;0.545
ENSMUST00000131410_90_90;0.364;0.364;0.4;0.571;0.25;0.25;0.25;0.364;0.444;1.0;0.4;0.091
ENSMUST00000135747_90_90;0.182;0.182;0.2;0.286;0.5;0.5;0.5;0.167;0.2;0.4;1.0;0.0
ENSMUST00000207301_90_90;0.727;0.727;0.636;0.364;0.0;0.0;0.0;0.727;0.545;0.091;0.0;1.0
