;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;1.0;1.0;0.889;1.0;1.0;0.686;0.398;0.946;0.931;0.89;0.903;1.0
transcript2_ENSSTOG00000019743;1.0;1.0;1.0;0.893;1.0;1.0;0.652;0.395;0.946;0.931;0.887;0.901;1.0
transcript17_ENSMUGG00000013649;1.0;1.0;1.0;1.0;1.0;1.0;0.914;0.427;0.916;0.891;0.891;0.891;1.0
transcript17_ENSMUGG00000013592;0.889;0.893;1.0;1.0;0.893;0.887;0.823;0.427;0.825;0.802;0.802;0.802;0.893
transcript29_ENSMUGG00000013592;1.0;1.0;1.0;0.893;1.0;1.0;0.924;0.384;0.926;0.903;0.903;0.903;1.0
transcript8_ENSPEMG00000024651;1.0;1.0;1.0;0.887;1.0;1.0;1.0;0.342;1.0;0.892;0.892;0.892;1.0
transcript8_ENSNGAG00000018584;0.686;0.652;0.914;0.823;0.924;1.0;1.0;0.262;0.689;0.583;0.61;0.601;0.652
transcript7_ENSNGAG00000018584;0.398;0.395;0.427;0.427;0.384;0.342;0.262;1.0;0.342;0.425;0.377;0.439;0.395
transcript9_ENSNGAG00000018584;0.946;0.946;0.916;0.825;0.926;1.0;0.689;0.342;1.0;0.877;0.833;0.847;0.946
transcript10_ENSNGAG00000018584;0.931;0.931;0.891;0.802;0.903;0.892;0.583;0.425;0.877;1.0;0.953;0.968;0.931
transcript18_ENSNGAG00000018584;0.89;0.887;0.891;0.802;0.903;0.892;0.61;0.377;0.833;0.953;1.0;0.92;0.887
transcript19_ENSNGAG00000018584;0.903;0.901;0.891;0.802;0.903;0.892;0.601;0.439;0.847;0.968;0.92;1.0;0.901
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;0.893;1.0;1.0;0.652;0.395;0.946;0.931;0.887;0.901;1.0
