;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.998;0.996;0.998;0.998;0.998;0.928;0.965;0.928;0.625;0.63;0.62;0.351;0.316;0.67;0.66;0.671
transcript7_ENSMUGG00000013649;0.998;1.0;0.998;1.0;1.0;1.0;0.836;0.887;0.836;0.283;0.287;0.32;0.176;0.142;0.331;0.293;0.296
transcript7_ENSMUGG00000013592;0.996;0.998;1.0;0.998;0.998;0.998;0.814;0.874;0.814;0.337;0.337;0.338;0.191;0.171;0.397;0.352;0.357
transcript7_ENSCGRG00015005362;0.998;1.0;0.998;1.0;1.0;1.0;0.959;0.998;0.959;0.318;0.339;0.372;0.206;0.163;0.345;0.318;0.331
transcript7_ENSCGRG00000018457;0.998;1.0;0.998;1.0;1.0;1.0;0.959;0.998;0.959;1.0;1.0;0.998;0.727;0.473;1.0;1.0;1.0
transcript7_ENSPEMG00000024651;0.998;1.0;0.998;1.0;1.0;1.0;0.959;0.998;0.959;1.0;1.0;0.998;0.727;0.473;1.0;1.0;1.0
transcript57_MGP-CAROLIEiJ-G0020234;0.928;0.836;0.814;0.959;0.959;0.959;1.0;0.965;1.0;0.624;0.63;0.619;0.246;0.25;0.609;0.6;0.611
transcript58_MGP-CAROLIEiJ-G0020234;0.965;0.887;0.874;0.998;0.998;0.998;0.965;1.0;0.965;0.678;0.684;0.684;0.322;0.316;0.67;0.66;0.671
transcript59_MGP-CAROLIEiJ-G0020234;0.928;0.836;0.814;0.959;0.959;0.959;1.0;0.965;1.0;0.624;0.63;0.619;0.246;0.25;0.609;0.6;0.611
transcript28_ENSMUGG00000013649;0.625;0.283;0.337;0.318;1.0;1.0;0.624;0.678;0.624;1.0;0.984;0.999;0.881;0.861;0.932;1.0;0.982
transcript42_ENSMUGG00000013649;0.63;0.287;0.337;0.339;1.0;1.0;0.63;0.684;0.63;0.984;1.0;0.999;0.881;0.889;0.914;0.983;0.964
transcript42_ENSMUGG00000013592;0.62;0.32;0.338;0.372;0.998;0.998;0.619;0.684;0.619;0.999;0.999;1.0;0.882;0.872;0.936;0.999;0.975
transcript52_ENSMUGG00000013592;0.351;0.176;0.191;0.206;0.727;0.727;0.246;0.322;0.246;0.881;0.881;0.882;1.0;0.999;0.841;0.905;0.879
transcript52_ENSCGRG00015005362;0.316;0.142;0.171;0.163;0.473;0.473;0.25;0.316;0.25;0.861;0.889;0.872;0.999;1.0;0.79;0.861;0.842
transcript53_ENSCGRG00015005362;0.67;0.331;0.397;0.345;1.0;1.0;0.609;0.67;0.609;0.932;0.914;0.936;0.841;0.79;1.0;0.932;0.912
transcript54_ENSCGRG00015005362;0.66;0.293;0.352;0.318;1.0;1.0;0.6;0.66;0.6;1.0;0.983;0.999;0.905;0.861;0.932;1.0;0.982
transcript55_ENSCGRG00015005362;0.671;0.296;0.357;0.331;1.0;1.0;0.611;0.671;0.611;0.982;0.964;0.975;0.879;0.842;0.912;0.982;1.0
