;ENSCAFT00000026918_90_90;ENST00000268049_90_90;ENST00000380324_90_90;ENST00000538686_90_90;ENST00000540797_90_90;ENST00000557884_90_90;ENST00000558157_90_90;ENST00000558285_90_90;ENST00000559192_90_90;ENST00000559257_90_90;ENST00000559276_90_90;ENST00000559711_90_90;ENST00000559771_90_90;ENST00000559873_90_90;ENST00000560070_90_90;ENST00000560202_90_90;ENST00000561442_90_90;ENSMUST00000098613_90_90;ENSMUST00000127569_90_90;ENSMUST00000139547_90_90;ENSMUST00000174387_90_90
ENSCAFT00000026918_90_90;1.0;0.6;0.667;0.05;0.545;0.048;0.048;0.6;0.136;0.545;0.087;0.455;0.32;0.1;0.273;0.05;0.28;0.95;1.0;0.2;0.7
ENST00000268049_90_90;0.6;1.0;0.905;0.05;0.619;0.0;0.0;0.905;0.087;0.7;0.25;0.524;0.65;0.048;0.333;0.05;0.455;0.56;0.6;0.091;0.478
ENST00000380324_90_90;0.667;0.905;1.0;0.05;0.7;0.048;0.048;0.905;0.136;0.7;0.19;0.524;0.571;0.1;0.4;0.05;0.524;0.625;0.667;0.143;0.545
ENST00000538686_90_90;0.05;0.05;0.05;1.0;0.0;0.0;0.0;0.05;0.0;0.071;0.0;0.0;0.077;0.0;0.0;0.0;0.083;0.053;0.05;0.0;0.0
ENST00000540797_90_90;0.545;0.619;0.7;0.0;1.0;0.067;0.067;0.619;0.188;0.647;0.118;0.733;0.286;0.143;0.571;0.071;0.238;0.5;0.545;0.2;0.75
ENST00000557884_90_90;0.048;0.0;0.048;0.0;0.067;1.0;1.0;0.0;0.167;0.0;0.0;0.0;0.0;0.333;0.111;0.0;0.077;0.05;0.048;0.2;0.067
ENST00000558157_90_90;0.048;0.0;0.048;0.0;0.067;1.0;1.0;0.0;0.167;0.0;0.0;0.0;0.0;0.333;0.111;0.0;0.077;0.05;0.048;0.2;0.067
ENST00000558285_90_90;0.6;0.905;0.905;0.05;0.619;0.0;0.0;1.0;0.087;0.7;0.19;0.524;0.571;0.048;0.333;0.05;0.455;0.56;0.6;0.091;0.478
ENST00000559192_90_90;0.136;0.087;0.136;0.0;0.188;0.167;0.167;0.087;1.0;0.0;0.25;0.0;0.125;0.167;0.3;0.0;0.214;0.143;0.136;0.125;0.118
ENST00000559257_90_90;0.545;0.7;0.7;0.071;0.647;0.0;0.0;0.7;0.0;1.0;0.0;0.733;0.35;0.067;0.294;0.071;0.238;0.5;0.545;0.125;0.556
ENST00000559276_90_90;0.087;0.25;0.19;0.0;0.118;0.0;0.0;0.19;0.25;0.0;1.0;0.0;0.385;0.0;0.182;0.0;0.308;0.091;0.087;0.0;0.056
ENST00000559711_90_90;0.455;0.524;0.524;0.0;0.733;0.0;0.0;0.524;0.0;0.733;0.0;1.0;0.19;0.077;0.333;0.083;0.091;0.409;0.455;0.143;0.625
ENST00000559771_90_90;0.32;0.65;0.571;0.077;0.286;0.0;0.0;0.571;0.125;0.35;0.385;0.19;1.0;0.0;0.4;0.0;0.667;0.333;0.32;0.133;0.174
ENST00000559873_90_90;0.1;0.048;0.1;0.0;0.143;0.333;0.333;0.048;0.167;0.067;0.0;0.077;0.0;1.0;0.111;0.0;0.077;0.105;0.1;0.2;0.143
ENST00000560070_90_90;0.273;0.333;0.4;0.0;0.571;0.111;0.111;0.333;0.3;0.294;0.182;0.333;0.4;0.111;1.0;0.0;0.333;0.286;0.273;0.333;0.375
ENST00000560202_90_90;0.05;0.05;0.05;0.0;0.071;0.0;0.0;0.05;0.0;0.071;0.0;0.083;0.0;0.0;0.0;1.0;0.0;0.053;0.05;0.0;0.071
ENST00000561442_90_90;0.28;0.455;0.524;0.083;0.238;0.077;0.077;0.455;0.214;0.238;0.308;0.091;0.667;0.077;0.333;0.0;1.0;0.292;0.28;0.143;0.13
ENSMUST00000098613_90_90;0.95;0.56;0.625;0.053;0.5;0.05;0.05;0.56;0.143;0.5;0.091;0.409;0.333;0.105;0.286;0.053;0.292;1.0;0.95;0.211;0.65
ENSMUST00000127569_90_90;1.0;0.6;0.667;0.05;0.545;0.048;0.048;0.6;0.136;0.545;0.087;0.455;0.32;0.1;0.273;0.05;0.28;0.95;1.0;0.2;0.7
ENSMUST00000139547_90_90;0.2;0.091;0.143;0.0;0.2;0.2;0.2;0.091;0.125;0.125;0.0;0.143;0.133;0.2;0.333;0.0;0.143;0.211;0.2;1.0;0.286
ENSMUST00000174387_90_90;0.7;0.478;0.545;0.0;0.75;0.067;0.067;0.478;0.118;0.556;0.056;0.625;0.174;0.143;0.375;0.071;0.13;0.65;0.7;0.286;1.0
