;ENSCAFT00000031718_90_90;ENSCAFT00000036937_90_90;ENST00000258180_90_90;ENST00000538274_90_90;ENST00000562564_90_90;ENST00000562580_90_90;ENST00000566428_90_90;ENST00000567328_90_90;ENSMUST00000034281_90_90;ENSMUST00000108948_90_90;ENSMUST00000108950_90_90;ENSMUST00000108951_90_90;ENSMUST00000132229_90_90;ENSMUST00000153725_90_90
ENSCAFT00000031718_90_90;1.0;0.976;0.996;0.972;0.276;0.478;0.996;0.73;0.991;0.724;0.991;0.967;0.15;0.554
ENSCAFT00000036937_90_90;0.976;1.0;0.972;0.996;0.282;0.49;0.972;0.748;0.967;0.743;0.967;0.991;0.153;0.568
ENST00000258180_90_90;0.996;0.972;1.0;0.976;0.275;0.482;1.0;0.731;0.989;0.721;0.989;0.964;0.149;0.552
ENST00000538274_90_90;0.972;0.996;0.976;1.0;0.282;0.494;0.976;0.749;0.964;0.739;0.964;0.988;0.153;0.566
ENST00000562564_90_90;0.276;0.282;0.275;0.282;1.0;0.571;0.275;0.103;0.278;0.104;0.278;0.285;0.0;0.0
ENST00000562580_90_90;0.478;0.49;0.482;0.494;0.571;1.0;0.482;0.243;0.471;0.233;0.471;0.483;0.0;0.06
ENST00000566428_90_90;0.996;0.972;1.0;0.976;0.275;0.482;1.0;0.731;0.989;0.721;0.989;0.964;0.149;0.552
ENST00000567328_90_90;0.73;0.748;0.731;0.749;0.103;0.243;0.731;1.0;0.721;0.987;0.721;0.739;0.204;0.754
ENSMUST00000034281_90_90;0.991;0.967;0.989;0.964;0.278;0.471;0.989;0.721;1.0;0.728;1.0;0.975;0.151;0.558
ENSMUST00000108948_90_90;0.724;0.743;0.721;0.739;0.104;0.233;0.721;0.987;0.728;1.0;0.728;0.747;0.207;0.764
ENSMUST00000108950_90_90;0.991;0.967;0.989;0.964;0.278;0.471;0.989;0.721;1.0;0.728;1.0;0.975;0.151;0.558
ENSMUST00000108951_90_90;0.967;0.991;0.964;0.988;0.285;0.483;0.964;0.739;0.975;0.747;0.975;1.0;0.154;0.572
ENSMUST00000132229_90_90;0.15;0.153;0.149;0.153;0.0;0.0;0.149;0.204;0.151;0.207;0.151;0.154;1.0;0.27
ENSMUST00000153725_90_90;0.554;0.568;0.552;0.566;0.0;0.06;0.552;0.754;0.558;0.764;0.558;0.572;0.27;1.0
