;ENSCAFT00000027396_90_90;ENST00000308664_90_90;ENST00000377685_90_90;ENST00000539276_90_90;ENST00000548169_90_90;ENST00000552636_90_90;ENST00000553144_90_90;ENSMUST00000031423_90_90;ENSMUST00000177974_90_90;ENSMUST00000179939_90_90
ENSCAFT00000027396_90_90;1.0;0.999;0.046;0.949;0.845;0.044;0.04;0.948;0.999;0.948
ENST00000308664_90_90;0.999;1.0;0.046;0.95;0.845;0.044;0.04;0.948;0.998;0.948
ENST00000377685_90_90;0.046;0.046;1.0;0.044;0.0;0.0;0.0;0.044;0.046;0.044
ENST00000539276_90_90;0.949;0.95;0.044;1.0;0.895;0.042;0.038;0.997;0.948;0.997
ENST00000548169_90_90;0.845;0.845;0.0;0.895;1.0;0.047;0.043;0.893;0.844;0.893
ENST00000552636_90_90;0.044;0.044;0.0;0.042;0.047;1.0;0.0;0.042;0.044;0.042
ENST00000553144_90_90;0.04;0.04;0.0;0.038;0.043;0.0;1.0;0.038;0.04;0.038
ENSMUST00000031423_90_90;0.948;0.948;0.044;0.997;0.893;0.042;0.038;1.0;0.949;1.0
ENSMUST00000177974_90_90;0.999;0.998;0.046;0.948;0.844;0.044;0.04;0.949;1.0;0.949
ENSMUST00000179939_90_90;0.948;0.948;0.044;0.997;0.893;0.042;0.038;1.0;0.949;1.0
