;ENSCAFT00000031997_90_90;ENSCAFT00000046265_90_90;ENST00000223836_90_90;ENST00000373156_90_90;ENST00000373176_90_90;ENST00000413016_90_90;ENST00000550143_90_90;ENST00000550992_90_90;ENSMUST00000068271_90_90;ENSMUST00000113277_90_90;ENSMUST00000113278_90_90;ENSMUST00000156578_90_90;ENSMUST00000195721_90_90
ENSCAFT00000031997_90_90;1.0;0.818;0.999;0.876;0.876;0.612;0.33;0.0;1.0;0.875;0.875;0.435;0.453
ENSCAFT00000046265_90_90;0.818;1.0;0.875;0.998;0.998;0.638;0.34;0.046;0.875;0.988;0.988;0.493;0.512
ENST00000223836_90_90;0.999;0.875;1.0;0.818;0.818;0.59;0.314;0.0;0.999;0.911;0.911;0.455;0.472
ENST00000373156_90_90;0.876;0.998;0.818;1.0;1.0;0.616;0.324;0.076;0.911;0.989;0.989;0.494;0.512
ENST00000373176_90_90;0.876;0.998;0.818;1.0;1.0;0.616;0.324;0.076;0.911;0.989;0.989;0.494;0.512
ENST00000413016_90_90;0.612;0.638;0.59;0.616;0.616;1.0;0.4;0.0;0.612;0.665;0.665;0.167;0.261
ENST00000550143_90_90;0.33;0.34;0.314;0.324;0.324;0.4;1.0;0.0;0.33;0.359;0.359;0.236;0.376
ENST00000550992_90_90;0.0;0.046;0.0;0.076;0.076;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000068271_90_90;1.0;0.875;0.999;0.911;0.911;0.612;0.33;0.0;1.0;0.845;0.845;0.418;0.436
ENSMUST00000113277_90_90;0.875;0.988;0.911;0.989;0.989;0.665;0.359;0.0;0.845;1.0;1.0;0.521;0.54
ENSMUST00000113278_90_90;0.875;0.988;0.911;0.989;0.989;0.665;0.359;0.0;0.845;1.0;1.0;0.521;0.54
ENSMUST00000156578_90_90;0.435;0.493;0.455;0.494;0.494;0.167;0.236;0.0;0.418;0.521;0.521;1.0;0.789
ENSMUST00000195721_90_90;0.453;0.512;0.472;0.512;0.512;0.261;0.376;0.0;0.436;0.54;0.54;0.789;1.0
