;ENSCAFT00000015696_90_90;ENST00000370183_90_90;ENST00000370187_90_90;ENST00000393441_90_90;ENST00000408038_90_90;ENSMUST00000065601_90_90;ENSMUST00000111936_90_90;ENSMUST00000223684_90_90;ENSMUST00000223764_90_90;ENSMUST00000224102_90_90;ENSMUST00000224318_90_90;ENSMUST00000224478_90_90
ENSCAFT00000015696_90_90;1.0;0.59;1.0;0.865;0.924;0.203;0.043;0.0;0.047;0.623;0.136;0.0
ENST00000370183_90_90;0.59;1.0;0.554;0.428;0.522;0.158;0.0;0.0;0.0;0.756;0.207;0.0
ENST00000370187_90_90;1.0;0.554;1.0;0.875;0.928;0.223;0.074;0.0;0.078;0.623;0.129;0.0
ENST00000393441_90_90;0.865;0.428;0.875;1.0;0.803;0.183;0.107;0.0;0.112;0.434;0.11;0.0
ENST00000408038_90_90;0.924;0.522;0.928;0.803;1.0;0.224;0.074;0.0;0.079;0.631;0.131;0.0
ENSMUST00000065601_90_90;0.203;0.158;0.223;0.183;0.224;1.0;0.803;0.129;0.3;0.177;0.153;0.585
ENSMUST00000111936_90_90;0.043;0.0;0.074;0.107;0.074;0.803;1.0;0.173;0.41;0.071;0.0;0.695
ENSMUST00000223684_90_90;0.0;0.0;0.0;0.0;0.0;0.129;0.173;1.0;0.274;0.0;0.0;0.304
ENSMUST00000223764_90_90;0.047;0.0;0.078;0.112;0.079;0.3;0.41;0.274;1.0;0.101;0.0;0.234
ENSMUST00000224102_90_90;0.623;0.756;0.623;0.434;0.631;0.177;0.071;0.0;0.101;1.0;0.189;0.0
ENSMUST00000224318_90_90;0.136;0.207;0.129;0.11;0.131;0.153;0.0;0.0;0.0;0.189;1.0;0.0
ENSMUST00000224478_90_90;0.0;0.0;0.0;0.0;0.0;0.585;0.695;0.304;0.234;0.0;0.0;1.0
