;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;0.706;0.722;0.647;0.2;0.267;0.067;0.412;0.812;0.824;0.812;0.765;0.75
ENST00000389384_90_90;0.706;1.0;0.875;0.929;0.214;0.286;0.071;0.438;0.75;0.667;0.75;0.611;0.588
ENST00000454077_90_90;0.722;0.875;1.0;0.812;0.188;0.25;0.062;0.389;0.667;0.778;0.667;0.722;0.526
ENST00000587097_90_90;0.647;0.929;0.812;1.0;0.231;0.308;0.077;0.375;0.688;0.611;0.688;0.556;0.529
ENST00000589805_90_90;0.2;0.214;0.188;0.231;1.0;0.75;0.0;0.0;0.214;0.188;0.214;0.125;0.067
ENST00000590169_90_90;0.267;0.286;0.25;0.308;0.75;1.0;0.0;0.0;0.286;0.25;0.286;0.188;0.133
ENST00000590537_90_90;0.067;0.071;0.062;0.077;0.0;0.0;1.0;0.111;0.071;0.062;0.071;0.067;0.077
ENST00000591295_90_90;0.412;0.438;0.389;0.375;0.0;0.0;0.111;1.0;0.438;0.389;0.438;0.412;0.467
ENSMUST00000073234_90_90;0.812;0.75;0.667;0.688;0.214;0.286;0.071;0.438;1.0;0.875;1.0;0.812;0.8
ENSMUST00000107132_90_90;0.824;0.667;0.778;0.611;0.188;0.25;0.062;0.389;0.875;1.0;0.875;0.938;0.706
ENSMUST00000107134_90_90;0.812;0.75;0.667;0.688;0.214;0.286;0.071;0.438;1.0;0.875;1.0;0.812;0.8
ENSMUST00000137387_90_90;0.765;0.611;0.722;0.556;0.125;0.188;0.067;0.412;0.812;0.938;0.812;1.0;0.75
ENSMUST00000141516_90_90;0.75;0.588;0.526;0.529;0.067;0.133;0.077;0.467;0.8;0.706;0.8;0.75;1.0
