;transcript5_ENSHGLG00100006079;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript7_ENSXMAG00000026005;transcript5_ENSXMAG00000026005
transcript5_ENSHGLG00100006079;1.0;0.984;0.984;0.926;0.867;0.831;0.728;0.867;0.984;0.984;0.984
transcript5_ENSHGLG00100003156;0.984;1.0;1.0;0.943;0.853;0.848;0.745;0.853;1.0;1.0;1.0
transcript18_ENSHGLG00100003156;0.984;1.0;1.0;0.943;0.853;0.848;0.745;0.853;1.0;1.0;1.0
transcript34_ENSHGLG00100003156;0.926;0.943;0.943;1.0;0.795;0.791;0.69;0.795;0.943;0.943;0.943
transcript35_ENSHGLG00100003156;0.867;0.853;0.853;0.795;1.0;0.7;0.597;1.0;0.853;0.853;0.853
transcript36_ENSHGLG00100003156;0.831;0.848;0.848;0.791;0.7;1.0;0.592;0.7;0.848;0.848;0.848
transcript33_ENSHGLG00100003156;0.728;0.745;0.745;0.69;0.597;0.592;1.0;0.597;0.745;0.745;0.745
transcript30_ENSHGLG00100006079;0.867;0.853;0.853;0.795;1.0;0.7;0.597;1.0;0.853;0.853;0.853
transcript5_ENSPCIG00000036398;0.984;1.0;1.0;0.943;0.853;0.848;0.745;0.853;1.0;1.0;1.0
transcript7_ENSXMAG00000026005;0.984;1.0;1.0;0.943;0.853;0.848;0.745;0.853;1.0;1.0;1.0
transcript5_ENSXMAG00000026005;0.984;1.0;1.0;0.943;0.853;0.848;0.745;0.853;1.0;1.0;1.0
