;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript24_ENSPEMG00000024651;1.0;1.0;0.954;0.952;0.847;0.828;0.265;0.115;0.796;0.845;0.845;0.845;0.845;0.794;0.831;0.864;0.864;0.864;0.807;0.256;0.237;0.658;0.66;0.256;0.256;0.112;0.685
transcript15_ENSPEMG00000024651;1.0;1.0;0.954;0.952;0.847;0.828;0.265;0.115;0.796;0.845;0.845;0.845;0.845;0.794;0.831;0.864;0.864;0.864;0.807;0.256;0.237;0.658;0.66;0.256;0.256;0.112;0.685
transcript22_ENSPEMG00000024651;0.954;0.954;1.0;0.998;0.846;0.865;0.265;0.114;0.795;0.883;0.883;0.883;0.883;0.832;0.869;0.863;0.863;0.863;0.806;0.256;0.237;0.66;0.658;0.256;0.256;0.112;0.682
transcript31_ENSPEMG00000024651;0.952;0.952;0.998;1.0;0.844;0.863;0.266;0.115;0.793;0.881;0.881;0.881;0.881;0.83;0.867;0.861;0.861;0.861;0.804;0.257;0.238;0.659;0.656;0.257;0.257;0.112;0.68
transcript29_ENSCGRG00001010245;0.847;0.847;0.846;0.844;1.0;0.976;0.269;0.113;0.918;0.952;0.952;0.952;0.952;0.873;0.934;0.976;0.976;0.976;0.899;0.26;0.24;0.72;0.724;0.26;0.26;0.111;0.748
transcript43_ENSCGRG00000018457;0.828;0.828;0.865;0.863;0.976;1.0;0.276;0.116;0.895;0.975;0.975;0.975;0.975;0.894;0.956;0.952;0.952;0.952;0.876;0.266;0.246;0.714;0.711;0.266;0.266;0.114;0.734
transcript37_ENSCGRG00001010245;0.265;0.265;0.265;0.266;0.269;0.276;1.0;0.422;0.291;0.27;0.27;0.27;0.27;0.291;0.275;0.263;0.263;0.263;0.186;0.966;0.901;0.202;0.201;0.966;0.966;0.413;0.227
transcript38_ENSCGRG00001010245;0.115;0.115;0.114;0.115;0.113;0.116;0.422;1.0;0.122;0.114;0.114;0.114;0.114;0.122;0.115;0.111;0.111;0.111;0.034;0.423;0.427;0.072;0.072;0.423;0.423;0.978;0.1
transcript7_ENSCGRG00001010245;0.796;0.796;0.795;0.793;0.918;0.895;0.291;0.122;1.0;0.873;0.873;0.873;0.873;0.948;0.855;0.897;0.897;0.897;0.82;0.281;0.26;0.641;0.645;0.281;0.281;0.12;0.669
transcript32_ENSCGRG00015005362;0.845;0.845;0.883;0.881;0.952;0.975;0.27;0.114;0.873;1.0;1.0;1.0;1.0;0.919;0.981;0.977;0.977;0.977;0.9;0.26;0.24;0.738;0.736;0.26;0.26;0.111;0.76
