;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.643;0.643;0.902;0.742;0.643;0.232;0.451;0.746;0.795
ENSCAFT00000008903_90_90;0.643;1.0;1.0;0.718;0.884;1.0;0.217;0.478;0.665;0.711
ENST00000343600_90_90;0.643;1.0;1.0;0.718;0.884;1.0;0.217;0.478;0.665;0.711
ENST00000345429_90_90;0.902;0.718;0.718;1.0;0.823;0.718;0.295;0.448;0.825;0.883
ENST00000376673_90_90;0.742;0.884;0.884;0.823;1.0;0.884;0.191;0.442;0.674;0.718
ENST00000397601_90_90;0.643;1.0;1.0;0.718;0.884;1.0;0.217;0.478;0.665;0.711
ENST00000449284_90_90;0.232;0.217;0.217;0.295;0.191;0.217;1.0;0.0;0.34;0.266
ENST00000469707_90_90;0.451;0.478;0.478;0.448;0.442;0.478;0.0;1.0;0.453;0.484
ENSMUST00000088419_90_90;0.746;0.665;0.665;0.825;0.674;0.665;0.34;0.453;1.0;0.92
ENSMUST00000167459_90_90;0.795;0.711;0.711;0.883;0.718;0.711;0.266;0.484;0.92;1.0
