;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.696;0.652;0.1;0.048;0.05;0.708;0.64;0.583;0.625;0.5
ENST00000344157_90_90;0.696;1.0;0.947;0.105;0.05;0.053;0.905;0.739;0.762;0.81;0.522
ENST00000355665_90_90;0.652;0.947;1.0;0.111;0.053;0.056;0.857;0.696;0.8;0.762;0.545
ENST00000505251_90_90;0.1;0.105;0.111;1.0;0.0;0.5;0.095;0.095;0.111;0.105;0.125
ENST00000507529_90_90;0.048;0.05;0.053;0.0;1.0;0.0;0.045;0.045;0.053;0.05;0.0
ENST00000510746_90_90;0.05;0.053;0.056;0.5;0.0;1.0;0.048;0.048;0.056;0.053;0.062
ENST00000579690_90_90;0.708;0.905;0.857;0.095;0.045;0.048;1.0;0.826;0.696;0.739;0.48
ENSMUST00000038384_90_90;0.64;0.739;0.696;0.095;0.045;0.048;0.826;1.0;0.857;0.905;0.48
ENSMUST00000119339_90_90;0.583;0.762;0.8;0.111;0.053;0.056;0.696;0.857;1.0;0.947;0.545
ENSMUST00000120498_90_90;0.625;0.81;0.762;0.105;0.05;0.053;0.739;0.905;0.947;1.0;0.522
ENSMUST00000156363_90_90;0.5;0.522;0.545;0.125;0.0;0.062;0.48;0.48;0.545;0.522;1.0
