;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.39;0.996;0.357;0.505;0.067;0.913;0.449;0.999;0.754;0.434
ENST00000258909_90_90;0.39;1.0;0.392;0.913;0.771;0.0;0.428;0.155;0.391;0.146;0.762
ENST00000322019_90_90;0.996;0.392;1.0;0.358;0.508;0.066;0.916;0.45;0.997;0.753;0.434
ENST00000379384_90_90;0.357;0.913;0.358;1.0;0.704;0.0;0.391;0.162;0.358;0.114;0.819
ENST00000379390_90_90;0.505;0.771;0.508;0.704;1.0;0.06;0.555;0.243;0.506;0.261;0.612
ENST00000561551_90_90;0.067;0.0;0.066;0.0;0.06;1.0;0.072;0.0;0.066;0.087;0.0
ENST00000565774_90_90;0.913;0.428;0.916;0.391;0.555;0.072;1.0;0.402;0.914;0.669;0.474
ENST00000565982_90_90;0.449;0.155;0.45;0.162;0.243;0.0;0.402;1.0;0.449;0.595;0.272
ENSMUST00000041890_90_90;0.999;0.391;0.997;0.358;0.506;0.066;0.914;0.449;1.0;0.754;0.435
ENSMUST00000119543_90_90;0.754;0.146;0.753;0.114;0.261;0.087;0.669;0.595;0.754;1.0;0.189
ENSMUST00000126334_90_90;0.434;0.762;0.434;0.819;0.612;0.0;0.474;0.272;0.435;0.189;1.0
