;ENSCAFT00000025827_90_90;ENST00000254322_90_90;ENST00000396969_90_90;ENST00000594099_90_90;ENST00000595139_90_90;ENST00000595992_90_90;ENST00000596075_90_90;ENST00000596853_90_90;ENST00000598235_90_90;ENST00000598692_90_90;ENST00000601533_90_90;ENSMUST00000005620_90_90;ENSMUST00000212300_90_90
ENSCAFT00000025827_90_90;;0.144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.854;0.686
ENST00000254322_90_90;0.144;;;;;;;;;;;0.144;0.174
ENST00000396969_90_90;0.0;;;;;;;;;;;0.0;0.0
ENST00000594099_90_90;0.0;;;;;;;;;;;0.0;0.0
ENST00000595139_90_90;0.0;;;;;;;;;;;0.0;0.0
ENST00000595992_90_90;0.0;;;;;;;;;;;0.0;0.0
ENST00000596075_90_90;0.0;;;;;;;;;;;0.0;0.0
ENST00000596853_90_90;0.0;;;;;;;;;;;0.0;0.0
ENST00000598235_90_90;0.0;;;;;;;;;;;0.0;0.0
ENST00000598692_90_90;0.0;;;;;;;;;;;0.0;0.0
ENST00000601533_90_90;0.0;;;;;;;;;;;0.0;0.0
ENSMUST00000005620_90_90;0.854;0.144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ENSMUST00000212300_90_90;0.686;0.174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
