;ENSCAFT00000012285_90_90;ENST00000361618_90_90;ENST00000393702_90_90;ENST00000393704_90_90;ENST00000502832_90_90;ENST00000504999_90_90;ENST00000506110_90_90;ENST00000506764_90_90;ENST00000507601_90_90;ENST00000510306_90_90;ENST00000512698_90_90;ENSMUST00000034066_90_90;ENSMUST00000160719_90_90;ENSMUST00000161421_90_90;ENSMUST00000161702_90_90
ENSCAFT00000012285_90_90;1.0;0.998;0.239;0.75;0.156;0.237;0.239;0.221;0.109;0.179;0.384;0.998;0.998;0.75;0.998
ENST00000361618_90_90;0.998;1.0;0.241;0.748;0.156;0.24;0.241;0.22;0.109;0.178;0.383;1.0;1.0;0.748;1.0
ENST00000393702_90_90;0.239;0.241;1.0;0.0;0.0;0.961;1.0;0.882;0.0;0.716;0.0;0.241;0.241;0.0;0.241
ENST00000393704_90_90;0.75;0.748;0.0;1.0;0.208;0.0;0.0;0.0;0.146;0.0;0.512;0.748;0.748;1.0;0.748
ENST00000502832_90_90;0.156;0.156;0.0;0.208;1.0;0.0;0.0;0.0;0.702;0.0;0.406;0.156;0.156;0.208;0.156
ENST00000504999_90_90;0.237;0.24;0.961;0.0;0.0;1.0;0.961;0.918;0.0;0.745;0.0;0.24;0.24;0.0;0.24
ENST00000506110_90_90;0.239;0.241;1.0;0.0;0.0;0.961;1.0;0.882;0.0;0.716;0.0;0.241;0.241;0.0;0.241
ENST00000506764_90_90;0.221;0.22;0.882;0.0;0.0;0.918;0.882;1.0;0.0;0.811;0.0;0.22;0.22;0.0;0.22
ENST00000507601_90_90;0.109;0.109;0.0;0.146;0.702;0.0;0.0;0.0;1.0;0.0;0.285;0.109;0.109;0.146;0.109
ENST00000510306_90_90;0.179;0.178;0.716;0.0;0.0;0.745;0.716;0.811;0.0;1.0;0.0;0.178;0.178;0.0;0.178
ENST00000512698_90_90;0.384;0.383;0.0;0.512;0.406;0.0;0.0;0.0;0.285;0.0;1.0;0.383;0.383;0.512;0.383
ENSMUST00000034066_90_90;0.998;1.0;0.241;0.748;0.156;0.24;0.241;0.22;0.109;0.178;0.383;1.0;1.0;0.748;1.0
ENSMUST00000160719_90_90;0.998;1.0;0.241;0.748;0.156;0.24;0.241;0.22;0.109;0.178;0.383;1.0;1.0;0.748;1.0
ENSMUST00000161421_90_90;0.75;0.748;0.0;1.0;0.208;0.0;0.0;0.0;0.146;0.0;0.512;0.748;0.748;1.0;0.748
ENSMUST00000161702_90_90;0.998;1.0;0.241;0.748;0.156;0.24;0.241;0.22;0.109;0.178;0.383;1.0;1.0;0.748;1.0
