;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.914;0.792;0.583;0.75;0.75;0.458;0.333;0.417;0.167;0.708;0.706;0.706;0.941;0.647;0.059;0.0;0.647
ENSCAFT00000045237_90_90;0.914;1.0;0.667;0.458;0.696;0.625;0.524;0.208;0.292;0.087;0.652;0.706;0.706;0.941;0.647;0.059;0.0;0.647
ENST00000323906_90_90;0.792;0.667;1.0;0.429;0.808;0.926;0.353;0.483;0.577;0.192;0.741;0.389;0.389;0.917;0.333;0.056;0.214;0.333
ENST00000391859_90_90;0.583;0.458;0.429;1.0;0.286;0.429;0.048;0.519;0.56;0.208;0.286;0.231;0.231;0.273;0.222;0.0;0.6;0.25
ENST00000426897_90_90;0.75;0.696;0.808;0.286;1.0;0.741;0.414;0.31;0.44;0.238;0.909;0.222;0.222;0.667;0.214;0.067;0.0;0.167
ENST00000535669_90_90;0.75;0.625;0.926;0.429;0.741;1.0;0.353;0.483;0.577;0.192;0.808;0.333;0.333;1.0;0.357;0.059;0.231;0.353
ENST00000594743_90_90;0.458;0.524;0.353;0.048;0.414;0.353;1.0;0.028;0.094;0.0;0.414;0.5;0.5;0.471;0.375;0.5;0.0;0.529
ENST00000595660_90_90;0.333;0.208;0.483;0.519;0.31;0.483;0.028;1.0;0.684;0.294;0.31;0.2;0.2;0.231;0.182;0.0;1.0;0.214
ENST00000595725_90_90;0.417;0.292;0.577;0.56;0.44;0.577;0.094;0.684;1.0;0.333;0.44;0.231;0.231;0.273;0.222;0.0;0.333;0.25
ENST00000597602_90_90;0.167;0.087;0.192;0.208;0.238;0.192;0.0;0.294;0.333;1.0;0.238;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000598095_90_90;0.708;0.652;0.741;0.286;0.909;0.808;0.414;0.31;0.44;0.238;1.0;0.167;0.167;0.727;0.231;0.071;0.0;0.176
ENSMUST00000033063_90_90;0.706;0.706;0.389;0.231;0.222;0.333;0.5;0.2;0.231;0.0;0.167;1.0;0.944;0.489;0.75;0.324;0.075;0.892
ENSMUST00000098461_90_90;0.706;0.706;0.389;0.231;0.222;0.333;0.5;0.2;0.231;0.0;0.167;0.944;1.0;0.512;0.743;0.343;0.079;0.943
ENSMUST00000209779_90_90;0.941;0.941;0.917;0.273;0.667;1.0;0.471;0.231;0.273;0.0;0.727;0.489;0.512;1.0;0.568;0.023;0.086;0.512
ENSMUST00000210078_90_90;0.647;0.647;0.333;0.222;0.214;0.357;0.375;0.182;0.222;0.0;0.231;0.75;0.743;0.568;1.0;0.176;0.062;0.743
ENSMUST00000210226_90_90;0.059;0.059;0.056;0.0;0.067;0.059;0.5;0.0;0.0;0.0;0.071;0.324;0.343;0.023;0.176;1.0;0.0;0.382
ENSMUST00000210372_90_90;0.0;0.0;0.214;0.6;0.0;0.231;0.0;1.0;0.333;0.0;0.0;0.075;0.079;0.086;0.062;0.0;1.0;0.079
ENSMUST00000211373_90_90;0.647;0.647;0.333;0.25;0.167;0.353;0.529;0.214;0.25;0.0;0.176;0.892;0.943;0.512;0.743;0.382;0.079;1.0
