;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;1.0;0.984;1.0;0.164;0.049;0.148;0.279;0.754;0.066;0.328;0.98;1.0;0.98;1.0;0.98;1.0;1.0;0.984
ENSCAFT00000021670_90_90;1.0;1.0;0.9;0.9;0.225;0.075;0.15;0.275;0.675;0.075;0.375;1.0;1.0;1.0;1.0;1.0;1.0;0.923;0.949
ENST00000265969_90_90;0.984;0.9;1.0;0.824;0.153;0.116;0.129;0.246;0.729;0.057;0.397;0.895;0.895;0.895;0.895;0.895;0.895;0.836;1.0
ENST00000379472_90_90;1.0;0.9;0.824;1.0;0.139;0.041;0.13;0.25;0.622;0.058;0.27;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.836
ENST00000638366_90_90;0.164;0.225;0.153;0.139;1.0;0.2;0.529;0.435;0.193;0.235;0.355;0.184;0.184;0.184;0.184;0.184;0.184;0.147;0.164
ENST00000638825_90_90;0.049;0.075;0.116;0.041;0.2;1.0;0.176;0.125;0.148;0.25;0.286;0.053;0.053;0.053;0.053;0.053;0.053;0.042;0.104
ENST00000639325_90_90;0.148;0.15;0.129;0.13;0.529;0.176;1.0;0.526;0.208;0.417;0.31;0.158;0.158;0.158;0.158;0.158;0.158;0.134;0.134
ENST00000639495_90_90;0.279;0.275;0.246;0.25;0.435;0.125;0.526;1.0;0.34;0.263;0.607;0.289;0.289;0.289;0.289;0.289;0.289;0.254;0.254
ENST00000640318_90_90;0.754;0.675;0.729;0.622;0.193;0.148;0.208;0.34;1.0;0.093;0.455;0.684;0.684;0.684;0.684;0.684;0.684;0.648;0.746
ENST00000640461_90_90;0.066;0.075;0.057;0.058;0.235;0.25;0.417;0.263;0.093;1.0;0.138;0.079;0.079;0.079;0.079;0.079;0.079;0.06;0.06
ENST00000640909_90_90;0.328;0.375;0.397;0.27;0.355;0.286;0.31;0.607;0.455;0.138;1.0;0.342;0.342;0.342;0.342;0.342;0.342;0.274;0.388
ENST00000302127_90_90;0.98;1.0;0.895;1.0;0.184;0.053;0.158;0.289;0.684;0.079;0.342;1.0;0.957;1.0;0.957;1.0;0.957;1.0;0.895
ENST00000315987_90_90;1.0;1.0;0.895;1.0;0.184;0.053;0.158;0.289;0.684;0.079;0.342;0.957;1.0;0.957;1.0;0.957;1.0;1.0;0.895
ENST00000369697_90_90;0.98;1.0;0.895;1.0;0.184;0.053;0.158;0.289;0.684;0.079;0.342;1.0;0.957;1.0;0.957;1.0;0.957;1.0;0.895
ENSMUST00000079169_90_90;1.0;1.0;0.895;1.0;0.184;0.053;0.158;0.289;0.684;0.079;0.342;0.957;1.0;0.957;1.0;0.957;1.0;1.0;0.895
ENSMUST00000098761_90_90;0.98;1.0;0.895;1.0;0.184;0.053;0.158;0.289;0.684;0.079;0.342;1.0;0.957;1.0;0.957;1.0;0.957;1.0;0.895
ENSMUST00000118360_90_90;1.0;1.0;0.895;1.0;0.184;0.053;0.158;0.289;0.684;0.079;0.342;0.957;1.0;0.957;1.0;0.957;1.0;1.0;0.895
ENSMUST00000025202_90_90;1.0;0.923;0.836;1.0;0.147;0.042;0.134;0.254;0.648;0.06;0.274;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.824
ENSMUST00000160433_90_90;0.984;0.949;1.0;0.836;0.164;0.104;0.134;0.254;0.746;0.06;0.388;0.895;0.895;0.895;0.895;0.895;0.895;0.824;1.0
