;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.62;0.591;0.547;0.851;0.842;0.907;0.907;0.741;0.949;0.814;0.949;0.949
transcript47_ENSRNOG00000031503;0.62;1.0;0.927;0.86;0.658;0.648;0.549;0.549;0.599;0.588;0.686;0.588;0.588
transcript47_ENSMUGG00000013649;0.591;0.927;1.0;0.92;0.71;0.699;0.589;0.589;0.627;0.634;0.741;0.634;0.634
transcript47_ENSPEMG00000024651;0.547;0.86;0.92;1.0;0.653;0.642;0.621;0.621;0.568;0.583;0.681;0.583;0.583
transcript20_ENSMUGG00000013649;0.851;0.658;0.71;0.653;1.0;0.99;0.85;0.85;0.85;0.894;0.959;0.894;0.894
transcript20_ENSMUGG00000013592;0.842;0.648;0.699;0.642;0.99;1.0;0.841;0.841;0.839;0.884;0.948;0.884;0.884
transcript19_ENSPEMG00000024651;0.907;0.549;0.589;0.621;0.85;0.841;1.0;1.0;0.715;0.94;0.813;0.94;0.94
transcript38_ENSPEMG00000024651;0.907;0.549;0.589;0.621;0.85;0.841;1.0;1.0;0.715;0.94;0.813;0.94;0.94
transcript27_ENSNGAG00000018584;0.741;0.599;0.627;0.568;0.85;0.839;0.715;0.715;1.0;0.759;0.886;0.759;0.759
transcript7_ENSSTOG00000019743;0.949;0.588;0.634;0.583;0.894;0.884;0.94;0.94;0.759;1.0;0.856;1.0;1.0
transcript24_ENSSTOG00000019743;0.814;0.686;0.741;0.681;0.959;0.948;0.813;0.813;0.886;0.856;1.0;0.856;0.856
transcript25_ENSSTOG00000019743;0.949;0.588;0.634;0.583;0.894;0.884;0.94;0.94;0.759;1.0;0.856;1.0;1.0
transcript32_ENSSTOG00000019743;0.949;0.588;0.634;0.583;0.894;0.884;0.94;0.94;0.759;1.0;0.856;1.0;1.0
