id_transcript;block_sequence
ENSBTAT00000008169_98;3.59.60.61.62.63.64.65.66.67.71.72.73.74.75.76.77.78.79.80.81.82.87.88.89.90.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.119
ENSBTAT00000008170_98;11.23.24.25.48.51.53.55.56.59.60.61.62.63.64.65.66.67.71.72.73.74.75.76.77.78.79.80.81.82.87.88.89.90.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.119
ENSBTAT00000076561_98;4.5.6.7.8.9.10.48.51.53.55.56.59.60.61.62.63.64.65.66.67.71.72.73.74.75.76.77.78.79.80.81.82.87.88.89.90.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.119
ENSBTAT00000086058_98;57.58.61.62.63.64.65.66.67.71.72.73.74.75.76.77.78.79.80.81.82.87.88.89.90.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.119
ENSCAFT00000012380_98;5.6.7.8.9.10.35.51.53.55.56.57.60.61.62.63.64.65.66.67.69.70.71.72.73.74.75.76.77.78.79.80.81.82.83.86.87.117.118.119
ENSCAFT00000069579_98;56.64.65.66.67.69.72.73.74.75.76.77.78.79.80.81.82.83.86.87.117.118.119
ENSCAFT00000076101_98;11.23.30.33.34.35.51.53.55.56.57.60.61.62.63.64.65.66.67.69.70.71.72.73.74.75.76.77.78.79.80.81.82.83.86.87.117.118.119
ENSCAFT00000078910_98;5.6.7.8.9.10.35.51.53.55.56.57.60.61.62.63.64.65.66.67.69.70.71.72.73.74.75.76.77.78.79.80.81.82.83.86.87.120
ENSCAFT00000080651_98;5.6.7.8.9.10.35.51.53.55.56.57.60.61.62.63.64.65.66.67.69.72.73.74.75.76.77.78.79.80.81.82.83.86.87.88.90.93.95.96.98.99.100.103.104.106.111.116.117
ENSCAFT00020012376_98;5.6.7.8.9.34.35.51.53.55.56.57.60.61.62.63.64.65.66.67.69.70.71.72.73.74.75.76.77.78.79.80.81.82.87.88.89.90.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108.110.111.112
ENSCAFT00020012381_98;5.6.7.8.9.34.35.51.53.55.56.57.60.61.62.63.65.66.67.69.70.71.72.73.74.75.76.77.78.79.80.81.82.87.88.89.90.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108.110.111.112
ENSCAFT00020012390_98;1.57.60.61.62.63.64.65.66.67.69.70.71.72.73.74.75.76.77.78.79.80.81.82.87.88.89.90.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108.110.111.112
ENST00000467072_98;0.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.65.66.67.69.70.71.72.73.74.75.76.77.78.79.80.81.82.83.84.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108.110.111.112
ENST00000467634_98;5.6.7.8.9.10.14.15.19.20.21.22.23.24
ENST00000467667_98;0.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.65.66.67.69.70.71.72.73.74.75
ENST00000474279_98;74.75.76.77.78.79.80.81.82.83.84.85
ENST00000475734_98;0.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34
ENST00000477292_98;66.67.69.72.73.74.75.76.77.78.79.80.81.82.83.84.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108.110.111.112
ENST00000478006_98;26.27.28.29.30.31.32.33.34.35.36.37.38.39.65.66.67.69.70.71.72.73.74
ENST00000479040_98;0.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.65.66.67.69.72.73.74.75.76.77.78.79.80.81.82.83.84.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108.110.111.112
ENST00000486111_98;0.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.65.66.67.69.70.71.72.73.74.75.76.77.78.79.80.81.82.83.84.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108.110.111.112
ENST00000487734_98;5.6.7.8.9.10.14.15.16.17
ENST00000488107_98;0.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.65.66
ENST00000489671_98;5.6.7.8.9.10.14.15.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.65.66.67.69.72.73.74.75.76.77.78.79.80.81.82.83.84.92.93.94.95.96.97.98.99.100.101.102.103.104.105.106.107.108.110.111.112
ENST00000494358_98;0.19.20.21.22.23.24.25.26
