;transcript7_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226
transcript7_ENSMPUG00000020072;1.0;0.952;0.913;0.833;0.833;0.833;0.795;0.831;0.794;0.896;0.895;0.89;0.891;0.889;0.887;0.903;0.909
transcript25_ENSMPUG00000020072;0.952;1.0;0.959;0.794;0.794;0.794;0.832;0.802;0.794;0.853;0.851;0.835;0.838;0.889;0.826;0.756;0.865
transcript28_ENSMPUG00000020072;0.913;0.959;1.0;0.761;0.761;0.761;0.797;0.769;0.794;0.817;0.814;0.789;0.793;0.84;0.775;0.756;0.83
transcript12_ENSECAG00000007947;0.833;0.794;0.761;1.0;1.0;1.0;0.951;0.989;0.882;0.912;0.912;0.908;0.909;0.906;0.909;0.932;0.92
transcript23_ENSECAG00000007947;0.833;0.794;0.761;1.0;1.0;1.0;0.951;0.989;0.882;0.912;0.912;0.908;0.909;0.906;0.909;0.932;0.92
transcript31_ENSECAG00000007947;0.833;0.794;0.761;1.0;1.0;1.0;0.951;0.989;0.882;0.912;0.912;0.908;0.909;0.906;0.909;0.932;0.92
transcript32_ENSECAG00000007947;0.795;0.832;0.797;0.951;0.951;0.951;1.0;0.961;0.882;0.868;0.866;0.851;0.854;0.906;0.847;0.778;0.874
transcript33_ENSECAG00000007947;0.831;0.802;0.769;0.989;0.989;0.989;0.961;1.0;0.882;0.902;0.902;0.895;0.896;0.906;0.895;0.892;0.909
transcript7_ENSMLUG00000027828;0.794;0.794;0.794;0.882;0.882;0.882;0.882;0.882;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.871;0.882
transcript12_ENSMLUG00000027828;0.896;0.853;0.817;0.912;0.912;0.912;0.868;0.902;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.975;0.993
transcript15_ENSMLUG00000027828;0.895;0.851;0.814;0.912;0.912;0.912;0.866;0.902;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.973;0.993
transcript16_ENSMLUG00000027828;0.89;0.835;0.789;0.908;0.908;0.908;0.851;0.895;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.973;0.992
transcript25_ENSMLUG00000027828;0.891;0.838;0.793;0.909;0.909;0.909;0.854;0.896;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.975;0.992
transcript26_ENSMLUG00000027828;0.889;0.889;0.84;0.906;0.906;0.906;0.906;0.906;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.967;0.991
transcript27_ENSMLUG00000027828;0.887;0.826;0.775;0.909;0.909;0.909;0.847;0.895;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.962;0.991
transcript7_ENSSTOG00000019743;0.903;0.756;0.756;0.932;0.932;0.932;0.778;0.892;0.871;0.975;0.973;0.973;0.975;0.967;0.962;1.0;1.0
transcript7_ENSCCNG00000000226;0.909;0.865;0.83;0.92;0.92;0.92;0.874;0.909;0.882;0.993;0.993;0.992;0.992;0.991;0.991;1.0;1.0
