;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.859;0.6;0.59;0.628;0.591;0.272;0.699;0.596;0.136;0.414;0.633;0.207;0.58;0.046;0.165;0.506;0.282;0.633;0.591;0.507;0.157;0.234;0.447;0.662;0.662;0.648;0.341;0.467;0.679;0.668;0.633;0.671;0.677;0.619;0.675;0.677;0.052;0.358;0.718;0.755;0.084;0.726;0.742;0.077;0.172;0.214;0.278;0.731
ENSCAFT00000021175_90_90;0.859;1.0;0.675;0.665;0.595;0.558;0.273;0.641;0.562;0.136;0.399;0.599;0.208;0.546;0.046;0.166;0.474;0.269;0.599;0.558;0.475;0.157;0.234;0.402;0.748;0.779;0.765;0.429;0.539;0.748;0.738;0.599;0.636;0.642;0.588;0.64;0.642;0.048;0.326;0.664;0.828;0.076;0.808;0.845;0.071;0.16;0.197;0.338;0.815
ENSCAFT00000022869_90_90;0.6;0.675;1.0;0.96;0.66;0.617;0.069;0.443;0.592;0.01;0.209;0.631;0.016;0.574;0.0;0.016;0.681;0.245;0.631;0.621;0.669;0.092;0.035;0.048;0.554;0.598;0.581;0.557;0.585;0.571;0.553;0.586;0.65;0.622;0.751;0.629;0.622;0.047;0.302;0.354;0.572;0.171;0.592;0.601;0.0;0.0;0.323;0.367;0.593
ENSCAFT00000049479_90_90;0.59;0.665;0.96;1.0;0.62;0.577;0.072;0.445;0.552;0.011;0.217;0.591;0.017;0.534;0.0;0.017;0.641;0.255;0.591;0.581;0.629;0.097;0.036;0.048;0.556;0.601;0.583;0.559;0.588;0.573;0.555;0.548;0.613;0.585;0.712;0.592;0.585;0.05;0.299;0.353;0.574;0.172;0.594;0.603;0.0;0.0;0.324;0.369;0.595
ENST00000346964_90_90;0.628;0.595;0.66;0.62;1.0;0.957;0.242;0.738;0.919;0.116;0.413;0.958;0.173;0.892;0.039;0.139;0.661;0.286;0.958;0.96;0.668;0.133;0.208;0.185;0.367;0.358;0.366;0.281;0.357;0.358;0.367;0.788;0.881;0.834;0.786;0.829;0.834;0.057;0.436;0.538;0.421;0.231;0.401;0.42;0.0;0.028;0.272;0.118;0.402
ENST00000357674_90_90;0.591;0.558;0.617;0.577;0.957;1.0;0.204;0.702;0.96;0.121;0.431;0.923;0.181;0.931;0.041;0.145;0.686;0.299;0.923;0.996;0.695;0.139;0.218;0.22;0.297;0.29;0.297;0.209;0.286;0.29;0.297;0.832;0.829;0.792;0.746;0.788;0.792;0.061;0.463;0.57;0.359;0.266;0.34;0.359;0.0;0.032;0.193;0.053;0.341
ENST00000392380_90_90;0.272;0.273;0.069;0.072;0.242;0.204;1.0;0.321;0.209;0.483;0.381;0.248;0.719;0.186;0.162;0.575;0.02;0.042;0.248;0.203;0.021;0.198;0.82;0.291;0.267;0.261;0.267;0.186;0.28;0.263;0.268;0.028;0.074;0.076;0.07;0.075;0.076;0.0;0.0;0.04;0.363;0.08;0.339;0.361;0.0;0.045;0.183;0.195;0.342
ENST00000392381_90_90;0.699;0.641;0.443;0.445;0.738;0.702;0.321;1.0;0.719;0.155;0.55;0.758;0.231;0.69;0.052;0.184;0.475;0.379;0.758;0.699;0.48;0.175;0.277;0.191;0.38;0.37;0.379;0.297;0.377;0.371;0.38;0.567;0.594;0.615;0.572;0.611;0.615;0.083;0.589;0.76;0.441;0.247;0.419;0.44;0.0;0.029;0.293;0.128;0.421
ENST00000392382_90_90;0.596;0.562;0.592;0.552;0.919;0.96;0.209;0.719;1.0;0.124;0.442;0.96;0.185;0.97;0.042;0.148;0.714;0.306;0.96;0.956;0.723;0.142;0.223;0.221;0.298;0.29;0.297;0.21;0.287;0.291;0.298;0.873;0.788;0.83;0.78;0.825;0.83;0.062;0.477;0.587;0.36;0.267;0.341;0.36;0.0;0.032;0.194;0.053;0.342
ENST00000412364_90_90;0.136;0.136;0.01;0.011;0.116;0.121;0.483;0.155;0.124;1.0;0.281;0.119;0.671;0.128;0.335;0.839;0.0;0.0;0.119;0.121;0.0;0.0;0.56;0.35;0.107;0.104;0.107;0.0;0.104;0.105;0.107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.165;0.0;0.169;0.164;0.0;0.092;0.0;0.0;0.171
ENST00000419227_90_90;0.414;0.399;0.209;0.217;0.413;0.431;0.381;0.55;0.442;0.281;1.0;0.424;0.42;0.456;0.094;0.336;0.22;0.402;0.424;0.429;0.223;0.316;0.409;0.28;0.262;0.256;0.261;0.178;0.265;0.257;0.262;0.296;0.273;0.282;0.263;0.28;0.282;0.0;0.252;0.389;0.348;0.224;0.326;0.347;0.0;0.042;0.166;0.07;0.328
ENST00000419354_90_90;0.633;0.599;0.631;0.591;0.958;0.923;0.248;0.758;0.96;0.119;0.424;1.0;0.178;0.931;0.04;0.143;0.689;0.294;1.0;0.919;0.697;0.137;0.214;0.185;0.368;0.359;0.367;0.282;0.358;0.359;0.368;0.83;0.834;0.877;0.825;0.872;0.877;0.059;0.453;0.557;0.422;0.232;0.402;0.421;0.0;0.028;0.273;0.119;0.404
ENST00000419553_90_90;0.207;0.208;0.016;0.017;0.173;0.181;0.719;0.231;0.185;0.671;0.42;0.178;1.0;0.192;0.225;0.8;0.0;0.0;0.178;0.18;0.0;0.218;0.836;0.485;0.139;0.136;0.139;0.039;0.138;0.137;0.139;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.236;0.0;0.227;0.235;0.0;0.068;0.0;0.098;0.229
ENST00000422288_90_90;0.58;0.546;0.574;0.534;0.892;0.931;0.186;0.69;0.97;0.128;0.456;0.931;0.192;1.0;0.043;0.153;0.688;0.277;0.931;0.928;0.697;0.147;0.193;0.265;0.242;0.237;0.242;0.153;0.23;0.237;0.242;0.836;0.755;0.794;0.749;0.79;0.794;0.066;0.498;0.549;0.312;0.181;0.292;0.312;0.0;0.036;0.133;0.058;0.293
ENST00000434148_90_90;0.046;0.046;0.0;0.0;0.039;0.041;0.162;0.052;0.042;0.335;0.094;0.04;0.225;0.043;1.0;0.281;0.0;0.0;0.04;0.041;0.0;0.0;0.188;0.062;0.018;0.018;0.018;0.0;0.0;0.019;0.019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059;0.0;0.06;0.058;0.0;0.224;0.0;0.0;0.061
ENST00000436682_90_90;0.165;0.166;0.016;0.017;0.139;0.145;0.575;0.184;0.148;0.839;0.336;0.143;0.8;0.153;0.281;1.0;0.0;0.0;0.143;0.145;0.0;0.085;0.668;0.488;0.14;0.138;0.14;0.04;0.14;0.139;0.141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.188;0.0;0.193;0.186;0.0;0.083;0.0;0.037;0.195
