;ENSCAFT00000007160_90_90;ENST00000353609_90_90;ENST00000417353_90_90;ENST00000443841_90_90;ENST00000585836_90_90;ENST00000586615_90_90;ENST00000589593_90_90;ENST00000590335_90_90;ENST00000591858_90_90;ENST00000592436_90_90;ENST00000592811_90_90;ENST00000615753_90_90;ENSMUST00000003640_90_90;ENSMUST00000207334_90_90;ENSMUST00000207716_90_90;ENSMUST00000208326_90_90;ENSMUST00000208446_90_90;ENSMUST00000208505_90_90
ENSCAFT00000007160_90_90;1.0;0.998;0.883;0.537;0.7;0.802;0.388;0.469;0.816;0.724;0.528;0.866;1.0;0.897;0.738;0.842;0.75;0.647
ENST00000353609_90_90;0.998;1.0;0.901;0.561;0.752;0.746;0.367;0.495;0.851;0.759;0.506;0.885;0.998;0.89;0.721;0.83;0.738;0.629
ENST00000417353_90_90;0.883;0.901;1.0;0.623;0.836;0.647;0.272;0.544;0.752;0.661;0.407;0.786;0.89;0.998;0.809;0.721;0.629;0.706
ENST00000443841_90_90;0.537;0.561;0.623;1.0;0.746;0.381;0.0;0.2;0.659;0.321;0.129;0.447;0.566;0.634;0.786;0.682;0.304;0.342
ENST00000585836_90_90;0.7;0.752;0.836;0.746;1.0;0.584;0.194;0.394;0.885;0.512;0.332;0.637;0.721;0.809;0.998;0.867;0.46;0.516
ENST00000586615_90_90;0.802;0.746;0.647;0.381;0.584;1.0;0.484;0.262;0.688;0.506;0.682;0.631;0.76;0.652;0.584;0.7;0.5;0.391
ENST00000589593_90_90;0.388;0.367;0.272;0.0;0.194;0.484;1.0;0.384;0.293;0.485;0.694;0.415;0.367;0.259;0.164;0.281;0.5;0.353
ENST00000590335_90_90;0.469;0.495;0.544;0.2;0.394;0.262;0.384;1.0;0.359;0.631;0.339;0.551;0.497;0.557;0.368;0.328;0.669;0.784
ENST00000591858_90_90;0.816;0.851;0.752;0.659;0.885;0.688;0.293;0.359;1.0;0.611;0.435;0.736;0.83;0.721;0.867;0.998;0.57;0.46
ENST00000592436_90_90;0.724;0.759;0.661;0.321;0.512;0.506;0.485;0.631;0.611;1.0;0.675;0.857;0.738;0.629;0.46;0.57;0.998;0.851
ENST00000592811_90_90;0.528;0.506;0.407;0.129;0.332;0.682;0.694;0.339;0.435;0.675;1.0;0.573;0.5;0.391;0.306;0.422;0.681;0.534
ENST00000615753_90_90;0.866;0.885;0.786;0.447;0.637;0.631;0.415;0.551;0.736;0.857;0.573;1.0;0.873;0.764;0.596;0.705;0.843;0.719
ENSMUST00000003640_90_90;1.0;0.998;0.89;0.566;0.721;0.76;0.367;0.497;0.83;0.738;0.5;0.873;1.0;0.901;0.752;0.851;0.759;0.661
ENSMUST00000207334_90_90;0.897;0.89;0.998;0.634;0.809;0.652;0.259;0.557;0.721;0.629;0.391;0.764;0.901;1.0;0.836;0.752;0.661;0.733
ENSMUST00000207716_90_90;0.738;0.721;0.809;0.786;0.998;0.584;0.164;0.368;0.867;0.46;0.306;0.596;0.752;0.836;1.0;0.885;0.512;0.568
ENSMUST00000208326_90_90;0.842;0.83;0.721;0.682;0.867;0.7;0.281;0.328;0.998;0.57;0.422;0.705;0.851;0.752;0.885;1.0;0.611;0.512
ENSMUST00000208446_90_90;0.75;0.738;0.629;0.304;0.46;0.5;0.5;0.669;0.57;0.998;0.681;0.843;0.759;0.661;0.512;0.611;1.0;0.869
ENSMUST00000208505_90_90;0.647;0.629;0.706;0.342;0.516;0.391;0.353;0.784;0.46;0.851;0.534;0.719;0.661;0.733;0.568;0.512;0.869;1.0
