;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.862;0.865;0.865;0.783;0.921;0.744;0.849;0.806;0.81;0.81;0.428;0.823;0.868;0.823;0.698;0.778;0.778;0.713;0.85;0.804;0.589;0.804;0.74;0.605;0.577;0.828;0.605;0.828;0.754;0.828
transcript10_ENSMPUG00000020072;0.862;1.0;0.996;0.996;0.782;0.935;0.877;0.98;0.926;0.922;0.922;0.451;0.955;0.929;0.955;0.829;0.908;0.908;0.844;0.875;0.923;0.711;0.923;0.861;0.738;0.712;0.96;0.738;0.96;0.76;0.96
transcript17_ENSMPUG00000020072;0.865;0.996;1.0;1.0;0.786;0.94;0.879;0.984;0.922;0.926;0.926;0.407;0.957;0.925;0.957;0.826;0.905;0.905;0.84;0.871;0.919;0.707;0.919;0.857;0.735;0.708;0.957;0.735;0.957;0.758;0.957
transcript20_ENSMPUG00000020072;0.865;0.996;1.0;1.0;0.786;0.94;0.879;0.984;0.922;0.926;0.926;0.407;0.957;0.925;0.957;0.826;0.905;0.905;0.84;0.871;0.919;0.707;0.919;0.857;0.735;0.708;0.957;0.735;0.957;0.758;0.957
transcript22_ENSMPUG00000020072;0.783;0.782;0.786;0.786;1.0;0.725;0.665;0.769;0.736;0.739;0.739;0.414;0.726;0.689;0.726;0.636;0.718;0.718;0.651;0.781;0.74;0.522;0.74;0.675;0.528;0.499;0.751;0.528;0.751;0.958;0.751
transcript23_ENSMPUG00000020072;0.921;0.935;0.94;0.94;0.725;1.0;0.819;0.923;0.867;0.87;0.87;0.425;0.903;0.953;0.903;0.771;0.852;0.852;0.786;0.814;0.863;0.649;0.863;0.799;0.676;0.649;0.898;0.676;0.898;0.699;0.898
transcript24_ENSMPUG00000020072;0.744;0.877;0.879;0.879;0.665;0.819;1.0;0.863;0.821;0.824;0.824;0.41;0.848;0.815;0.848;0.716;0.796;0.796;0.731;0.768;0.818;0.603;0.818;0.754;0.619;0.591;0.841;0.619;0.841;0.641;0.841
transcript25_ENSMPUG00000020072;0.849;0.98;0.984;0.984;0.769;0.923;0.863;1.0;0.906;0.909;0.909;0.407;0.942;0.909;0.942;0.808;0.887;0.887;0.823;0.856;0.905;0.718;0.905;0.842;0.748;0.72;0.941;0.748;0.941;0.741;0.941
transcript10_ENSECAG00000007947;0.806;0.926;0.922;0.922;0.736;0.867;0.821;0.906;1.0;0.996;0.996;0.442;0.958;0.933;0.958;0.832;0.912;0.912;0.849;0.881;0.928;0.726;0.928;0.862;0.746;0.72;0.962;0.746;0.962;0.76;0.962
transcript12_ENSECAG00000007947;0.81;0.922;0.926;0.926;0.739;0.87;0.824;0.909;0.996;1.0;1.0;0.399;0.961;0.929;0.961;0.828;0.908;0.908;0.845;0.877;0.924;0.723;0.924;0.858;0.743;0.716;0.959;0.743;0.959;0.756;0.959
